WReturnMean,ReturnStepMaxmin,StdIW,LearnableVariance,OptimizationReturnMax,MinTargetPdf,Bound,EpisodesSoFar,MaxIW,TimestepsSoFar,MeanD2-0,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,InitialReturnStd,MeanIW,InitialReturnMin,OptimizationReturnMean,MinIW,EpLenMean,ReturnMeanIW,ReturnStepMax,OptimizationReturnMin,Penalization,Epsilon,EmpiricalD2Harmonic,EpThisIter,InitialBound,Iteration,InitialReturnMax,MinBehavPdf,ESSRenyiHarmonic,VarianceInitializer,EmpiricalD2Arithmetic,StdWReturnMean,TimeElapsed,Weights,EpRewMean,Inner Iteration,InitialReturnMean
3741.8762,0.86116517,2482.2695,,91.65332,-99.58905,-7137944.0,4800,24928.807,873242,1.0,100.0,0.4189424,571901440.0,20.33166,314.15057,-151.51553,57.693153,0.018129067,132.26,441631.03,0.86116517,,True,2.0,1.0,100,-4021.888,48,-59.862217,-99.58905,100.0,-1.0,1.0,,449.0843663215637,[-0.167  1.033],-93.82238121330738,1,-93.82238
9471.863,0.8592281,275.0145,,136.02634,-115.729126,-47568148.0,4900,2086.7996,887520,1.0,100.0,0.4189424,5764782600.0,25.255978,89.888054,-195.97879,93.989365,0.04751948,142.78,739005.94,0.8592281,,True,2.0,1.0,100,-10088.637,49,-59.952446,-115.729126,100.0,-1.0,1.0,,459.84303998947144,[-0.182  0.972],-101.98943025037646,1,-101.989426
8240.709,0.8604107,1921795000.0,,120.814285,-111.76563,-7.193311e+19,5000,19318446000.0,902100,1.0,100.0,0.4189424,2.1858832e+34,26.317606,197437820.0,-191.44608,86.87975,0.5658709,145.8,1184010900000.0,0.8604107,,True,2.0,1.0,100,-8727.246,50,-70.63179,-111.76563,100.0,-1.0,1.0,,471.8501989841461,[-0.192  0.91 ],-104.56631628185511,1,-104.56631
18498.248,0.85979795,723.0943,,165.65118,-126.49649,-67755450.0,5100,6458.666,915005,1.0,100.0,0.4189424,5162855400.0,22.700865,156.3996,-225.11066,134.1004,0.16125627,129.05,2033142.4,0.85979795,,True,2.0,1.0,100,-19412.926,51,-59.45948,-126.49649,100.0,-1.0,1.0,,481.8964948654175,[-0.144  1.026],-91.01025042980909,1,-91.010254
3377.925,0.85944873,3074.099,,94.14369,-93.70188,-108558160.0,5200,30484.047,927855,1.0,100.0,0.4189424,131263046000.0,20.290407,465.18698,-145.5236,54.46306,0.031303674,128.5,1521519.2,0.85944873,,True,2.0,1.0,100,-3673.3599,52,-51.37991,-93.70188,100.0,-1.0,1.0,,492.8500671386719,[-0.03   1.078],-91.06054947271943,1,-91.060555
2873.8901,0.8603127,2863562.2,,85.41129,-85.05121,-1.1816625e+17,5300,21031708.0,939922,1.0,100.0,0.4189424,2.3613925e+29,18.661293,751373.44,-135.81961,50.25581,2.4758737,120.67,1967468800.0,0.8603127,,True,2.0,1.0,100,-3117.06,53,-50.408318,-85.05121,100.0,-1.0,1.0,,503.5383508205414,[-0.026  1.141],-85.56379970431328,1,-85.56381
3637.774,0.8689567,1127.9181,,92.67726,-96.27675,-19973910.0,5400,11226.011,953553,1.0,100.0,0.4189424,4572342000.0,20.718746,194.56613,-152.97267,56.643692,0.039003555,136.31,614393.2,0.8689567,,True,2.0,1.0,100,-3924.077,54,-60.29541,-96.27675,100.0,-1.0,1.0,,514.3677339553833,[0.015 1.023],-96.32898220330476,1,-96.32897
6111.844,0.8692386,1018.7647,,104.71896,-108.94768,-11946661.0,5500,7798.607,966212,1.0,100.0,0.4189424,851105600.0,21.686018,230.29941,-164.72324,75.11033,0.110927835,126.59,1282635.9,0.8692386,,True,2.0,1.0,100,-6477.38,55,-60.004272,-108.94768,100.0,-1.0,1.0,,524.5940177440643,[0.01  1.085],-89.61291129544378,1,-89.61292
2712.6987,0.8564024,4998333400.0,,83.05409,-90.02463,-4.1410848e+17,5600,50199302000.0,978104,1.0,100.0,0.4189424,3.243588e+30,17.101091,539183500.0,-132.70892,49.19605,0.09143002,118.92,459055900000.0,0.8564024,,True,2.0,1.0,100,-2942.6313,56,-49.654827,-90.02463,100.0,-1.0,1.0,,535.2542071342468,[0.022 1.146],-83.51287252008915,1,-83.51287
4679.7163,0.8619672,723.8702,,96.72986,-93.33055,-14962002.0,5700,5166.613,991134,1.0,100.0,0.4189424,2110564100.0,22.026102,208.19894,-156.94305,64.76548,0.010727442,130.3,633555.56,0.8619672,,True,2.0,1.0,100,-4991.606,57,-60.213196,-93.33055,100.0,-1.0,1.0,,545.0592255592346,[-0.032  1.034],-92.17757205531001,1,-92.17757
