VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
5014.2904487,0.0292731,0.299583,0.999462,42.9534,1.02742,1.23981,200,-74.8871239649,100,194.333604081,5014.2904487,0.00620238,104.37,194.662101365,0.005,-113.455,0.00149872,1,0.3,-74.8871239649,-67.7852,7.32616e-07,-74.8871239649
77.5302432658,,1.0,1.0,8.76099,1.0,1.0,200,-61.6058187769,100,100.0,77.5302432658,0.01,89.28,200.0,0.01,-74.7174,0.01,2,0.3,-61.6058187769,-61.6058,3.50449e-18,-61.6058187769
7238.32548529,0.0136171,0.655511,0.992981,57.3667,1.01607,1.35585,200,-84.8478828494,100,197.289057229,7238.32548529,0.00682716,116.77,196.836645755,0.005,-117.886,0.00330072,1,0.3,-84.8478828494,-72.4719,3.45257e-07,-84.8478828494
2619.55197174,,1.0,1.0,50.925,1.0,1.0,200,-69.8549431702,100,100.0,2619.55197174,0.01,99.56,200.0,0.01,-133.574,0.01,2,0.3,-69.8549431702,-69.8549,3.50449e-18,-69.8549431702
3864.64123928,0.0592316,0.298761,1.00292,43.7199,1.05054,1.59674,200,-71.1816188209,100,188.930082682,3864.64123928,0.00796045,99.74,190.3789135,0.005,-113.977,0.00148946,1,0.3,-71.1816188209,-67.7958,1.47218e-06,-71.1816188209
5013.5504697,,1.0,1.0,70.4515,1.0,1.0,200,-75.0596044528,100,100.0,5013.5504697,0.01,104.42,200.0,0.01,-138.778,0.01,2,0.3,-75.0596044528,-75.0596,3.50449e-18,-75.0596044528
4980.5905846,0.0131199,0.452828,0.994775,67.8669,1.01385,1.21468,200,-75.2467881195,100,197.395956205,4980.5905846,0.0061053,105.22,197.268541382,0.005,-119.91,0.00227603,1,0.3,-75.2467881195,-74.5434,3.31453e-07,-75.2467881195
3791.43131372,,1.0,1.0,61.266,1.0,1.0,200,-73.5468273202,100,100.0,3791.43131372,0.01,103.63,200.0,0.01,-137.266,0.01,2,0.3,-73.5468273202,-73.5468,3.50449e-18,-73.5468273202
7251.33093546,0.0564478,0.311268,1.00047,64.498,1.07184,1.87602,200,-83.5356749117,100,189.373655931,7251.33093546,0.0093757,115.33,186.595047359,0.005,-122.258,0.00155561,1,0.3,-83.5356749117,-75.6112,1.40988e-06,-83.5356749117
4971.15801278,,1.0,1.0,70.153,1.0,1.0,200,-77.5028595851,100,100.0,4971.15801278,0.01,108.45,200.0,0.01,-141.222,0.01,2,0.3,-77.5028595851,-77.5029,3.50449e-18,-77.5028595851
4974.84608643,0.093733,0.116078,1.0119,55.0543,1.11291,1.80584,200,-77.04853193,100,183.303878074,4974.84608643,0.00892304,107.15,179.709045835,0.005,-120.457,0.000573564,1,0.3,-77.04853193,-72.9254,2.28855e-06,-77.04853193
2586.17095447,,1.0,1.0,50.5995,1.0,1.0,200,-71.1739943992,100,100.0,2586.17095447,0.01,101.05,200.0,0.01,-134.892,0.01,2,0.3,-71.1739943992,-71.174,3.50449e-18,-71.1739943992
3791.63870485,0.0423829,0.44938,1.00717,47.8881,1.03511,2.09379,200,-72.8543565722,100,192.017416212,3791.63870485,0.0103944,103.22,193.215357204,0.005,-116.094,0.0022309,1,0.3,-72.8543565722,-70.2531,1.04453e-06,-72.8543565722
2590.69404994,,1.0,1.0,50.6437,1.0,1.0,200,-68.7518770185,100,100.0,2590.69404994,0.01,97.55,200.0,0.01,-132.471,0.01,2,0.3,-68.7518770185,-68.7519,3.50449e-18,-68.7518770185
1368.4526791,0.00625103,0.908322,1.00281,41.023,1.00699,1.36328,200,-63.9230848365,100,198.770544404,1368.4526791,0.00679731,92.18,198.610748897,0.005,-111.214,0.00452888,1,0.3,-63.9230848365,-66.0002,1.55401e-07,-63.9230848365
4962.90718612,,1.0,1.0,70.0948,1.0,1.0,200,-77.0028630216,100,100.0,4962.90718612,0.01,107.33,200.0,0.01,-140.722,0.01,2,0.3,-77.0028630216,-77.0029,3.50449e-18,-77.0028630216
6143.52953755,0.035173,0.518555,1.01114,69.9325,1.03253,1.76975,200,-79.8536544296,100,193.380521643,6143.52953755,0.00875127,111.17,193.699250139,0.005,-122.784,0.00256421,1,0.3,-79.8536544296,-77.0009,8.60057e-07,-79.8536544296
9452.64809661,,1.0,1.0,96.7374,1.0,1.0,200,-90.4918746433,100,100.0,9452.64809661,0.01,123.4,200.0,0.01,-154.217,0.01,2,0.3,-90.4918746433,-90.4919,3.50449e-18,-90.4918746433
1359.58509536,0.0446302,0.311396,1.01332,68.7236,1.03648,1.80458,200,-65.6471502535,100,191.709145141,1359.58509536,0.00890423,94.04,192.961354514,0.005,-122.514,0.0015365,1,0.3,-65.6471502535,-76.6389,1.0866e-06,-65.6471502535
2592.30718267,,1.0,1.0,50.6595,1.0,1.0,200,-70.8193444125,100,100.0,2592.30718267,0.01,100.97,200.0,0.01,-134.524,0.01,2,0.3,-70.8193444125,-70.8193,3.50449e-18,-70.8193444125
2575.39952464,0.0172838,0.680743,0.991777,46.7659,1.01692,1.49505,200,-70.9576334359,100,196.563326872,2575.39952464,0.00753721,101.11,196.673001964,0.005,-115.54,0.00343194,1,0.3,-70.9576334359,-70.105,4.3929e-07,-70.9576334359
5005.53064702,,1.0,1.0,70.3951,1.0,1.0,200,-75.4160539064,100,100.0,5005.53064702,0.01,105.23,200.0,0.01,-139.135,0.01,2,0.3,-75.4160539064,-75.416,3.50449e-18,-75.4160539064
6112.30233212,0.0951665,0.130736,0.994093,59.0111,1.07611,2.91834,200,-80.3082255889,100,182.511824888,6112.30233212,0.0146784,111.36,185.85526385,0.005,-119.773,0.000657566,1,0.3,-80.3082255889,-73.0334,2.40752e-06,-80.3082255889
2582.84047482,,1.0,1.0,50.5669,1.0,1.0,200,-69.595776087,100,100.0,2582.84047482,0.01,98.88,200.0,0.01,-133.311,0.01,2,0.3,-69.595776087,-69.5958,3.50449e-18,-69.595776087
1346.71040182,0.0202112,0.409039,0.983691,39.3265,1.01827,1.15449,200,-65.7726341073,100,195.92803675,1346.71040182,0.00586817,94.6,196.412477517,0.005,-112.413,0.0020791,1,0.3,-65.7726341073,-66.9478,5.22173e-07,-65.7726341073
4979.79569376,,1.0,1.0,70.2139,1.0,1.0,200,-77.2641668524,100,100.0,4979.79569376,0.01,108.03,200.0,0.01,-140.983,0.01,2,0.3,-77.2641668524,-77.2642,3.50449e-18,-77.2641668524
6167.31666544,0.0475935,0.179212,0.991756,67.529,1.05253,1.59337,200,-80.1652375932,100,190.813126101,6167.31666544,0.00803309,111.06,190.018887251,0.005,-122.5,0.000903507,1,0.3,-80.1652375932,-76.2755,1.2097e-06,-80.1652375932
