ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
500.0,2,0.01,100,0.01,482.778,1683.34248847,1683.34,,1.0,235428.785803,1683.34248847,1683.34248847,0.6,1.0,183.51,500,1.0,0.01,1.0,3.50449e-18,235428.785803,1427.21,100.0
500.0,2,0.005,100,0.005,474.148,1608.7019049,1646.02,,1.0,215931.290983,1608.7019049,1608.7019049,0.6,1.0,175.58,500,1.0,0.005,1.0,2.1793e-19,215931.290983,1464.91,200.000000102
500.0,2,0.00333333,100,0.00333333,477.972,1650.06612874,1647.37,,1.0,238108.932577,1650.06612874,1650.06612874,0.6,1.0,179.76,500,1.0,0.00333333,1.0,5.43914e-20,238108.932577,1484.12,299.999969474
500.0,2,0.0025,100,0.0025,476.351,1582.14136124,1631.06,,1.0,221292.340014,1582.14136124,1582.14136124,0.6,1.0,172.68,500,1.0,0.0025,1.0,5.4346e-20,221292.340014,1489.68,400.0
41.4059092947,1,0.506238,100,1.18985e-07,4006.54,1615.99938029,2228.67,845.678,12.0756,180470.921419,1615.99938029,1615.99938029,0.6,0.000148122,176.31,500,630.206,0.002,2.48976,0.000545695,180470.921419,1789.24,3.6456181261
500.0,2,0.01,100,0.01,458.848,1685.02543534,1685.03,,1.0,212668.184393,1685.02543534,1685.02543534,0.6,1.0,183.5,500,1.0,0.01,1.0,3.50449e-18,212668.184393,1443.25,100.0
500.0,2,0.005,100,0.005,450.262,1652.32600572,1668.68,,1.0,196358.329726,1652.32600572,1652.32600572,0.6,1.0,180.0,500,1.0,0.005,1.0,2.1793e-19,196358.329726,1491.6,200.000000102
500.0,2,0.00333333,100,0.00333333,453.429,1659.94560572,1665.77,,1.0,213405.028276,1659.94560572,1659.94560572,0.6,1.0,181.17,500,1.0,0.00333333,1.0,5.43914e-20,213405.028276,1521.18,299.999969474
500.0,2,0.0025,100,0.0025,486.587,1688.84487013,1671.54,,1.0,333206.769637,1688.84487013,1688.84487013,0.6,1.0,184.04,500,1.0,0.0025,1.0,5.4346e-20,333206.769637,1500.97,400.0
33.0165423401,1,0.296264,100,6.56445e-09,11541.0,1616.81586372,2469.73,111.644,15.1439,232307.715345,1616.81586372,1616.81586372,0.6,4.99752e-06,176.19,500,225.546,0.002,1.5226,0.000192629,232307.715345,1876.04,10.191399917
500.0,2,0.01,100,0.01,408.523,1605.35048134,1605.35,,1.0,168576.560827,1605.35048134,1605.35048134,0.6,1.0,174.99,500,1.0,0.01,1.0,3.50449e-18,168576.560827,1365.22,100.0
500.0,2,0.005,100,0.005,416.476,1552.45295955,1578.9,,1.0,180418.533207,1552.45295955,1552.45295955,0.6,1.0,169.06,500,1.0,0.005,1.0,2.1793e-19,180418.533207,1409.1,200.000000102
500.0,2,0.00333333,100,0.00333333,413.274,1581.1621313,1579.66,,1.0,167149.518628,1581.1621313,1581.1621313,0.6,1.0,172.74,500,1.0,0.00333333,1.0,5.43914e-20,167149.518628,1441.01,299.999969474
500.0,2,0.0025,100,0.0025,410.527,1572.11119974,1577.77,,1.0,163333.19027,1572.11119974,1572.11119974,0.6,1.0,171.44,500,1.0,0.0025,1.0,5.4346e-20,163333.19027,1457.7,400.0
178.44706318,1,0.0424508,100,3.62432e-07,1108.76,1607.03119711,1725.87,2.55118,2.80195,186436.482317,1607.03119711,1607.03119711,0.6,0.000188553,175.26,500,22.0847,0.002,1.04049,9.42604e-06,186436.482317,1546.1,149.173708529
500.0,2,0.01,100,0.01,429.086,1585.40856795,1585.41,,1.0,185974.560576,1585.40856795,1585.40856795,0.6,1.0,172.79,500,1.0,0.01,1.0,3.50449e-18,185974.560576,1342.4,100.0
500.0,2,0.005,100,0.005,445.091,1644.36521607,1614.89,,1.0,212484.782814,1644.36521607,1644.36521607,0.6,1.0,179.2,500,1.0,0.005,1.0,2.1793e-19,212484.782814,1433.29,200.000000102
500.0,2,0.00333333,100,0.00333333,434.172,1611.84913049,1613.87,,1.0,171006.501207,1611.84913049,1611.84913049,0.6,1.0,175.53,500,1.0,0.00333333,1.0,5.43914e-20,171006.501207,1465.6,299.999969474
500.0,2,0.0025,100,0.0025,440.173,1639.81895435,1620.36,,1.0,211098.983265,1639.81895435,1639.81895435,0.6,1.0,178.72,500,1.0,0.0025,1.0,5.4346e-20,211098.983265,1491.95,400.0
102.506139902,1,0.463602,100,3.80843e-07,2950.53,1575.39468157,1921.85,394.563,4.87776,158044.027502,1575.39468157,1575.39468157,0.6,0.000364939,171.78,500,444.243,0.002,1.91648,0.000429701,158044.027502,1668.19,4.62062375691
500.0,2,0.01,100,0.01,420.183,1654.93752727,1654.94,,1.0,178337.149018,1654.93752727,1654.93752727,0.6,1.0,180.16,500,1.0,0.01,1.0,3.50449e-18,178337.149018,1420.86,100.0
500.0,2,0.005,100,0.005,410.685,1583.51746281,1619.23,,1.0,159818.364188,1583.51746281,1583.51746281,0.6,1.0,172.96,500,1.0,0.005,1.0,2.1793e-19,159818.364188,1453.71,200.000000102
500.0,2,0.00333333,100,0.00333333,410.343,1665.08394658,1634.51,,1.0,168098.952262,1665.08394658,1665.08394658,0.6,1.0,181.28,500,1.0,0.00333333,1.0,5.43914e-20,168098.952262,1499.37,299.999969474
500.0,2,0.0025,100,0.0025,401.843,1652.52395228,1639.02,,1.0,141944.201736,1652.52395228,1652.52395228,0.6,1.0,180.09,500,1.0,0.0025,1.0,5.4346e-20,141944.201736,1521.98,400.0
100.542815142,1,0.448422,100,2.59035e-07,3121.88,1618.37688361,1982.77,257.925,4.97301,149957.704866,1618.37688361,1618.37688361,0.6,0.000207002,176.54,500,358.346,0.002,1.59825,0.000403889,149957.704866,1749.32,4.91302553816
500.0,2,0.01,100,0.01,365.941,1627.63008298,1627.63,,1.0,135265.355827,1627.63008298,1627.63008298,0.6,1.0,177.41,500,1.0,0.01,1.0,3.50449e-18,135265.355827,1402.81,100.0
500.0,2,0.005,100,0.005,419.567,1639.18650836,1633.41,,1.0,220295.841496,1639.18650836,1639.18650836,0.6,1.0,178.56,500,1.0,0.005,1.0,2.1793e-19,220295.841496,1431.8,200.000000102
500.0,2,0.00333333,100,0.00333333,446.641,1679.1015563,1648.64,,1.0,247474.331586,1679.1015563,1679.1015563,0.6,1.0,182.94,500,1.0,0.00333333,1.0,5.43914e-20,247474.331586,1484.03,299.999969474
500.0,2,0.0025,100,0.0025,436.81,1603.2931643,1637.3,,1.0,164853.548596,1603.2931643,1603.2931643,0.6,1.0,174.86,500,1.0,0.0025,1.0,5.4346e-20,164853.548596,1494.75,400.0
55.371390744,1,0.547366,100,2.90304e-08,4614.81,1595.80415356,2135.75,583.623,9.02993,182572.343092,1595.80415356,1595.80415356,0.6,2.86293e-05,174.3,500,539.804,0.002,1.97237,0.00060009,182572.343092,1752.6,3.3173559552
500.0,2,0.01,100,0.01,435.414,1631.92161866,1631.92,,1.0,191500.027847,1631.92161866,1631.92161866,0.6,1.0,177.7,500,1.0,0.01,1.0,3.50449e-18,191500.027847,1374.27,100.0
