J,MinNormIw,VarDiscRet,MaxNormIw,VarJ,AvgEpLen,BatchSize,ESSRenyi,MaxVanillaIw,delta,Bound,ESSClassic,EpsThisIter,MinVanillaIw,AvgNormIw,AvgRet,IterType,AvgDiscRet,VanillaAvgRet,VarNormIw,VarVanillaIw,VarRet,AvgVanillaIw,renyi2,SamplesThisIter
-10328.3,,140.332719115,0.000239561,110.733,91.5750915751,100,nan,36.5156,0.7,-58.7616,6.80527737728,546,,1.0175e-05,-62.2035702066,1,-62.2035702066,-62.2035702066,2.49591e-10,5.79901,140.332719115,1.55095,nan,50000
-7144.48,,107.337061147,0.0999984,252.717,87.1080139373,100,nan,2.98495e+14,0.7,-53.0293,10.0000005703,574,,9.67867e-06,-59.3978455738,1,-59.3978455738,-59.3978455738,9.67752e-07,8.62285e+24,107.337061147,2.88908e+10,nan,50000
-10944.7,4.57948e-22,3326.13689404,9.30202e-05,390.757,104.60251046,100,nan,8.14917,0.7,-69.7184,6.21951897221,478,4.01192e-17,1.16225e-05,-72.6815124183,1,-72.6815124183,-72.6815124183,7.94337e-11,0.609644,3326.13689404,1.01821,nan,50000
-7109.63,,112.171463689,0.0944331,230.236,86.8055555556,100,nan,7.45155e+21,0.7,-38.1172,9.96982128689,576,,9.64506e-06,-59.3140313669,1,-59.3140313669,-59.3140313669,8.62627e-07,inf,112.171463689,7.61075e+17,nan,50000
-9819.31,,134.081833642,0.00122096,267.783,91.5750915751,100,nan,242.264,0.7,-55.3454,2.60208287285,546,,1.0175e-05,-62.2570243105,1,-62.2570243105,-62.2570243105,1.06967e-09,42.1141,134.081833642,2.01894,nan,50000
-10139.2,3.77313e-17,234.092911176,0.000134792,123.238,89.7666068223,100,nan,18.7622,0.7,-58.6341,6.05492800531,557,5.25195e-12,9.97407e-06,-61.5099217959,1,-61.5099217959,-61.5099217959,1.70317e-10,3.29986,234.092911176,1.38833,nan,50000
-9897.1,1.29445e-08,292.430612112,0.000102082,268.189,86.9565217391,100,nan,11.6197,0.7,-64.1239,5.16800301061,575,0.00147344,9.66184e-06,-59.321290895,1,-59.321290895,-59.321290895,5.49346e-11,0.711767,292.430612112,1.09978,nan,50000
-7937.88,,90.2062386267,0.0991729,201.328,85.3242320819,100,nan,5.47219e+21,0.7,-45.3471,9.99932178539,586,,9.48047e-06,-58.4747037133,1,-58.4747037133,-58.4747037133,9.32412e-07,inf,90.2062386267,5.23116e+17,nan,50000
-8655.48,,79.9538874672,0.00203499,192.227,83.8926174497,100,nan,1200.02,0.7,-49.6694,7.34794077227,596,,9.3214e-06,-57.2929395389,1,-57.2929395389,-57.2929395389,3.32529e-09,1156.34,79.9538874672,5.49678,nan,50000
-9988.73,,64.0334274422,0.000279074,98.0697,88.1834215168,100,nan,56.3876,0.7,-55.3296,6.36789066876,567,,9.79816e-06,-60.0243713483,1,-60.0243713483,-60.0243713483,3.54507e-10,14.4728,64.0334274422,1.97974,nan,50000
-10342.3,1.22377e-08,299.677391869,8.51814e-05,190.572,88.6524822695,100,,8.95817,0.7,-66.9236,4.89631653064,564,0.00128699,9.85028e-06,-60.6588820173,1,-60.6588820173,-60.6588820173,2.93978e-11,0.325135,299.677391869,1.03591,inf,50000
-10653.2,6.77703e-17,2515.86534807,6.51643e-05,336.082,97.0873786408,100,nan,6.45538,0.7,-68.6839,4.32576804452,515,6.71354e-12,1.07875e-05,-67.9837796768,1,-67.9837796768,-67.9837796768,6.48947e-11,0.636845,2515.86534807,1.06864,nan,50000
-9044.8,,59.1334598495,0.00348536,427.184,85.0340136054,100,nan,1903.65,0.7,-49.6365,2.91456162616,588,,9.44822e-06,-58.3107703737,1,-58.3107703737,-58.3107703737,6.9904e-09,2085.37,59.1334598495,5.16048,nan,50000
-10187.7,1.11359e-13,1928.06591217,0.000122037,477.862,93.984962406,100,nan,12.8162,0.7,-64.7516,5.00463686956,532,1.16948e-08,1.04428e-05,-64.5639320739,1,-64.5639320739,-64.5639320739,7.69891e-11,0.849105,1928.06591217,1.09669,nan,50000
-7166.87,,76.2062531613,0.0611851,213.04,86.3557858377,100,nan,1.31103e+15,0.7,-35.1915,7.98622752384,579,,9.59509e-06,-59.0175632925,1,-59.0175632925,-59.0175632925,4.4969e-07,2.06467e+26,76.2062531613,2.05597e+11,nan,50000
-9870.35,2.95768e-22,2252.70463906,0.000164413,588.71,95.0570342205,100,nan,18.2962,0.7,-63.8007,3.31495505963,526,3.29136e-17,1.05619e-05,-65.771684575,1,-65.771684575,-65.771684575,1.54517e-10,1.91349,2252.70463906,1.17535,nan,50000
-9832.87,,67.8452048206,0.000354106,111.716,86.8055555556,100,nan,75.3442,0.7,-54.5569,19.287673442,576,,9.64506e-06,-59.3376439155,1,-59.3376439155,-59.3376439155,4.2492e-10,19.2371,67.8452048206,2.05221,nan,50000
-10486.9,4.39852e-16,1999.72662439,0.000120397,485.992,96.7117988395,100,,12.5197,0.7,-67.0686,5.03504147976,517,4.57389e-11,1.07458e-05,-66.3060802036,1,-66.3060802036,-66.3060802036,7.7342e-11,0.836322,1999.72662439,1.11742,inf,50000
-7484.4,,183.890094462,0.00946276,471.803,90.4159132007,100,nan,15059.3,0.7,-55.6682,3.01566484626,553,,1.00462e-05,-61.2981143956,1,-61.2981143956,-61.2981143956,3.0093e-08,76214.8,183.890094462,15.9878,nan,50000
