MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
1.0,200.0,40.9398,-474.123,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-474.12278451,1692.99756611,1692.99756611,3.50449e-18,0.2,,500.0,-474.12278451,-474.12278451,-585.458
0.53858,195.454338403,44.7583,-472.649,0.00268446,0.005,1.4591,195.46352138,0.00727266,1.02326,100,200,1.00314,1,-475.111040442,2210.09150151,2210.09150151,5.83142e-07,0.2,0.0234726,500.0,-475.111040442,-475.111040442,-558.839
1.0,200.0,42.2165,-470.795,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-470.795184584,1800.23204452,1800.23204452,3.50449e-18,0.2,,500.0,-470.795184584,-470.795184584,-597.981
0.627105,196.809422143,40.1951,-469.252,0.00320827,0.005,1.50444,196.69611424,0.00769673,1.01621,100,200,0.977326,1,-470.528340948,1321.26199779,1321.26199779,4.22034e-07,0.2,0.0161245,500.0,-470.528340948,-470.528340948,-559.912
1.0,200.0,41.495,-473.239,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-473.239303004,1739.23104714,1739.23104714,3.50449e-18,0.2,,500.0,-473.239303004,-473.239303004,-596.329
0.340545,191.524272481,42.949,-467.953,0.00172356,0.005,1.60441,190.939647333,0.00812019,1.04425,100,200,0.987913,1,-470.408522861,1976.10080428,1976.10080428,1.19226e-06,0.2,0.0465443,500.0,-470.408522861,-470.408522861,-557.161
1.0,200.0,42.0818,-465.404,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-465.403942664,1788.76438733,1788.76438733,3.50449e-18,0.2,,500.0,-465.403942664,-465.403942664,-580.648
0.459661,191.79436598,40.1425,-463.22,0.00227597,0.005,1.59806,191.374751574,0.00791266,1.04278,100,200,1.00981,1,-467.986549324,1646.47304374,1646.47304374,1.13241e-06,0.2,0.0461899,500.0,-467.986549324,-467.986549324,-549.981
1.0,200.0,39.0082,-462.743,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-462.743063245,1537.0073321,1537.0073321,3.50449e-18,0.2,,500.0,-462.743063245,-462.743063245,-573.33
0.330853,191.072082003,43.7009,-459.535,0.00171356,0.005,1.52792,188.760874338,0.0079134,1.04673,100,200,0.965398,1,-464.420898375,2123.36590533,2123.36590533,1.49602e-06,0.2,0.0557711,500.0,-464.420898375,-464.420898375,-547.263
