MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,548.677293264,6.20732e-06,inf,3.19706e+23,55.8659217877,,50000,100,326856.0,0.19984,548.677293264,nan,1.23944e-06,895,548.677293264,0.8,13973.8,9.93056e+18,2468.44,4.99999710696,122623.986694,nan,122623.986694
,1,755.732352234,8.50774e-06,inf,5.50979e+26,76.5696784074,,50000,100,322071.0,0.199995,755.732352234,nan,1.7014e-06,653,755.732352234,0.8,12000.4,2.34385e+22,2336.23,4.99999980923,150763.1707,nan,150763.1707
,1,678.73482732,7.65228e-06,1.6829e+24,1.17245e+14,68.870523416,,50000,100,205750.0,0.0620779,678.73482732,nan,4.71785e-07,726,678.73482732,0.8,5426.38,1.44527e+10,1253.56,15.9996726027,92250.0512536,nan,92250.0512536
,1,855.124771497,9.61169e-06,inf,4.68302e+24,86.5051903114,,50000,100,237707.0,0.0625,855.124771497,nan,6.00644e-07,578,855.124771497,0.8,6521.86,7.20187e+20,1480.22,15.9999980305,113738.438141,nan,113738.438141
,1,816.509411315,9.18274e-06,9.60549e+12,2.54605e+08,82.6446280992,,50000,100,250002.0,0.0506679,816.509411315,nan,3.80409e-07,605,816.509411315,0.8,6437.01,46143.1,1628.64,15.8645633776,153032.362355,nan,153032.362355
,1,782.438779256,8.80437e-06,6.12369e+16,1.97474e+10,79.2393026941,,50000,100,244175.0,0.045682,782.438779256,nan,3.27705e-07,631,782.438779256,0.8,5654.19,3.80595e+06,1572.81,15.9997046383,152400.01811,nan,152400.01811
,1,773.764212742,8.70777e-06,2.18248e+30,1.24685e+17,78.3699059561,,50000,100,nan,0.054965,773.764212742,nan,4.24122e-07,638,773.764212742,0.8,nan,1.97532e+13,nan,15.8764899276,218904.383784,nan,218904.383784
,1,831.813947948,9.35279e-06,inf,2.38991e+22,84.1750841751,,50000,100,273618.0,0.0283718,831.813947948,nan,2.06438e-07,594,831.813947948,0.8,8463.55,7.87834e+18,1845.82,9.3322601382,157275.643229,nan,157275.643229
,1,868.814769051,9.76372e-06,inf,3.04028e+22,87.8734622144,,50000,100,nan,0.199999,868.814769051,nan,1.95265e-06,569,868.814769051,0.8,nan,1.48423e+18,nan,4.99999908221,161300.489259,nan,161300.489259
,1,861.157090317,9.67867e-06,inf,1.05002e+24,87.1080139373,,50000,100,272990.0,0.0624998,861.157090317,nan,6.04825e-07,574,861.157090317,0.8,7658.38,1.62605e+20,1715.43,16.000006588,129850.379135,nan,129850.379135
,1,868.802010072,9.76372e-06,1.76194e+16,1.86097e+10,87.8734622144,,50000,100,245701.0,0.161263,868.802010072,nan,1.32306e-06,569,868.802010072,0.8,6561.51,1.12673e+06,1497.97,4.79886379574,109943.926253,nan,109943.926253
,1,959.082483704,1.07666e-05,3.59502e+10,1.21461e+07,96.8992248062,,50000,100,241724.0,0.0274913,959.082483704,nan,1.84171e-07,516,959.082483704,0.8,6092.11,4756.83,1484.86,11.5644635389,68903.7282546,nan,68903.7282546
,1,807.055609342,9.0777e-06,7.73677e+31,1.25216e+18,81.6993464052,,50000,100,261834.0,0.150886,807.055609342,nan,1.12341e-06,612,807.055609342,0.8,7652.76,7.53334e+13,1685.87,4.59883711706,162757.240081,nan,162757.240081
,1,816.50710186,9.18274e-06,1.11447e+08,683881.0,82.6446280992,,50000,100,223196.0,0.0206565,816.50710186,nan,1.01677e-07,605,816.50710186,0.8,5013.2,304.015,1359.25,15.0454768216,159894.213942,nan,159894.213942
,1,949.77528963,1.06633e-05,2.34625e+28,1.11583e+16,95.9692898273,,50000,100,276576.0,0.0462246,949.77528963,nan,4.02648e-07,521,949.77528963,0.8,5840.71,2.57403e+12,1826.13,14.4821044754,102788.358181,nan,102788.358181
,1,1072.38627963,1.2025e-05,4.67481e+24,1.21779e+14,108.225108225,,50000,100,512938.0,0.0274004,1072.38627963,nan,2.36665e-07,462,1072.38627963,0.8,21172.9,5.34442e+10,3823.24,9.75988414693,527876.952263,nan,527876.952263
,1,844.76227263,9.49668e-06,inf,5.97449e+23,85.4700854701,,50000,100,234532.0,0.198591,844.76227263,nan,1.87266e-06,585,844.76227263,0.8,5037.6,2.85702e+19,1327.83,4.99983292308,59315.7693707,nan,59315.7693707
,1,1081.8468923,1.213e-05,inf,5.31515e+20,109.170305677,,50000,100,323063.0,0.199785,1081.8468923,nan,2.42069e-06,458,1081.8468923,0.8,7364.0,3.22711e+16,1977.62,4.99999778931,178472.781189,nan,178472.781189
,1,949.774990916,1.06633e-05,inf,7.54094e+21,95.9692898273,,50000,100,294923.0,0.0620822,949.774990916,nan,6.57497e-07,521,949.774990916,0.8,7100.64,1.29523e+18,1854.57,15.9992714164,115705.588354,nan,115705.588354
,1,980.095480256,1.10011e-05,8.27473e+24,2.16838e+14,99.0099009901,,50000,100,275815.0,0.0624875,980.095480256,nan,6.8718e-07,505,980.095480256,0.8,6656.76,3.81749e+10,1755.43,15.9999975241,133042.576673,nan,133042.576673
,1,1021.04570142,1.14548e-05,2.16455e+30,1.83e+17,103.092783505,,50000,100,366529.0,0.117579,1021.04570142,nan,8.93572e-07,485,1021.04570142,0.8,9842.92,1.78281e+13,2499.5,4.42996153381,139913.537641,nan,139913.537641
,1,968.568269363,1.08719e-05,6.47041e+29,1.0238e+17,97.8473581213,,50000,100,357791.0,0.13978,968.568269363,nan,1.20613e-06,511,968.568269363,0.8,10958.6,7.96299e+12,2530.56,4.40255644093,202390.206458,nan,202390.206458
,1,870.366295126,9.78091e-06,inf,2.29459e+25,88.0281690141,,50000,100,nan,0.0623933,870.366295126,nan,6.09134e-07,568,870.366295126,0.8,nan,3.59704e+21,nan,15.9999678431,190567.97292,nan,190567.97292
,1,904.160277953,1.01564e-05,inf,6.46711e+21,91.407678245,,50000,100,385184.0,0.181399,904.160277953,nan,1.68798e-06,547,904.160277953,0.8,11622.9,3.62089e+17,2810.14,4.94949445986,232887.379893,nan,232887.379893
,1,876.611408706,9.85028e-06,inf,1.16088e+26,88.6524822695,,50000,100,342513.0,0.197589,876.611408706,nan,1.92302e-06,564,876.611408706,0.8,13414.8,5.78725e+21,2344.28,4.99932185894,136890.070794,nan,136890.070794
,1,523.667432428,5.92909e-06,inf,7.13819e+26,53.3617929562,,50000,100,234706.0,0.0548886,523.667432428,nan,2.89013e-07,937,523.667432428,0.8,7605.08,7.7107e+22,1740.89,15.8206441153,233955.676579,nan,233955.676579
,1,719.983197025,8.1103e-06,inf,4.2459e+23,72.9927007299,,50000,100,276804.0,0.0605921,719.983197025,nan,4.76816e-07,685,719.983197025,0.8,8980.14,5.68317e+19,1934.04,15.9845905154,247381.707871,nan,247381.707871
,1,815.16226638,9.16758e-06,inf,1.67363e+23,82.5082508251,,50000,100,226159.0,0.0624467,815.16226638,nan,5.71919e-07,606,815.16226638,0.8,5518.95,2.45699e+19,1374.84,15.9999931112,83285.3366612,nan,83285.3366612
,1,808.416937385,9.09256e-06,inf,4.06784e+26,81.8330605565,,50000,100,287152.0,0.199998,808.416937385,nan,1.81841e-06,611,808.416937385,0.8,9938.45,1.84937e+22,1916.48,5.00000034776,216862.210721,nan,216862.210721
,1,831.808767899,9.35279e-06,6.00063e+11,4.27976e+07,84.1750841751,,50000,100,208327.0,0.0161896,831.808767899,nan,8.58675e-08,594,831.808767899,0.8,4201.68,24724.4,1243.04,8.13386275881,56181.6028239,nan,56181.6028239
,1,844.772738267,9.49668e-06,inf,6.09684e+23,85.4700854701,,50000,100,280683.0,0.2,844.772738267,nan,1.89926e-06,585,844.772738267,0.8,7879.74,2.89499e+19,1879.79,4.99999964148,108598.804783,nan,108598.804783
,1,957.231413943,1.07458e-05,inf,1.93348e+26,96.7117988395,,50000,100,333134.0,0.199833,957.231413943,nan,2.14546e-06,517,957.231413943,0.8,10318.6,1.03971e+22,2260.83,4.99999637724,243496.484462,nan,243496.484462
,1,1060.80402944,1.18963e-05,inf,1.9131e+22,107.066381156,,50000,100,362119.0,0.0544356,1060.80402944,nan,5.75593e-07,467,1060.80402944,0.8,13741.8,4.18085e+18,2449.48,15.6747086016,321186.672318,nan,321186.672318
,1,1137.04382172,1.27421e-05,inf,1.66094e+23,114.678899083,,50000,100,525554.0,0.199707,1137.04382172,nan,2.54083e-06,436,1137.04382172,0.8,23428.6,1.05975e+19,3881.14,4.99998930425,500983.668716,nan,500983.668716
,1,831.837202686,9.35279e-06,3.88179e+27,5.09349e+15,84.1750841751,,50000,100,286406.0,0.0624993,831.837202686,nan,5.84454e-07,594,831.837202686,0.8,11344.1,7.62222e+11,1993.48,16.0000067458,276574.269288,nan,276574.269288
,1,868.918050298,9.76372e-06,1.56292e+27,3.16291e+15,87.8734622144,,50000,100,466866.0,0.0616379,868.918050298,nan,5.93549e-07,569,868.918050298,0.8,24446.7,5.01019e+11,3881.54,15.9999864209,591825.489991,nan,591825.489991
