#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-52.573126,10,4.5752
-36.236135,10,4.578234
-38.105141,10,4.581349
-26.038428,10,4.584327
-37.754895,10,4.587398
-86.364249,10,4.590286
-41.280372,10,4.593222
-57.363018,10,4.596186
-23.120053,10,4.599327
-15.881342,10,4.60227
-19.532087,10,4.605486
-6.2798,10,4.608604
-10.423307,10,4.611768
-55.708793,10,4.614769
-101.894525,10,4.617695
-9.591988,10,4.620671
-60.95679,10,4.623682
-19.424145,10,4.626913
-7.127691,10,4.629819
-45.606188,10,4.633064
-7.028978,10,4.636094
-40.916973,10,4.639388
-75.086463,10,4.642464
-99.558218,10,4.645499
-100.527565,10,4.648548
-36.3184,10,4.651556
-60.065903,10,4.65471
-26.072015,10,4.658198
-61.408302,10,4.661445
-32.413832,10,4.664485
-23.047453,10,4.667613
-83.619413,10,4.670582
-52.417469,10,4.673591
-53.108464,10,4.676612
-21.765979,10,4.679823
-60.566469,10,4.682973
-73.192382,10,4.686219
-88.63035,10,4.689245
-113.920154,10,4.69228
-106.333809,10,4.695268
-38.038786,10,4.698321
-25.5956,10,4.701324
-33.833311,10,4.704447
-61.2156,10,4.707684
-75.220173,10,4.710682
-76.362015,10,4.713809
-77.659762,10,4.716812
-35.42639,10,4.719796
-45.705703,10,4.722783
-43.302552,10,4.725793
-15.616498,10,4.728776
-42.315744,10,4.731787
-17.104425,10,5.890302
-21.829221,10,5.894389
-33.115688,10,5.897616
-50.696222,10,5.900885
-12.767237,10,5.904061
-13.450476,10,5.907272
-33.722019,10,5.910415
-44.589728,10,5.913606
-22.636003,10,5.916609
-21.429185,10,5.919566
-34.253181,10,5.922489
-78.911495,10,5.926468
-64.980955,10,5.930248
-7.49762,10,5.933998
-22.652615,10,5.937179
-9.574636,10,5.94065
-11.01244,10,5.944242
-111.1227,10,5.94715
-28.856009,10,5.950124
-80.083024,10,5.953374
-30.615529,10,5.957255
-40.42423,10,5.962693
-15.578619,10,5.967089
-26.719805,10,5.970207
-61.716307,10,5.973089
-38.640834,10,5.975914
-27.026314,10,5.979035
-41.277788,10,5.982475
-13.711288,10,5.985483
-11.786637,10,5.988553
-64.93958,10,5.992181
-15.830498,10,5.995187
-14.013268,10,5.998052
-6.663958,10,6.001155
-50.743783,10,6.004324
-71.429544,10,6.008323
-40.334275,10,6.012188
-28.747609,10,6.015477
-51.09364,10,6.018563
-34.702903,10,6.022347
-13.587468,10,6.025394
-20.743827,10,6.028367
-40.612241,10,6.031999
-32.431072,10,6.035084
-15.968874,10,6.038117
-11.656302,10,6.041605
-30.704858,10,6.04472
-35.582678,10,6.047931
-13.674579,10,6.051462
-20.7727,10,6.05464
-47.375903,10,6.057813
-15.164827,10,6.061316
-42.679721,10,6.064375
-50.402638,10,6.067436
-22.951537,10,6.071067
-47.528121,10,6.074152
-72.524223,10,6.07723
-27.912364,10,6.080652
-52.726526,10,6.083939
-14.082572,10,6.088736
