InitialReturnMax,TimeElapsed,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,MaxIWNorm,MeanIWNorm,LearnableVariance,ReturnMeanIW,InitialReturnStd,ESSRenyi,TimestepsSoFar,EpThisIter,OptimizationReturnMin,J_sample_variance,Bound,MinIWNorm,MeanIW,StdIWNorm,Iteration,StdIW,ReturnStepMax,EpisodesSoFar,EmpiricalD2,VarianceInit,MeanEntropy,ESSClassic,EpLenMean,InitialBound,MaxIW,EpRewMean,OptimizationReturnMax
47.1117,13177.144497156143,10.715817,36.568886,0.0065468997,25.853067,1.5123326e-06,533.25836,5.3360553,True,20821.514,4.690928,3.3202436e-05,2750000,100,,5124601000.0,16733.486,1.5123325e-08,533.60547,53.05819,55,5305.819,0.25245303,5500,3011827.2,-1,2.216955,1.0013024,500.0,34.213303,53325.836,36.56888486497605,21.25863
49.132652,13501.852746009827,9.472949,39.371822,0.029348865,29.898876,1.5477389e-06,69.395195,0.6982292,True,3225.1277,4.1680255,0.0010314053,2800000,100,,132734730.0,2460.191,1.5477388e-08,69.82294,6.90432,56,690.43207,0.25285542,5600,96955.1,-1,2.2347481,1.0123608,500.0,36.91519,6939.52,39.37182457776653,19.233776
51.45778,13727.567412137985,12.550852,42.34294,0.015028879,29.79209,5.4546954e-06,446.641,4.4700294,True,17327.303,3.7321806,0.0003681691,2850000,100,,1784363000.0,15986.399,5.4546952e-08,447.00296,44.439857,57,4443.986,0.21491638,5700,271614.3,-1,2.2735524,1.0016212,500.0,39.770054,44664.1,42.34294127412059,21.66569
48.82539,13942.276393413544,13.762729,39.771084,0.063415736,26.008356,6.488903e-09,611.4146,6.123576,True,27989.486,4.632984,8.81874e-05,2900000,100,,14779422000.0,25389.852,6.488903e-11,612.3576,60.83409,58,6083.4097,0.27561098,5800,1133948.9,-1,2.269532,1.0030853,500.0,37.329815,61141.465,39.7710844000078,22.817034
49.777157,14161.44669508934,9.691263,40.227875,0.011170015,30.536608,1.2990586e-07,726.1483,7.2641377,True,27686.146,3.7455232,8.94958e-06,2950000,100,,3524740900.0,19366.617,1.2990585e-09,726.4138,72.25058,59,7225.0586,0.23801681,5900,11173709.0,-1,2.281365,1.0007312,500.0,37.739014,72614.836,40.22787094355842,19.24055
50.511528,14395.99810218811,11.041254,38.238876,0.05661747,27.197624,1.580496e-06,58.839024,0.600421,True,2911.0825,4.3900228,0.00875514,3000000,100,,162327800.0,2641.1663,1.580496e-08,60.0421,5.8535337,60,585.35345,0.30961522,6000,11421.862,-1,2.2428317,1.0411894,500.0,35.7133,5883.9023,38.23887716072603,23.313904
48.028957,14662.901092767715,12.136753,39.1452,0.012591794,27.008448,0.001695814,0.98961776,0.022962274,True,89.994316,4.393147,2.012589,3050000,100,,24330.402,73.06671,1.695814e-05,2.2962275,0.10385437,61,10.385437,0.22029153,6100,49.687244,-1,2.2144775,4.6607103,500.0,36.743748,98.96178,39.14519984924198,21.02051
47.294678,14856.588092327118,10.317482,39.296017,0.052602634,28.97853,9.50162e-05,32.389267,0.33590332,True,1303.8251,3.9478178,0.0038852922,3100000,100,,11464823.0,924.4486,9.5016196e-07,33.59033,3.2220187,62,322.20187,0.22068587,6200,25738.09,-1,2.2393873,1.0751715,500.0,36.93128,3238.9268,39.29601226723864,18.316147
45.96968,15070.234579086304,9.211203,37.70721,0.06439057,28.496008,2.1885562e-06,107.56875,1.0852126,True,3101.8022,3.8831716,0.0008715886,3150000,100,,9661453.0,2323.2537,2.1885562e-08,108.52127,10.702093,63,1070.2092,0.25160554,6300,114733.03,-1,2.242063,1.0177697,500.0,35.408722,10756.875,37.70721037333313,17.473673
50.1452,15317.354230642319,15.400684,39.272614,0.04138559,23.871927,3.2909327e-05,56.682693,0.6000299,True,2977.7544,4.7786646,0.0104643535,3200000,100,,223749380.0,2732.6545,3.2909327e-07,60.002995,5.638818,64,563.8818,0.24891773,6400,9556.252,-1,2.2963865,1.1196436,500.0,36.76535,5668.2695,39.272611703660125,26.273272
