StdD2w0t,Weights,InitialReturnStd,InitialReturnMean,MeanIW,EpThisIter,InitialReturnMax,MeanD2w0t,ReturnMeanIW,J_sample_variance,EmpiricalD2,MaxIW,InitialReturnMin,StdIW,EpisodesSoFar,TimeElapsed,MinD2w0t,EpLenMean,Iteration,EpRewMean,MeanEntropy,MinIW,ReturnStepMaxmin,Bound,TimestepsSoFar,MaxD2w0t,ReturnStepMax,InitialBound
6.727763,[-1.042 -0.865 -0.128 -0.865 -0.752],15.30297,-57.684174,0.68016,100,-14.454043,0.93566096,-41.229786,3333.558,25.653738,17.530933,-71.82259,1.0985639,6600,1311.6742753982544,,68.75,66,-103.29075396771836,0.6503407,0.0021149325,99.0,-52.17916,358499,238.02481,100.0,-61.746765
3.1362824,[-1.025 -0.861 -0.109 -0.847 -0.769],16.936909,-54.44523,0.7572669,100,-10.153956,0.5594327,-41.918262,909.4106,5.010761,32.226006,-73.33794,0.8827013,6700,1332.80415558815,,79.9,67,-104.45439159639794,0.65252686,0.0031120032,99.0,-49.728203,366489,83.24469,100.0,-58.579754
2.0566468,[-1.035 -0.858 -0.102 -0.86  -0.766],16.96737,-55.63416,0.7719578,100,2.5586224,0.44591945,-42.491978,2954.6394,6.371905,9.11174,-73.00175,1.076464,6800,1359.6001806259155,,75.74,68,-104.31329513566924,0.65356815,0.027253771,99.0,-49.880356,374063,89.1499,100.0,-59.76568
2.7081556,[-1.04  -0.86  -0.099 -0.845 -0.765],16.540668,-54.972965,0.8480333,100,-13.024351,0.57010204,-43.15359,2752.6658,10.043377,35.99044,-72.41655,1.5243782,6900,1384.1400973796844,,79.53,69,-105.4377294309234,0.66063017,0.00769333,99.0,-50.749035,382016,95.70825,100.0,-59.13538
3.6515522,[-1.064 -0.858 -0.09  -0.839 -0.758],18.012589,-52.697067,0.7767099,100,-2.576213,0.8464772,-42.209286,2727.582,13.383439,13.584309,-73.47683,1.2088401,7000,1410.0281579494476,,85.29,70,-105.12075547019975,0.6584513,0.00060346024,99.0,-50.709717,390545,89.08412,100.0,-56.85649
9.1971,[-1.067 -0.868 -0.097 -0.862 -0.76 ],17.527264,-55.51212,0.63413537,100,-2.1997585,0.955405,-37.747242,1299.9794,18.864855,5.3287816,-70.68841,0.6258016,7100,1434.722252368927,,78.84,71,-104.96550215497291,0.65972763,0.0011224997,99.0,-47.21823,398429,445.9181,100.0,-59.669765
4.717758,[-1.08  -0.875 -0.114 -0.878 -0.759],15.052415,-57.319706,0.66964924,100,-21.556105,0.7353642,-41.792503,1837.1532,12.655322,6.758143,-72.70327,0.7465012,7200,1457.6137347221375,,71.04,72,-104.23262105333008,0.6604628,0.003776095,99.0,-52.012207,405533,237.3422,100.0,-61.402374
3.4700217,[-1.085 -0.873 -0.119 -0.854 -0.758],16.736435,-53.385273,0.700092,100,-12.988778,0.7366757,-39.254322,2634.4124,14.253097,5.8548355,-72.69153,0.9125533,7300,1483.7997288703918,,83.45,73,-105.82303259446726,0.6853608,0.0016811022,99.0,-47.518185,413878,120.69697,100.0,-57.54561
3.2816312,[-1.076 -0.89  -0.128 -0.877 -0.734],15.293101,-56.624725,0.7318021,100,-10.324709,0.6368815,-42.173164,3433.8804,14.413382,19.869982,-72.89932,1.1248325,7400,1508.6168491840363,,71.98,74,-104.27213223636205,0.67767626,0.0044802357,99.0,-51.666122,421076,120.812874,100.0,-60.73016
2.801583,[-1.058 -0.879 -0.136 -0.884 -0.741],15.001488,-57.087738,0.70200235,100,-13.949791,0.5197987,-42.585506,1621.228,5.910827,12.528719,-72.2212,0.7755259,7500,1534.232088804245,,73.08,75,-104.63271049501333,0.67333907,0.0019203266,99.0,-50.722073,428384,88.083755,100.0,-61.214672
1.8492417,[-1.054 -0.884 -0.116 -0.894 -0.746],14.643945,-57.03749,0.80976266,100,-12.614938,0.4265285,-46.444614,2210.2532,5.1622815,28.823088,-71.657585,0.97666985,7600,1556.8595943450928,,68.37,76,-102.50121513647817,0.6818945,0.0072564455,99.0,-54.643436,435221,57.926613,100.0,-61.06814
4.6586576,[-1.06  -0.901 -0.112 -0.923 -0.737],15.200487,-58.515224,0.6761094,100,-10.954033,0.79836774,-38.57862,2503.0142,25.30583,15.187573,-72.41475,0.92736286,7700,1579.056206703186,,67.93,77,-103.56792553053823,0.6445815,0.0015517287,99.0,-49.561768,442014,204.3461,100.0,-62.59745
6.883892,[-1.053 -0.92  -0.123 -0.955 -0.774],13.277124,-59.570084,0.6175661,100,-18.960968,0.857342,-35.861637,1327.6624,30.384031,7.9787254,-73.27784,0.709021,7800,1602.094417333603,,61.23,78,-101.09869009773573,0.64549327,0.0012612757,99.0,-48.248016,448137,457.95654,100.0,-63.526253
