MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.0007753,0.09319277,1.0004067,-80.68328,-97.46013,0.29073167,[-0.368 -0.677 -0.481 -0.254  0.002],0.99458295,603.5106019973755,,5000,0.9414302,99.0,-120.39325809605634,1.0388048,9.966919,46.59,0.01835687,-1914.7639,-1914.9902,103.004585,-31.813082,229120,-81.070724,50,100.0,1.4213263,100
1.0001036,0.09238203,1.0000414,-82.30044,-98.97024,0.28957593,[-0.366 -0.677 -0.481 -0.255  0.002],0.9992714,616.5294575691223,,5100,0.9818699,99.17358,-121.86104271348204,1.0170057,8.474603,46.19,0.0061484925,-1848.8982,-1848.9296,72.46824,-58.8672,233739,-82.35747,51,100.0,1.4209055,100
1.0001842,0.0917238,1.0000865,-81.26428,-98.19171,0.28864858,[-0.366 -0.677 -0.48  -0.255  0.002],0.99887526,627.2826399803162,,5200,0.95845276,99.090324,-120.31497213234299,1.0246785,8.109096,45.86,0.010191528,-1827.8876,-1827.9407,64.321465,-56.48267,238325,-81.36379,52,100.0,1.4202875,100
1.00027,0.09370647,1.0001392,-80.12684,-95.70026,0.29143575,[-0.367 -0.677 -0.481 -0.255  0.001],0.9976969,639.5888290405273,,5300,0.96992505,99.16295,-119.73734701968696,1.0242633,9.701046,46.85,0.010975429,-1889.4658,-1889.5543,94.29554,-52.8558,243010,-80.29964,53,100.0,1.420372,100
1.0010163,0.09196238,1.0004919,-82.31719,-98.68711,0.2890076,[-0.367 -0.677 -0.481 -0.255  0.001],0.9915951,650.815277338028,,5400,0.8880056,99.234795,-122.52621733808634,1.0470824,8.340848,45.97,0.024554888,-1871.7325,-1872.057,72.15897,-61.1692,247607,-82.93687,54,100.0,1.4186069,100
1.0002595,0.09446609,1.0001129,-81.51684,-98.40177,0.29247794,[-3.681e-01 -6.760e-01 -4.807e-01 -2.550e-01 -2.448e-04],0.9978503,663.770161151886,,5500,0.97491914,99.08765,-121.95193621029897,1.0298221,8.369582,47.23,0.010044243,-1843.3339,-1843.4283,70.06712,-48.191658,252330,-81.683235,55,100.0,1.4189454,100
1.0002686,0.089907356,1.0001777,-81.80922,-97.44023,0.28606522,[-3.685e-01 -6.748e-01 -4.802e-01 -2.550e-01  7.058e-06],0.9981929,676.1118202209473,,5600,0.96471,99.08457,-120.44139064691063,1.0358094,8.290439,44.95,0.012548306,-1828.4698,-1828.552,66.543076,-52.652676,256825,-81.97507,56,100.0,1.4188592,100
1.0013777,0.089470305,1.0006467,-83.238785,-98.65784,0.2854691,[-3.688e-01 -6.749e-01 -4.798e-01 -2.550e-01 -1.361e-04],0.9893753,688.0515089035034,,5700,0.91022295,99.17557,-122.73943731436259,1.0621274,8.107955,44.72,0.024441479,-1845.343,-1845.7983,65.219185,-63.5951,261297,-84.05316,57,100.0,1.4179702,100
1.0004169,0.09550795,1.000211,-80.55266,-98.63788,0.29393038,[-0.369 -0.677 -0.48  -0.256 -0.001],0.99773717,701.1680564880371,,5800,0.9641886,99.17802,-121.13085148530891,1.0341786,10.074179,47.75,0.0127155725,-1805.2686,-1805.3732,100.894325,-56.152153,266072,-80.73934,58,100.0,1.4179918,100
1.0003388,0.08978833,1.0001125,-82.21838,-97.29311,0.28588688,[-0.368 -0.676 -0.48  -0.257 -0.001],0.99733454,714.0106647014618,,5900,0.9643309,99.00014,-120.77311426648133,1.0273691,8.939196,44.89,0.009582607,-1867.1211,-1867.2507,79.66789,-49.00384,270561,-82.4374,59,100.0,1.4179475,100
