EmpiricalD2,MeanEntropy,EpRewMean,MeanIW,InitialReturnMin,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,MaxD2w0t,Iteration,EpThisIter,Bound,TimeElapsed,EpLenMean,InitialBound,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,ReturnStepMaxmin,ReturnStepMax,J_sample_variance,ReturnMeanIW,EpisodesSoFar,TimestepsSoFar,MaxIW,MinIW,InitialReturnMean
1.0134656,1.3955295,-122.91989962840516,1.0184613,-17.568901,10.0,35.81407,0.10229854,0.12505344,1.0262603,51,100,-125.23996,614.4207503795624,50.86,-126.36582,,[-0.463 -0.63  -0.472 -0.238 -0.024],0.30400088,9.092844,94.23801,100.0,315.23825,162.01779,5100,243191,1.432342,0.69975924,5.1116945e-06
1.0424389,1.413951,-121.35078110745292,1.060581,-17.272438,10.0,18.380413,0.09850511,0.24865161,1.0740914,52,100,-114.49811,627.9353950023651,48.19,-118.735565,,[-0.465 -0.635 -0.473 -0.236 -0.023],0.30165356,8.123369,94.10163,100.0,1104.1395,177.52339,5200,248010,2.4858122,0.5821309,7.6293946e-07
1.0021724,1.4134467,-119.7183610662578,1.003369,-18.384407,10.0,26.630444,0.09717532,0.03938755,1.0052794,53,100,-127.41418,640.1682057380676,48.52,-127.78406,,[-0.461 -0.629 -0.471 -0.237 -0.005],0.29641905,10.341506,94.17629,100.0,160.70027,166.47665,5300,252862,1.1310803,0.89313185,5.722046e-07
1.0316318,1.4106808,-120.13220612672963,1.0403775,-18.076233,10.0,29.138279,0.09772492,0.18776366,1.0614934,54,100,-117.71274,652.4287440776825,48.14,-120.667046,,[-0.461 -0.624 -0.468 -0.237 -0.006],0.2994266,9.710989,94.06834,100.0,704.8309,173.86313,5400,257676,1.7311053,0.5533254,4.4631956e-06
1.0162551,1.416107,-120.58502364968267,1.0180981,-19.898743,10.0,43.118298,0.10363113,0.14151648,1.0273541,55,100,-133.92294,665.9090483188629,51.43,-135.08044,,[-0.461 -0.619 -0.468 -0.243 -0.008],0.3060624,9.465367,94.310715,100.0,320.8289,157.24188,5500,262819,1.4789709,0.6471304,1.1062622e-06
1.0077105,1.4194925,-120.40110637204438,1.0113178,-16.25644,10.0,50.486145,0.1014103,0.094912834,1.0162674,56,100,-135.06857,678.0044186115265,50.48,-135.89212,,[-0.461 -0.618 -0.468 -0.238 -0.003],0.30261704,10.534602,94.23526,100.0,363.68964,159.79335,5600,267867,1.3602641,0.8029328,1.2969971e-06
1.0265863,1.4117464,-121.03958758833092,1.042368,-18.965172,10.0,27.116295,0.10294418,0.15820354,1.0722747,57,100,-128.58682,690.79185962677,50.89,-131.77034,,[-4.641e-01 -6.194e-01 -4.680e-01 -2.413e-01  5.707e-04],0.305845,10.298771,94.36717,100.0,603.0501,163.17017,5700,272956,1.7506105,0.68197143,-1.411438e-06
1.0025353,1.4122014,-121.05311944861083,1.0036875,-15.637283,10.0,23.27525,0.10010555,0.041722707,1.0047787,58,100,-127.270546,703.3349549770355,49.99,-127.57512,,[-0.475 -0.61  -0.466 -0.239 -0.007],0.3003419,8.708512,94.29844,100.0,82.17621,161.61351,5800,277955,1.1209314,0.8932519,-2.632141e-06
1.0202049,1.40829,-119.84687451950217,1.0286479,-19.043678,10.0,19.119766,0.099317536,0.1693129,1.0430506,59,100,-123.77049,715.4290840625763,49.15,-126.020226,,[-0.477 -0.607 -0.466 -0.237 -0.007],0.30080917,8.845403,94.22677,100.0,565.4373,167.31552,5900,282870,1.7034801,0.690238,1.2207031e-06
1.0308276,1.4174384,-119.31178037504796,1.0580689,-17.351265,10.0,29.704697,0.10196826,0.1901026,1.0624499,60,100,-128.34889,729.2263185977936,50.12,-133.18956,,[-0.473 -0.592 -0.461 -0.238 -0.011],0.30552483,9.9030075,94.341736,100.0,574.38776,166.1144,6000,287882,1.6239281,0.71294165,6.8664554e-07
1.0029858,1.4165407,-120.24026332233467,1.0043387,-16.035889,10.0,23.218288,0.0965249,0.060880017,1.0074173,61,100,-116.518005,741.2605149745941,48.18,-116.7891,,[-0.459 -0.581 -0.454 -0.235 -0.001],0.29558727,9.67274,94.16108,100.0,216.9953,168.4946,6100,292700,1.1667829,0.8024251,3.852844e-06
