ReturnStepMax,TimestepsSoFar,MeanD2w0t,StdD2w0t,Weights,EpLenMean,MeanEntropy,InitialReturnMean,EmpiricalD2,J_sample_variance,TimeElapsed,EpThisIter,EpisodesSoFar,EpRewMean,Iteration,MeanIW,InitialReturnStd,MaxIW,MinD2w0t,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,InitialBound,InitialReturnMax,StdIW,InitialReturnMin,ReturnMeanIW
100.0,90261,0.033673286,0.18042065,[-0.693  0.911 -0.684  0.291 -0.006],16.83,1.4144301,-93.27484,1.0010746,16.411404,402.3915696144104,100,5300,-108.37208058766868,53,0.9936767,2.736332,1.121265,,99.392685,0.9014462,1.0032158,-702.2999,-702.6158,-83.87175,0.03315979,-97.62396,-92.71548
100.0,91883,0.032447804,0.17720823,[-0.696  0.911 -0.683  0.289 -0.005],16.22,1.4140891,-93.39787,1.0006988,10.576951,410.17016196250916,100,5400,-107.91436115615737,54,0.99444467,2.5568311,1.0604867,,99.38468,0.92186385,1.0016688,-646.9199,-647.30164,-85.83771,0.026982108,-97.52116,-92.88242
100.0,93571,0.03376285,0.18062833,[-0.687  0.909 -0.682  0.288 -0.005],16.88,1.4140908,-93.303604,1.0001718,10.90925,418.28935050964355,100,5500,-108.43499441998401,55,0.9983984,2.9968975,1.0342455,,99.41339,0.96098423,1.000758,-671.3074,-671.38336,-83.4869,0.011662161,-97.661224,-93.162735
100.0,95251,0.03360685,0.18023328,[-0.691  0.91  -0.682  0.288 -0.005],16.8,1.4155917,-93.12661,1.0004332,14.070924,426.589586019516,100,5600,-108.13823788940546,56,0.99811727,3.1764798,1.0792739,,99.3817,0.939813,1.000726,-633.6746,-633.7506,-80.94709,0.01728433,-97.517395,-92.969345
100.0,96975,0.03454829,0.18281439,[-0.691  0.91  -0.682  0.289 -0.003],17.24,1.4169979,-93.45079,1.0062542,48.386013,434.49522972106934,100,5700,-108.95032880100655,57,0.98412097,2.9882832,1.2214978,,99.393135,0.774511,1.0104753,-681.7706,-682.56256,-80.945816,0.07059948,-97.63266,-92.03485
100.0,98659,0.033694826,0.1804793,[-0.683  0.911 -0.681  0.286 -0.002],16.84,1.4183352,-93.293564,1.0012795,18.235682,441.459520816803,100,5800,-108.38350388394416,58,0.99543625,2.732905,1.0734857,,99.36481,0.8820033,1.0024767,-612.0595,-612.2745,-85.9469,0.035882093,-97.582375,-92.89587
100.0,100356,0.033971485,0.18124752,[-6.839e-01  9.134e-01 -6.824e-01  2.873e-01 -6.104e-04],16.97,1.4164671,-93.519775,1.0024449,27.291712,449.4887707233429,100,5900,-108.77628838175626,59,0.9895253,2.8763092,1.0904906,,99.35686,0.8149266,1.0063943,-633.6442,-634.1438,-83.646126,0.051834222,-98.39372,-92.57964
100.0,102061,0.034128267,0.18163313,[-0.681  0.908 -0.683  0.287 -0.002],17.05,1.4194714,-93.24714,1.001559,18.543917,457.26006388664246,100,6000,-108.54081267933583,60,0.99291307,3.0017695,1.1124789,,99.35417,0.90029454,1.0034202,-676.6304,-676.9247,-80.752,0.035073966,-97.47624,-92.61944
100.0,103691,0.032636378,0.17779061,[-6.793e-01  9.062e-01 -6.838e-01  2.888e-01  5.102e-04],16.3,1.4218472,-93.712265,1.003753,27.678963,463.67614793777466,100,6100,-108.36805093872049,61,0.9862425,2.7650867,1.1424485,,99.389114,0.8648552,1.0106742,-646.9546,-647.616,-82.46836,0.052231368,-97.65904,-92.47471
100.0,105423,0.034654,0.18294263,[-0.675  0.908 -0.685  0.291  0.003],17.32,1.4218694,-93.18976,1.0007168,17.009027,471.0049784183502,100,6200,-108.73057887687028,62,0.9955672,2.9983046,1.0750145,,99.35556,0.92678064,1.00193,-702.3306,-702.5307,-83.72405,0.027896931,-97.4134,-92.807
100.0,107114,0.033862963,0.18099168,[-0.674  0.909 -0.684  0.289  0.003],16.91,1.4228582,-93.241554,1.0023557,24.445028,478.1633174419403,100,6300,-108.40920877924849,63,0.9883856,3.051956,1.1111915,,99.359535,0.88719463,1.0063281,-626.3476,-626.89294,-82.79114,0.040542565,-97.84848,-92.227295
100.0,108877,0.035268713,0.18448903,[-0.678  0.909 -0.685  0.294  0.004],17.63,1.421981,-93.060036,1.0003958,13.263504,485.4217646121979,100,6400,-108.88630345350782,64,0.99739486,3.2072103,1.0776942,,99.3489,0.9426098,1.0008947,-740.3879,-740.5048,-82.249626,0.018449193,-97.37644,-92.826035
100.0,110643,0.03534814,0.18473822,[-0.68   0.91  -0.684  0.292  0.003],17.66,1.4232945,-93.00743,1.0026617,28.144644,493.54057264328003,100,6500,-108.84539665536197,65,0.9914139,2.946182,1.1513867,,99.37278,0.8971441,1.0040262,-732.3125,-732.75934,-83.42322,0.047615964,-98.81305,-92.245224
100.0,112314,0.03344749,0.17987606,[-0.674  0.91  -0.686  0.292  0.004],16.71,1.4251629,-93.52866,1.0019377,19.866886,501.88670659065247,100,6600,-108.54525319027906,66,0.992859,2.8328352,1.1003981,,99.363754,0.87026536,1.0036916,-702.54956,-702.8696,-83.10266,0.04023785,-97.47986,-92.87528
100.0,114027,0.034270506,0.1819532,[-0.671  0.91  -0.686  0.29   0.006],17.13,1.421981,-93.033264,1.0005649,11.694803,509.5237936973572,100,6700,-108.37438599531175,67,0.996646,2.8598814,1.0554454,,99.37047,0.901444,1.0010104,-681.97925,-682.145,-82.34694,0.026869157,-97.82893,-92.73132
100.0,115717,0.0338258,0.18085265,[-0.671  0.909 -0.687  0.291  0.003],16.9,1.4218472,-93.34738,1.0028682,40.526962,518.6843748092651,100,6800,-108.51104722828416,68,0.99155873,3.0033872,1.1382716,,99.37213,0.8478806,1.0039138,-619.39325,-619.7886,-83.36024,0.05925141,-98.10611,-92.619644
100.0,117389,0.033453286,0.17985006,[-0.668  0.911 -0.688  0.291  0.003],16.72,1.4192837,-93.2268,1.0008779,12.923604,526.1287138462067,100,6900,-108.21066210087739,69,0.9969062,2.9406416,1.0638875,,99.3462,0.89710844,1.0021962,-604.33496,-604.483,-82.63919,0.02720783,-97.36746,-92.9349
