ReturnStepMax,Iteration,MeanD2w0t,MinD2w0t,InitialReturnMean,MaxIW,StdD2w0t,EpThisIter,MeanIW,InitialReturnStd,MeanEntropy,EpLenMean,EntropyCoefficient,InitialReturnMax,Weights,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,EpisodesSoFar,MinIW,TimestepsSoFar,Bound,StdIW,MaxD2w0t,J_sample_variance,TimeElapsed,InitialBound,EpRewMean,InitialReturnMin
100.0,62,2.1480756,,-93.129105,24.583364,61.639748,100,0.51556844,2.3729005,0.64825505,16.36,10.0,-87.02462,[ 0.532  1.559 -1.367  0.987 -0.766],336.35175,-49.011745,99.36268,6200,0.0001789685,101637,-53.74431,1.1076336,5275.232,9328.192,826.009108543396,-87.669395,-107.76412737739689,-97.55005
100.0,63,0.9761898,,-94.109924,31.546677,29.474333,100,0.6110145,2.0200596,0.6517941,15.84,10.0,-87.611206,[ 0.515  1.566 -1.293  0.952 -0.771],244.40125,-60.880676,99.392715,6300,0.00064777257,103221,-62.802685,2.108118,5447.7124,37220.39,839.3295681476593,-88.784035,-108.37285037532521,-97.49203
100.0,64,0.79568267,,-93.87409,10.47209,15.565067,100,0.6685575,2.3299842,0.6269409,16.24,10.0,-86.46007,[ 0.539  1.642 -1.273  0.944 -0.767],74.54831,-64.808464,99.377205,6400,6.648177e-05,104845,-65.10427,0.8708015,866.4879,6363.2,851.9275093078613,-88.43025,-108.50635318386699,-97.70921
100.0,65,0.31179833,,-93.52219,9.148925,16.256605,100,0.7423055,2.4558508,0.6476898,16.13,10.0,-84.99052,[ 0.545  1.64  -1.271  1.013 -0.792],80.56751,-70.75701,99.3564,6500,0.00055654236,106458,-67.89257,0.9164037,2300.9534,6918.5273,865.9330337047577,-88.339714,-107.99163963437496,-97.52839
100.0,66,1.1593138,,-93.51918,10.94586,41.30923,100,0.63870955,2.5668674,0.6547823,16.7,10.0,-87.19546,[ 0.574  1.685 -1.254  1.055 -0.771],151.2427,-60.769245,99.36189,6600,0.000121972036,108128,-62.594704,1.1967465,4334.9155,11106.438,877.876383304596,-88.36478,-108.51853528161486,-97.70745
100.0,67,1.3548986,,-93.665504,21.719269,21.86471,100,0.71823406,2.487235,0.6569352,16.07,10.0,-86.367645,[ 0.61   1.694 -1.277  1.135 -0.764],184.39325,-68.56068,99.38724,6700,3.806831e-05,109735,-72.88651,1.6600494,1159.9159,21214.95,893.5740098953247,-88.18779,-108.1027960231599,-97.64914
100.0,68,0.7492301,,-93.80435,6.4817247,10.248518,100,0.55607414,2.4050708,0.662612,16.23,10.0,-86.048935,[ 0.599  1.706 -1.316  1.107 -0.762],72.4907,-54.205433,99.37966,6800,0.0012760265,111358,-55.08232,0.97654784,389.58096,7739.659,907.2008249759674,-88.32618,-108.41255357720824,-97.52434
100.0,69,1.1948495,,-93.98102,57.04897,19.134443,100,0.51378506,2.2523303,0.6449694,16.01,10.0,-88.62648,[ 0.592  1.69  -1.36   1.063 -0.756],299.33957,-50.375942,99.37486,6900,0.0003291625,112959,-57.06441,1.4255819,1413.0216,15089.9,920.8819835186005,-88.463234,-108.39488207001833,-97.84896
100.0,70,1.946459,,-93.49617,43.919403,31.709167,100,0.5687032,2.1864495,0.652878,16.33,10.0,-87.01375,[ 0.606  1.732 -1.396  1.079 -0.774],544.20514,-55.950947,99.37893,7000,6.282326e-05,114592,-62.863754,1.5083312,1885.8264,16248.558,935.3574888706207,-88.11697,-108.14053844062288,-97.345764
100.0,71,1.1457654,,-94.04636,18.102365,18.672411,100,0.48939186,2.2949433,0.5954556,15.61,10.0,-87.786766,[ 0.579  1.664 -1.393  1.074 -0.766],296.44897,-47.82196,99.39746,7100,5.555136e-05,116153,-52.80725,1.5678042,982.60834,18346.006,950.3751919269562,-88.56884,-108.08027533099126,-97.59815
