InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,InitialReturnMean,StdD2w0t,MeanIW,TimeElapsed,EpRewMean,Bound,ReturnStepMax,MeanD2w0t,EpisodesSoFar,MinIW,Iteration,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpLenMean,MinD2w0t,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,MaxIW,Weights,J_sample_variance,StdIW,EmpiricalD2,MeanEntropy
-92.56349,14.2043495,-19.279152,37.91846,3.7384034e-06,0.2720383,1.0169511,531.5416448116302,-106.25942592673618,-90.94071,100.0,0.07976348,5100,0.7708389,51,93.63065,188173,100,39.58,,10.0,194.36685,1.0252677,1.5531116,[-0.726 -1.002 -0.709 -1.039  0.146],551.12115,0.109645545,1.011673,1.560238
-73.139656,11.952514,-16.917198,30.599556,1.7929077e-06,0.26669353,1.007326,542.0967233181,-107.70422619625634,-72.48187,100.0,0.076802336,5200,0.81784195,52,93.37429,192002,100,38.29,,10.0,203.56828,1.0128571,1.2419075,[-0.72  -0.997 -0.7   -1.036  0.141],257.3906,0.063718945,1.0044501,1.5615283
-92.045364,13.975817,-20.347145,36.759865,-1.0681152e-06,0.27600244,1.019569,552.7681472301483,-107.3542031472785,-90.44284,100.0,0.08225615,5300,0.7663029,53,93.73625,196081,100,40.79,,10.0,188.87337,1.0253117,1.3210397,[-0.718 -1.007 -0.704 -1.041  0.143],442.53714,0.10483915,1.0138674,1.5732472
-74.23697,12.835516,-18.158447,30.05851,-7.019043e-06,0.26972565,1.010553,565.6537082195282,-108.25844441358363,-73.1891,100.0,0.07846135,5400,0.79299414,54,93.449715,199982,100,39.01,,10.0,200.40382,1.029195,1.3175336,[-0.716 -1.01  -0.705 -1.045  0.154],554.3024,0.109013304,1.0132508,1.5751711
-70.89719,11.41896,-15.764458,31.618622,-1.6784668e-06,0.26495674,1.0196658,579.1287078857422,-108.48786316322774,-69.23956,100.0,0.07516208,5500,0.7258197,55,93.173584,203706,100,37.24,,10.0,214.27539,1.0352308,1.5244861,[-0.722 -1.02  -0.709 -1.045  0.156],571.4567,0.12987612,1.0145291,1.5743009
-107.81708,13.712127,-17.505386,41.95951,-5.8364867e-06,0.28144726,1.0430648,589.1957292556763,-107.3035152886277,-104.41847,100.0,0.0849768,5600,0.72873485,56,93.86341,207884,100,41.78,,10.0,186.97916,1.0560539,1.8026619,[-0.716 -1.004 -0.701 -1.038  0.155],1237.2153,0.1979624,1.0286427,1.5878102
-100.9534,13.535296,-19.416458,44.68763,7.476807e-06,0.27626327,1.0192138,599.8364102840424,-107.07014103737109,-99.408066,100.0,0.08239181,5700,0.67519945,57,93.75663,211968,100,40.84,,10.0,188.63522,1.0390756,1.463023,[-0.714 -1.016 -0.707 -1.047  0.169],574.7766,0.13109115,1.0145663,1.5840803
-101.72873,15.562733,-21.274254,40.9332,1.2207031e-06,0.27384517,1.0190806,609.5171918869019,-105.49798737656337,-100.07825,100.0,0.080816515,5800,0.6815126,58,93.733,215974,100,40.06,,10.0,190.23816,1.0325946,1.7858332,[-0.717 -1.008 -0.703 -1.048  0.165],674.59015,0.13724692,1.0164595,1.5918217
-82.437195,13.132159,-17.197266,47.53902,5.9127806e-06,0.2647202,1.0133694,620.3245620727539,-106.7966564547461,-81.29206,100.0,0.07541218,5900,0.779697,59,93.30873,219727,100,37.53,,10.0,207.8123,1.0199507,1.2963116,[-0.716 -1.018 -0.704 -1.051  0.173],430.1919,0.08838897,1.0099251,1.5860146
-63.63587,11.8398905,-16.768425,35.59791,4.348755e-06,0.2646156,1.0167265,631.0357143878937,-108.14135067570913,-61.905056,100.0,0.07500088,6000,0.72493184,60,93.182945,223445,100,37.18,,10.0,213.76627,1.030074,1.3610651,[-0.716 -1.01  -0.703 -1.049  0.167],649.2942,0.11833461,1.0121255,1.5934483
-66.25484,13.687051,-17.429977,40.878643,6.8664554e-07,0.26496652,1.0469844,641.6834001541138,-106.11608000839234,-62.822678,100.0,0.07436895,6100,0.50206757,61,93.188614,227097,100,36.52,,10.0,218.32132,1.0971711,2.4408457,[-0.729 -1.016 -0.713 -1.05   0.175],1435.3234,0.25182405,1.0560138,1.5927719
-78.155075,13.112073,-18.126038,35.230606,-2.4032593e-06,0.2697441,1.0386065,652.4790306091309,-107.61994965016954,-74.68125,100.0,0.07769422,6200,0.64245355,62,93.38162,230928,100,38.31,,10.0,207.8169,1.0611928,1.5574201,[-0.716 -1.015 -0.718 -1.059  0.174],924.674,0.15871522,1.0231355,1.5849419
-49.491722,11.545334,-17.083817,31.960411,-1.4495849e-06,0.2590075,1.0146991,663.0879170894623,-107.57818065522468,-47.663948,100.0,0.07161343,6300,0.7324993,63,92.94099,234479,100,35.51,,10.0,225.31801,1.0320319,1.7269387,[-0.736 -1.013 -0.726 -1.05   0.166],661.9992,0.12808092,1.0152478,1.5957283
-88.82169,14.040844,-17.696777,49.646645,-1.1825562e-06,0.2703963,1.0169525,672.6919386386871,-107.19076440972972,-86.85811,100.0,0.07859319,6400,0.67761135,64,93.49605,238374,100,38.95,,10.0,200.50404,1.0263381,1.3878474,[-0.747 -1.01  -0.728 -1.044  0.177],726.3993,0.11644002,1.0129834,1.5865355
-64.28992,11.627044,-16.274384,33.118156,-3.2043456e-06,0.2689519,1.05686,682.37930727005,-108.50107735610999,-58.393845,100.0,0.07627714,6500,0.6041383,65,93.1729,242098,100,37.24,,10.0,221.09158,1.1146339,1.9370532,[-0.739 -1.015 -0.724 -1.049  0.168],1490.2644,0.22971806,1.0569435,1.5969803
-56.37651,12.173579,-17.251389,26.448841,2.2506713e-06,0.25951585,1.0163305,691.6353657245636,-107.10845927456475,-54.352875,100.0,0.07183022,6600,0.7842873,66,92.97938,245656,100,35.58,,10.0,224.1106,1.0295734,1.443538,[-0.72  -1.003 -0.714 -1.053  0.178],583.15594,0.10353045,1.0138084,1.6045717
-50.151352,12.619837,-16.649132,34.010014,-1.2588501e-06,0.25836727,1.0375259,701.0595262050629,-106.83731590315583,-46.574493,100.0,0.07057106,6700,0.5036102,67,92.84578,249128,100,34.72,,10.0,233.3986,1.0662663,1.8330655,[-0.732 -1.002 -0.722 -1.054  0.186],1605.0856,0.18696585,1.0331202,1.5985518
-75.810455,14.692306,-19.0391,36.1165,2.5177003e-06,0.27144748,1.0351061,710.6857814788818,-107.16048389016774,-72.72092,100.0,0.078186706,6800,0.68981665,68,93.40564,252959,100,38.31,,10.0,207.40074,1.076693,2.1200962,[-0.745 -1.014 -0.723 -1.058  0.18 ],1289.0348,0.18572403,1.0261269,1.6002672
-81.3607,13.066492,-18.040962,35.15737,2.9754638e-06,0.27021578,1.0288973,720.7170493602753,-107.35568882687801,-78.60208,100.0,0.07814236,6900,0.6473418,69,93.43608,256818,100,38.59,,10.0,204.30812,1.0419134,1.5079286,[-0.747 -1.031 -0.74  -1.064  0.181],819.3785,0.13275889,1.0172077,1.5996294
-81.9834,13.285731,-17.556602,43.007133,-6.2942504e-06,0.26821718,1.0200269,731.7958016395569,-107.59292221362533,-80.029816,100.0,0.07716281,7000,0.7021102,70,93.36981,260640,100,38.22,,10.0,206.03621,1.0405706,1.4955318,[-0.731 -1.041 -0.735 -1.074  0.181],800.6568,0.13729247,1.0182637,1.6070296
-65.78197,11.078162,-18.810402,24.641792,-5.455017e-06,0.2676003,1.0203152,741.883960723877,-109.19991355113817,-63.992786,100.0,0.07665312,7100,0.70918673,71,93.24062,264432,100,37.92,,10.0,210.9448,1.0340626,1.6027951,[-0.731 -1.051 -0.738 -1.073  0.188],756.52875,0.13587885,1.0140038,1.6102581
-109.63133,14.620938,-20.395721,63.289635,-4.348755e-06,0.28587863,1.1214738,753.2361090183258,-106.76237015452078,-101.001724,100.0,0.086190775,7200,0.33539772,72,93.87828,268601,100,41.69,,10.0,195.0151,1.1698143,2.310717,[-0.744 -1.044 -0.745 -1.065  0.191],2332.5022,0.34116748,1.0812488,1.620512
-69.49852,12.230131,-16.444725,40.007458,-4.005432e-06,0.27102625,1.0680983,763.4777631759644,-108.46721409879952,-62.208694,100.0,0.07659309,7300,0.562274,73,93.13691,272301,100,37.0,,10.0,226.09125,1.1672935,2.5622356,[-0.72  -1.046 -0.739 -1.08   0.202],2953.65,0.3017485,1.058541,1.6324266
-79.65161,13.751021,-17.13179,37.700672,5.760193e-06,0.27655682,1.0985342,775.698986530304,-106.30427120198337,-72.18642,100.0,0.07901801,7400,0.5256582,74,93.37246,276079,100,37.78,,10.0,219.23236,1.1748738,4.3724833,[-0.688 -1.027 -0.719 -1.076  0.213],4825.0176,0.41212764,1.0743982,1.6585829
-72.789764,13.11241,-17.577896,48.133553,2.1743774e-06,0.26076132,1.0098764,786.0883679389954,-107.21058477515648,-71.74918,100.0,0.073032,7500,0.7421205,75,93.1045,279716,100,36.37,,10.0,216.55437,1.0145727,1.2021823,[-0.672 -1.037 -0.716 -1.077  0.24 ],377.19138,0.075127944,1.0060422,1.6532236
