SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,1905.6,,2.75003e+12,nan,505342.0,7.40162e+07,93.6329588015,866.563483119,866.563483119,nan,1.04037e-05,,1.64587e+20,3.25173e-06,534,1,178197.240348,178197.240348,0.386542,1.912120795,866.563483119,40617.7,100,0.6
50000,1436.02,,23802.1,nan,286032.0,3.82668,89.2857142857,826.430890137,826.430890137,nan,9.92063e-06,,18115.2,1.21752e-07,560,1,135039.647685,135039.647685,0.0617068,2.53900707578,826.430890137,28048.2,100,0.6
50000,1664.01,,9.76884e+07,nan,394413.0,2491.01,91.5750915751,847.552430024,847.552430024,nan,1.0175e-05,,1.97062e+11,3.28792e-06,546,1,159573.169149,159573.169149,0.399027,1.97107568961,847.552430024,38268.9,100,0.6
50000,1536.21,,14781.6,nan,313280.0,4.65464,96.1538461538,889.775319862,889.775319862,nan,1.06838e-05,,14613.1,7.69869e-08,520,1,177804.918075,177804.918075,0.033928,0.944841268449,889.775319862,28908.8,100,0.6
50000,1497.09,,90978.7,nan,318516.0,12.8695,90.0900900901,833.388769965,833.388769965,nan,1.001e-05,,446589.0,2.70182e-07,555,1,158551.407027,158551.407027,0.0707642,2.14889795149,833.388769965,32697.6,100,0.6
50000,1832.8,,5.79272e+06,nan,364983.0,166.68,92.4214417745,855.244444811,855.244444811,nan,1.0269e-05,,7.09381e+08,2.69262e-06,541,1,227963.684544,227963.684544,0.356887,1.95466741989,855.244444811,34358.4,100,0.6
50000,1724.42,,5.03703e+06,nan,368082.0,267.942,98.6193293886,912.802117525,912.802117525,nan,1.09577e-05,,9.14972e+08,1.53026e-06,507,1,199991.282755,199991.282755,0.205994,1.2169449829,912.802117525,41476.9,100,0.6
50000,1873.93,,771735.0,nan,392922.0,49.667,103.734439834,960.129541714,960.129541714,nan,1.1526e-05,,1.72812e+07,9.30676e-07,482,1,252093.902851,252093.902851,0.179094,1.65489572145,960.129541714,41585.5,100,0.6
50000,1980.78,,1.69034e+06,nan,436558.0,77.8373,108.695652174,1006.0920625,1006.0920625,nan,1.20773e-05,,7.30991e+07,1.75985e-06,460,1,291501.311163,291501.311163,0.262274,1.9673944783,1006.0920625,43049.6,100,0.6
50000,1866.62,,17834.9,nan,360887.0,5.23499,104.166666667,963.445859028,963.445859028,nan,1.15741e-05,,14596.3,7.13484e-08,480,1,246518.621453,246518.621453,0.0394312,2.50251436988,963.445859028,52797.8,100,0.6
50000,1741.53,,912.386,nan,330258.0,2.7093,109.89010989,1017.04942179,1017.04942179,nan,1.221e-05,,452.446,9.18935e-09,455,1,228435.698401,228435.698401,0.00411185,2.31585705684,1017.04942179,24344.8,100,0.6
50000,2183.35,,4.34415e+06,nan,449888.0,175.303,117.647058824,1088.37424012,1088.37424012,nan,1.30719e-05,,5.11081e+08,2.84177e-06,425,1,327974.166763,327974.166763,0.323932,1.97743255278,1088.37424012,43922.3,100,0.6
50000,2130.99,,581031.0,nan,443826.0,44.4939,125.0,1157.32529141,1157.32529141,nan,1.38889e-05,,1.09062e+07,1.06269e-06,400,1,349763.385198,349763.385198,0.18137,1.89581735653,1157.32529141,42183.8,100,0.6
50000,2013.34,,2.68482e+08,nan,507043.0,26403.2,119.61722488,1106.84597593,1106.84597593,nan,1.32908e-05,,5.02574e+12,1.27347e-06,418,1,331381.357079,331381.357079,0.135148,0.7624127549,1106.84597593,46526.9,100,0.6
50000,2454.38,,1.32966e+07,nan,535264.0,987.979,129.87012987,1202.81916218,1202.81916218,nan,1.443e-05,,8.11139e+09,1.73035e-06,385,1,472858.643458,472858.643458,0.194204,1.25971329526,1202.81916218,54871.1,100,0.6
50000,2066.4,,2.76107e+06,nan,444237.0,150.538,117.096018735,1083.89438497,1083.89438497,nan,1.30107e-05,,2.25122e+08,1.6816e-06,427,1,284868.022985,284868.022985,0.238632,2.9646223839,1083.89438497,41399.8,100,0.6
50000,2328.6,,721337.0,nan,464506.0,83.2274,129.533678756,1199.22516431,1199.22516431,nan,1.43926e-05,,2.88596e+07,8.63055e-07,386,1,394951.475043,394951.475043,0.124742,3.4918773214,1199.22516431,39123.4,100,0.6
50000,2340.67,,425059.0,nan,487887.0,111.701,121.359223301,1123.62389356,1123.62389356,nan,1.34844e-05,,2.38343e+07,3.47334e-07,412,1,381401.014889,381401.014889,0.0513123,0.414542666314,1123.62389356,51312.8,100,0.6
