VarJ,MinVanillaIw,eRenyi2,IterType,AvgDiscRet,VarRet,ESSRenyi,MinNormIw,Bound,AvgRet,J,AvgEpLen,ESSClassic,VarVanillaIw,BatchSize,AvgNormIw,MaxVanillaIw,EpsThisIter,VarDiscRet,MaxNormIw,VanillaAvgRet,VarNormIw,AvgVanillaIw
10.44639,1.0,1.0,2,4999.335552691632,109.4920549963164,500.0,0.0033333334,4756.381,4999.335552691632,4999.336,499.9433333333333,299.999969473632,,500,0.0033333336,1.0,100,109.4920549963164,0.0033333334,4999.335552691632,5.4391416e-20,1.0
9.0507555,1.0,1.0,2,4999.488672230438,82.12153224040847,500.0,0.0025,4789.084,4999.488672230438,4999.4893,499.9575,400.0,,500,0.0024999997,1.0,100,82.12153224040847,0.0025,4999.488672230438,5.434597e-20,1.0
7.3347077,0.9059819,1.0001698,1,4999.578188787438,65.69716624335352,499.91513739160945,0.0018112834,4811.405,4999.578188787438,4999.613,499.966,499.9164078571141,0.00016774888,500,0.002,1.0164657,100,65.69716624335352,0.002032168,4999.578188787438,6.7049194e-10,1.0003756
0.04537783,1.0,1.0,2,4999.9547736624245,0.002080724278818308,500.0,0.01,4579.1436,4999.9547736624245,4999.954,500.0,100.0,,500,0.009999998,1.0,100,0.002080724278818308,0.01,4999.9547736624245,3.5044917e-18,1.0
0.045705345,1.0,1.0,2,4999.9530647749725,0.002100880595893182,500.0,0.005,4702.395,4999.9530647749725,4999.953,500.0,200.00000010221265,,500,0.0049999994,1.0,100,0.002100880595893182,0.005,4999.9530647749725,2.179301e-19,1.0
0.0515703,1.0,1.0,2,4999.94917731709,0.002668598066910223,500.0,0.0033333334,4756.994,4999.94917731709,4999.949,500.0,299.999969473632,,500,0.0033333336,1.0,100,0.002668598066910223,0.0033333334,4999.94917731709,5.4391416e-20,1.0
231.11206,1.0,1.0,2,4987.695266411192,53546.63926328748,500.0,0.0025,4777.29,4987.695266411192,4987.6953,498.78,400.0,,500,0.0024999997,1.0,100,53546.63926328748,0.0025,4987.695266411192,5.434597e-20,1.0
51.167233,0.24315602,1.0198916,1,4990.146107411284,42839.92549874083,490.24816985528906,0.00048401827,4807.1777,4990.146107411284,4997.2324,499.024,490.65415000448263,0.019267226,500,0.002,1.1851165,100,42839.92549874083,0.0023590536,4990.146107411284,7.63436e-08,1.004739
0.04049827,1.0,1.0,2,4999.958971927399,0.0016573795186617612,500.0,0.01,4579.148,4999.958971927399,4999.9585,500.0,100.0,,500,0.009999998,1.0,100,0.0016573795186617612,0.01,4999.958971927399,3.5044917e-18,1.0
0.047072325,1.0,1.0,2,4999.956210655475,0.0022280933397283613,500.0,0.005,4702.398,4999.956210655475,4999.956,500.0,200.00000010221265,,500,0.0049999994,1.0,100,0.0022280933397283613,0.005,4999.956210655475,2.179301e-19,1.0
0.051809702,1.0,1.0,2,4999.951206670692,0.0026929340373085236,500.0,0.0033333334,4756.996,4999.951206670692,4999.951,500.0,299.999969473632,,500,0.0033333336,1.0,100,0.0026929340373085236,0.0033333334,4999.951206670692,5.4391416e-20,1.0
0.051419478,1.0,1.0,2,4999.950391462404,0.002650558353407635,500.0,0.0025,4789.5454,4999.950391462404,4999.9507,500.0,400.0,,500,0.0024999997,1.0,100,0.002650558353407635,0.0025,4999.950391462404,5.434597e-20,1.0
0.053617556,1.0,1.0,1,4999.948405741947,0.0028807507874596488,500.0,0.002,4811.7563,4999.948405741947,4999.9487,500.0,500.00000664260017,,500,0.0020000003,1.0,100,0.0028807507874596488,0.002,4999.948405741947,5.431875e-20,1.0
0.046590194,1.0,1.0,2,4999.950053523422,0.002193578459337632,500.0,0.01,4579.139,4999.950053523422,4999.9497,500.0,100.0,,500,0.009999998,1.0,100,0.002193578459337632,0.01,4999.950053523422,3.5044917e-18,1.0
0.048844162,1.0,1.0,2,4999.94888184343,0.0023988694220278893,500.0,0.005,4702.391,4999.94888184343,4999.949,500.0,200.00000010221265,,500,0.0049999994,1.0,100,0.0023988694220278893,0.005,4999.94888184343,2.179301e-19,1.0
