renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,6.77849e-08,753610.016782,nan,1770.2283521,1770.2283521,753610.016782,5485.58,2.13675e-05,586905.0,1,0.7,27155.7,8659.54,3110.47,192.307692308,50000,2.01516040245,7.63722,,0.0153476,100,,260,1770.2283521
nan,5.86548e-07,698214.717342,nan,1781.50705976,1781.50705976,698214.717342,137715.0,2.15332e-05,635991.0,1,0.7,34171.0,2.32017e+06,3325.19,193.798449612,50000,3.07770686713,42.8268,,0.0692424,100,,258,1781.50705976
nan,9.29136e-06,917164.078419,nan,1797.34018545,1797.34018545,917164.078419,8.25952e+07,2.17014e-05,654711.0,1,0.7,32506.1,2.97887e+11,3521.91,195.3125,50000,2.31020695884,3885.74,,0.461284,100,,256,1797.34018545
nan,4.22746e-07,794160.316783,nan,1885.71049003,1885.71049003,794160.316783,39217.9,2.27687e-05,627716.0,1,0.7,33885.8,110799.0,3201.2,204.918032787,50000,1.3446715197,11.6564,,0.0766049,100,,244,1885.71049003
nan,3.27562e-07,935486.162072,nan,1771.57423719,1771.57423719,935486.162072,94494.7,2.13675e-05,678370.0,1,0.7,34084.9,846778.0,3677.7,192.307692308,50000,2.33569662088,34.3552,,0.0587718,100,,260,1771.57423719
nan,1.66739e-07,1011482.89446,nan,2001.5542393,2001.5542393,1011482.89446,14757.7,2.41546e-05,675026.0,1,0.7,30872.0,39600.2,3617.49,217.391304348,50000,3.79105207527,11.7714,,0.0302822,100,,230,2001.5542393
nan,9.16124e-07,691541.20077,nan,1901.87134035,1901.87134035,691541.20077,357398.0,2.29568e-05,659690.0,1,0.7,33593.3,1.51928e+07,3434.24,206.611570248,50000,3.40634711961,93.4875,,0.0877628,100,,242,1901.87134035
nan,3.69132e-08,1122621.77055,nan,1954.04205089,1954.04205089,1122621.77055,4393.52,2.35405e-05,662870.0,1,0.7,33260.9,3604.69,3654.22,211.86440678,50000,1.41501160244,7.35628,,0.0140595,100,,236,1954.04205089
nan,1.75759e-08,1409868.22157,nan,2377.82602889,2377.82602889,1409868.22157,957.53,2.86369e-05,714160.0,1,0.7,24620.6,375.735,3992.11,257.731958763,50000,1.1540282751,4.18705,,0.00654893,100,,194,2377.82602889
nan,1.06865e-07,1087521.32087,nan,2002.03921465,2002.03921465,1087521.32087,13262.7,2.41546e-05,678704.0,1,0.7,26298.3,52403.6,3814.5,217.391304348,50000,4.88313569357,16.9147,,0.0189395,100,,230,2002.03921465
nan,1.05796e-07,991512.761438,nan,2006.84024407,2006.84024407,991512.761438,9006.19,2.41546e-05,673636.0,1,0.7,32683.6,32728.6,3639.53,217.391304348,50000,5.81028444118,13.4347,,0.0161925,100,,230,2006.84024407
nan,8.23453e-08,1274880.93474,nan,2077.79259448,2077.79259448,1274880.93474,8038.61,2.5025e-05,712186.0,1,0.7,29918.0,8736.19,3805.19,225.225225225,50000,7.18350920709,8.1511,,0.0246797,100,,222,2077.79259448
nan,3.36297e-07,981875.335959,nan,1970.54721318,1970.54721318,981875.335959,36329.4,2.37417e-05,672479.0,1,0.7,30079.3,71638.2,3545.07,213.675213675,50000,2.03082686534,10.9578,,0.0787131,100,,234,1970.54721318
nan,2.05613e-07,1183534.60362,nan,1904.66280095,1904.66280095,1183534.60362,21016.8,2.29568e-05,681640.0,1,0.7,35656.7,72439.2,3812.6,206.611570248,50000,3.94751297782,13.6262,,0.0354084,100,,242,1904.66280095
nan,1.20263e-05,1241491.93362,nan,2004.74882648,2004.74882648,1241491.93362,8.8852e+07,2.41546e-05,692235.0,1,0.7,28593.6,3.81376e+11,3871.61,217.391304348,50000,2.0000007026,4301.41,,0.498949,100,,230,2004.74882648
nan,9.1699e-08,1079293.2845,nan,1886.7176188,1886.7176188,1079293.2845,9882.61,2.27687e-05,651147.0,1,0.7,30987.3,18634.5,3638.43,204.918032787,50000,3.20098309893,10.2639,,0.0219228,100,,244,1886.7176188
