AvgEpLen,J,IterType,BatchSize,VarDiscRet,MinVanillaIw,VarVanillaIw,Bound,VarRet,MinNormIw,VarNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,AvgDiscRet,ESSRenyi,AvgVanillaIw,VarJ,Delta,ESSClassic,eRenyi2,MaxNormIw,EpsThisIter,AvgNormIw
500.0,97.6981,1,500,305.566361571,0.000314827,2275.09,90.3288,305.566361571,7.7125e-08,0.000136535,311.963,62.5745334018,62.5745334018,62.5745334018,120.560509976,8.16408,8.50693,0.6,14.2590519957,4.14729,0.0764234,100,0.002
500.0,83.9115,2,500,49.9050434474,1.0,,76.3774,49.9050434474,0.01,3.50449e-18,1.0,83.9114936824,83.9114936824,83.9114936824,500.0,1.0,7.02894,0.6,100.0,1.0,0.01,100,0.01
500.0,79.9137,2,500,76.1764430565,1.0,,74.5863,76.1764430565,0.005,2.1793e-19,1.0,75.9158531861,75.9158531861,75.9158531861,500.0,1.0,8.85398,0.6,200.000000102,1.0,0.005,100,0.005
500.0,77.5855,2,500,121.543219682,1.0,,73.2357,121.543219682,0.00333333,5.43914e-20,1.0,72.9291090757,72.9291090757,72.9291090757,500.0,1.0,10.1593,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,77.7362,2,500,74.4694456294,1.0,,73.9692,74.4694456294,0.0025,5.4346e-20,1.0,78.1884480092,78.1884480092,78.1884480092,500.0,1.0,9.79328,0.6,400.0,1.0,0.0025,100,0.0025
500.0,89.6225,1,500,62.51309449,0.0646995,1143.68,84.7184,62.51309449,2.05312e-05,0.000115168,221.179,83.8874159411,83.8874159411,83.8874159411,236.025984161,6.30254,4.23306,0.6,16.8155077494,2.11841,0.0701874,100,0.002
500.0,77.0642,2,500,99.7178294116,1.0,,69.4546,99.7178294116,0.01,3.50449e-18,1.0,77.0641645876,77.0641645876,77.0641645876,500.0,1.0,9.93583,0.6,100.0,1.0,0.01,100,0.01
500.0,75.8533,2,500,229.465818067,1.0,,70.4725,229.465818067,0.005,2.1793e-19,1.0,74.6424862829,74.6424862829,74.6424862829,500.0,1.0,12.8223,0.6,200.000000102,1.0,0.005,100,0.005
500.0,76.9287,2,500,135.491345375,1.0,,72.5353,135.491345375,0.00333333,5.43914e-20,1.0,79.079352478,79.079352478,79.079352478,500.0,1.0,12.5153,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,75.4843,2,500,252.907408528,1.0,,71.6795,252.907408528,0.0025,5.4346e-20,1.0,71.1513091098,71.1513091098,71.1513091098,500.0,1.0,13.6502,0.6,400.0,1.0,0.0025,100,0.0025
500.0,91.9958,1,500,77.9887435604,0.00818349,481.73,85.885,77.9887435604,4.48003e-06,0.000144374,157.088,81.7241176508,81.7241176508,81.7241176508,155.966204566,3.65332,7.47316,0.6,13.5057610818,3.20582,0.0859977,100,0.002
500.0,82.5328,2,500,36.5083699149,1.0,,75.2606,36.5083699149,0.01,3.50449e-18,1.0,82.5328165275,82.5328165275,82.5328165275,500.0,1.0,6.01193,0.6,100.0,1.0,0.01,100,0.01
500.0,82.3008,2,500,122.500054991,1.0,,76.7487,122.500054991,0.005,2.1793e-19,1.0,82.0687611833,82.0687611833,82.0687611833,500.0,1.0,8.87485,0.6,200.000000102,1.0,0.005,100,0.005
500.0,80.5125,2,500,38.4795397188,1.0,,75.9793,38.4795397188,0.00333333,5.43914e-20,1.0,76.9360461718,76.9360461718,76.9360461718,500.0,1.0,8.46183,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,81.527,2,500,74.7837612776,1.0,,77.601,74.7837612776,0.0025,5.4346e-20,1.0,84.570284198,84.570284198,84.570284198,500.0,1.0,8.67745,0.6,400.0,1.0,0.0025,100,0.0025
500.0,93.8887,1,500,73.3311299172,0.0464135,4181.27,88.5438,73.3311299172,8.4107e-06,0.000137304,422.909,82.629217727,82.629217727,82.629217727,215.813307132,11.0368,3.92047,0.6,14.1814247648,2.31682,0.0766363,100,0.002
500.0,79.3578,2,500,86.0528407412,1.0,,71.8169,86.0528407412,0.01,3.50449e-18,1.0,79.357780752,79.357780752,79.357780752,500.0,1.0,9.22997,0.6,100.0,1.0,0.01,100,0.01
500.0,81.1617,2,500,82.1578775998,1.0,,75.7913,82.1578775998,0.005,2.1793e-19,1.0,82.9655268191,82.9655268191,82.9655268191,500.0,1.0,9.30152,0.6,200.000000102,1.0,0.005,100,0.005
500.0,82.2449,2,500,106.286110605,1.0,,77.5818,106.286110605,0.00333333,5.43914e-20,1.0,84.4113687432,84.4113687432,84.4113687432,500.0,1.0,9.75193,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,82.2713,2,500,64.2270251589,1.0,,78.233,64.2270251589,0.0025,5.4346e-20,1.0,82.3505036281,82.3505036281,82.3505036281,500.0,1.0,9.33934,0.6,400.0,1.0,0.0025,100,0.0025
500.0,97.6436,1,500,108.951166551,0.00881649,1062.94,90.7288,108.951166551,3.36901e-06,0.00015521,233.173,84.3083798306,84.3083798306,84.3083798306,136.427104937,5.23388,8.20212,0.6,12.58655003,3.66496,0.0891014,100,0.002
500.0,88.2875,2,500,28.0772489267,1.0,,80.465,28.0772489267,0.01,3.50449e-18,1.0,88.2875217552,88.2875217552,88.2875217552,500.0,1.0,5.27224,0.6,100.0,1.0,0.01,100,0.01
500.0,87.9545,2,500,29.3712211793,1.0,,82.4231,29.3712211793,0.005,2.1793e-19,1.0,87.6214223224,87.6214223224,87.6214223224,500.0,1.0,5.34303,0.6,200.000000102,1.0,0.005,100,0.005
500.0,86.8214,2,500,80.342952718,1.0,,82.3051,80.342952718,0.00333333,5.43914e-20,1.0,84.5552828037,84.5552828037,84.5552828037,500.0,1.0,6.93634,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,87.4277,2,500,18.8182756911,1.0,,83.4965,18.8182756911,0.0025,5.4346e-20,1.0,89.2464397669,89.2464397669,89.2464397669,500.0,1.0,6.46875,0.6,400.0,1.0,0.0025,100,0.0025
500.0,95.656,1,500,59.5329881824,0.0455908,3296.66,90.404,59.5329881824,9.28243e-06,0.000136661,375.584,84.9678851907,84.9678851907,84.9678851907,224.104406063,9.82302,3.85973,0.6,14.2462824588,2.2311,0.0764701,100,0.002
500.0,86.6168,2,500,46.9610614241,1.0,,78.9059,46.9610614241,0.01,3.50449e-18,1.0,86.6168493688,86.6168493688,86.6168493688,500.0,1.0,6.81846,0.6,100.0,1.0,0.01,100,0.01
500.0,83.1379,2,500,218.999483937,1.0,,77.5743,218.999483937,0.005,2.1793e-19,1.0,79.6590321704,79.6590321704,79.6590321704,500.0,1.0,11.9897,0.6,200.000000102,1.0,0.005,100,0.005
500.0,84.9035,2,500,17.3503000473,1.0,,80.3608,17.3503000473,0.00333333,5.43914e-20,1.0,88.4345614943,88.4345614943,88.4345614943,500.0,1.0,10.3825,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,85.0765,2,500,35.2956424412,1.0,,81.1424,35.2956424412,0.0025,5.4346e-20,1.0,85.5955495492,85.5955495492,85.5955495492,500.0,1.0,9.46953,0.6,400.0,1.0,0.0025,100,0.0025
