VarVanillaIw,AvgEpLen,MinNormIw,eRenyi2,ESSClassic,ESSRenyi,VarDiscRet,VanillaAvgRet,AvgDiscRet,Bound,MaxNormIw,Delta,VarRet,EpsThisIter,VarJ,AvgRet,AvgNormIw,VarNormIw,MinVanillaIw,IterType,BatchSize,J,AvgVanillaIw,MaxVanillaIw
6.07786e-05,500.0,0.00970102,1.00004,99.994012366,99.9961735282,1.13407276216,-1133.72347341,-1133.72347341,-1247.84,0.0101898,0.5,1.13407276216,100,1.03845,-1133.72347341,0.01,6.07548e-09,0.970292,1,100,-1133.72,1.0002,1.01918
0.000374867,500.0,0.00882006,1.00026,99.962970672,99.9737212592,8.70525037768,-1133.90445312,-1133.90445312,-1250.16,0.0102132,0.5,8.70525037768,100,2.60257,-1133.90445312,0.01,3.74305e-08,0.882668,1,100,-1133.87,1.00075,1.02209
8.7577e-06,500.0,0.00992752,1.00001,99.9991227475,99.9992609079,0.226446693906,-1133.56770073,-1133.56770073,-1247.04,0.0100724,0.5,0.226446693906,100,0.472902,-1133.56770073,0.01,8.75524e-10,0.99289,1,100,-1133.57,1.00014,1.00738
1.72268e-09,500.0,0.00999925,1.0,100.000022888,100.0,0.337250391689,-1133.52458597,-1133.52458597,-1247.28,0.010001,0.5,0.337250391689,100,0.577794,-1133.52458597,0.01,1.723e-13,0.999926,1,100,-1133.52,1.0,1.0001
5.74067e-06,500.0,0.00988401,1.0,99.9994697098,99.9996900568,0.259792668632,-1133.50666343,-1133.50666343,-1247.08,0.0100477,0.5,0.259792668632,100,0.50634,-1133.50666343,0.01,5.74173e-10,0.988309,1,100,-1133.51,0.999907,1.00467
6.63735e-06,500.0,0.00994893,1.00001,99.9993629025,99.9992728286,0.28766755975,-1133.55496316,-1133.55496316,-1247.15,0.0100912,0.5,0.28766755975,100,0.532916,-1133.55496316,0.01,6.6383e-10,0.994821,1,100,-1133.55,0.999928,1.00904
0.00397918,500.0,0.0066591,1.00262,99.5993573939,99.7385678732,90.8100053058,-1135.04228084,-1135.04228084,-1256.6,0.0110267,0.5,90.8100053058,100,6.74142,-1135.04228084,0.01,4.06319e-07,0.65899,1,100,-1134.69,0.989608,1.09121
1.44644e-07,500.0,0.00998003,1.0,99.9999732965,99.9999880791,0.207239518647,-1133.5458974,-1133.5458974,-1247.1,0.0100072,0.5,0.207239518647,100,0.45276,-1133.5458974,0.01,1.44652e-11,0.997978,1,100,-1133.55,0.999975,1.00069
0.00272112,500.0,0.00741947,1.00239,99.7295381689,99.7615078356,177.794833103,-1135.00568004,-1135.00568004,-1261.5,0.0107563,0.5,177.794833103,100,9.88195,-1135.00568004,0.01,2.7393e-07,0.739482,1,100,-1134.66,0.996677,1.07206
4.1488e-06,500.0,0.00993984,1.0,99.9995764664,99.9996662151,0.237001934534,-1133.58492169,-1133.58492169,-1247.09,0.0100767,0.5,0.237001934534,100,0.484046,-1133.58492169,0.01,4.15083e-10,0.993741,1,100,-1133.58,0.999756,1.00743
