MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
2.04327,6194.05736825,0.2,200,-77.9972637714,192.939039705,0.834143,1.01351,73.7359,0.005,-77.9972637714,6194.05736825,194.980136734,0.0100801,-137.186,1.02575,100,0.00411512,9.19513e-07,1,-77.9972637714,0.0377811,108.03,-77.4386
1.0,4937.10991494,0.2,200,-76.822290751,100.0,1.0,1.0,69.9124,0.01,-76.822290751,4937.10991494,200.0,0.01,-160.249,1.0,100,0.01,3.50449e-18,2,-76.822290751,,108.2,-76.8223
1.45518,6117.26921036,0.2,200,-80.468161571,196.102866126,0.723131,1.0093,69.4102,0.005,-80.468161571,6117.26921036,196.071148006,0.00720886,-137.078,1.02004,100,0.00358234,4.99325e-07,1,-80.468161571,0.0203462,111.74,-77.4974
1.0,4963.35276337,0.2,200,-77.1687044252,100.0,1.0,1.0,70.0979,0.01,-77.1687044252,4963.35276337,200.0,0.01,-160.596,1.0,100,0.01,3.50449e-18,2,-77.1687044252,,107.99,-77.1687
1.27367,4938.48631894,0.2,200,-77.4334773715,191.769266361,0.242827,1.0024,59.834,0.005,-77.4334773715,4938.48631894,192.397412685,0.00635308,-135.091,1.03952,100,0.00121123,1.0784e-06,1,-77.4334773715,0.0433434,108.35,-74.945
1.0,8424.2445971,0.2,200,-86.0636857942,100.0,1.0,1.0,91.3236,0.01,-86.0636857942,8424.2445971,200.0,0.01,-169.492,1.0,100,0.01,3.50449e-18,2,-86.0636857942,,117.91,-86.0637
1.58575,7233.00939696,0.2,200,-84.1074986663,196.425814845,0.860665,0.993927,83.9336,0.005,-84.1074986663,7233.00939696,195.792333727,0.00797717,-143.344,1.02149,100,0.00432962,4.57182e-07,1,-84.1074986663,0.0180658,116.09,-83.7203
1.0,7258.82688336,0.2,200,-83.7240429066,100.0,1.0,1.0,84.7717,0.01,-83.7240429066,7258.82688336,200.0,0.01,-167.152,1.0,100,0.01,3.50449e-18,2,-83.7240429066,,115.74,-83.724
1.67509,2586.90368563,0.2,200,-69.8577820407,195.413302725,0.681203,1.00879,63.5589,0.005,-69.8577820407,2586.90368563,195.274617618,0.00830245,-135.061,1.0242,100,0.00337633,5.89745e-07,1,-69.8577820407,0.0240064,100.37,-75.3586
1.0,6154.70162839,0.2,200,-79.2034130289,100.0,1.0,1.0,78.0587,0.01,-79.2034130289,6154.70162839,200.0,0.01,-162.632,1.0,100,0.01,3.50449e-18,2,-79.2034130289,,110.17,-79.2034
1.08004,2602.95419746,0.2,200,-69.7781545874,198.13869733,0.524176,0.994174,64.7007,0.005,-69.7781545874,2602.95419746,198.46311067,0.00543182,-133.203,1.00774,100,0.00263624,2.36026e-07,1,-69.7781545874,0.00933138,99.19,-73.9825
