eRenyi2,VarVanillaIw,VarJ,EpsThisIter,VarNormIw,MaxVanillaIw,IterType,BatchSize,VarDiscRet,Bound,MaxNormIw,AvgRet,AvgEpLen,VanillaAvgRet,J,MinVanillaIw,AvgNormIw,AvgVanillaIw,ESSClassic,MinNormIw,VarRet,ESSRenyi,AvgDiscRet,Delta
1.0,,17.3008,100,2.1793e-19,1.0,2,500,314.286175751,54.4268,0.005,57.1629822725,500.0,57.1629822725,58.1497,1.0,0.005,1.0,200.000000102,0.005,314.286175751,500.0,57.1629822725,0.8
1.0,,17.1818,100,5.43914e-20,1.0,2,500,289.62605059,54.8923,0.00333333,57.4966653792,500.0,57.4966653792,57.932,1.0,0.00333333,1.0,299.999969474,0.00333333,289.62605059,500.0,57.4966653792,0.8
1.0,,17.2771,100,5.4346e-20,1.0,2,500,310.045500911,55.6411,0.0025,59.2979360944,500.0,59.2979360944,58.2735,1.0,0.0025,1.0,400.0,0.0025,310.045500911,500.0,59.2979360944,0.8
4.3593,4.41018,35.2113,100,1.62706e-05,14.5651,1,500,286.761333494,58.6336,0.027976,58.6821073621,500.0,58.6821073621,63.5495,1.26889e-09,0.002,1.04125,98.8235807279,2.43724e-12,286.761333494,114.697285104,58.6821073621,0.8
1.0,,17.8952,100,3.50449e-18,1.0,2,500,323.473540696,53.9715,0.01,58.87020988,500.0,58.87020988,58.8702,1.0,0.01,1.0,100.0,0.01,323.473540696,500.0,58.87020988,0.8
1.0,,17.1056,100,2.1793e-19,1.0,2,500,267.420794738,54.8262,0.005,58.2131081308,500.0,58.2131081308,58.5417,1.0,0.005,1.0,200.000000102,0.005,267.420794738,500.0,58.2131081308,0.8
1.0,,16.8609,100,5.43914e-20,1.0,2,500,268.995308315,55.0121,0.00333333,57.1136702687,500.0,57.1136702687,58.0657,1.0,0.00333333,1.0,299.999969474,0.00333333,268.995308315,500.0,57.1136702687,0.8
1.0,,16.7652,100,5.4346e-20,1.0,2,500,270.143522995,55.9974,0.0025,60.3705246881,500.0,60.3705246881,58.6419,1.0,0.0025,1.0,400.0,0.0025,270.143522995,500.0,60.3705246881,0.8
3.8134,4.13869,28.6287,100,1.30333e-05,27.959,1,500,303.742110039,57.1748,0.0496154,60.0803970534,500.0,60.0803970534,62.6337,0.00182227,0.002,1.12703,117.597311482,3.23376e-06,303.742110039,131.116579637,60.0803970534,0.8
1.0,,18.244,100,3.50449e-18,1.0,2,500,336.207423526,54.764,0.01,60.3769013369,500.0,60.3769013369,60.3769,1.0,0.01,1.0,100.0,0.01,336.207423526,500.0,60.3769013369,0.8
1.0,,17.4621,100,2.1793e-19,1.0,2,500,278.840043526,56.6107,0.005,61.7551181799,500.0,61.7551181799,61.066,1.0,0.005,1.0,200.000000102,0.005,278.840043526,500.0,61.7551181799,0.8
1.0,,16.9156,100,5.43914e-20,1.0,2,500,244.833750957,58.4433,0.00333333,64.1111331592,500.0,64.1111331592,62.0811,1.0,0.00333333,1.0,299.999969474,0.00333333,244.833750957,500.0,64.1111331592,0.8
1.0,,17.0674,100,5.4346e-20,1.0,2,500,308.80739943,58.6343,0.0025,60.8956508722,500.0,60.8956508722,61.7847,1.0,0.0025,1.0,400.0,0.0025,308.80739943,500.0,60.8956508722,0.8
3.03191,2.31719,26.7075,100,8.20263e-06,9.83,1,500,245.613429877,60.3965,0.0184948,62.2462554002,500.0,62.2462554002,65.3029,1.62046e-09,0.002,1.063,164.119679362,3.04884e-12,245.613429877,164.912342507,62.2462554002,0.8
1.0,,14.3096,100,3.50449e-18,1.0,2,500,206.833507012,53.5249,0.01,58.5843140257,500.0,58.5843140257,58.5843,1.0,0.01,1.0,100.0,0.01,206.833507012,500.0,58.5843140257,0.8
1.0,,14.5058,100,2.1793e-19,1.0,2,500,216.584115446,55.2175,0.005,60.4040813477,500.0,60.4040813477,59.4942,1.0,0.005,1.0,200.000000102,0.005,216.584115446,500.0,60.4040813477,0.8
1.0,,14.6028,100,5.43914e-20,1.0,2,500,221.033023657,55.898,0.00333333,59.1811633328,500.0,59.1811633328,59.3899,1.0,0.00333333,1.0,299.999969474,0.00333333,221.033023657,500.0,59.1811633328,0.8
1.0,,15.7571,100,5.4346e-20,1.0,2,500,348.957076171,57.1056,0.0025,62.6463204184,500.0,62.6463204184,60.204,1.0,0.0025,1.0,400.0,0.0025,348.957076171,500.0,62.6463204184,0.8
