InitialReturnMin,OptimizationReturnMin,VarianceInit,ReturnStepMaxmin,MaxIWNorm,MeanIWNorm,OptimizationReturnMax,LearnableVariance,TimeElapsed,MeanEntropy,EpisodesSoFar,MeanIW,StdIWNorm,ReturnStepMax,EmpiricalD2,MinIWNorm,InitialReturnStd,InitialReturnMean,InitialReturnMax,MaxIW,MinIW,ESSRenyi,OptimizationReturnMean,J_sample_variance,EpRewMean,InitialBound,EpThisIter,EpLenMean,Iteration,StdIW,TimestepsSoFar,ReturnMeanIW,ESSClassic,Bound
22.28664,,-0.6,0.042106703,326.30865,3.2652872,27.59114,,4075.619039773941,1.6378663,5900,326.52872,32.467083,0.26819727,1363844.6,1.8790856e-09,5.5923204,38.45757,49.87778,32630.867,1.8790855e-07,7.332214e-05,16.17093,807019100.0,38.45757137598195,35.963684,100,500.0,59,3246.7083,2950000,10025.255,1.001349,7112.798
26.122713,,-0.6,0.019890115,6.379677,0.0680168,20.671762,,4152.879841327667,1.6378663,6000,6.801681,0.63444215,0.1959223,1685.2554,1.0527314e-07,4.730602,37.143143,46.794476,637.9677,1.0527314e-05,0.05933819,11.020429,509162.94,37.14314225580071,34.803413,100,500.0,60,63.444214,3000000,251.77574,1.13628,155.72571
24.670393,,-0.6,0.03999117,194.5279,1.9559717,23.842646,,4234.8961353302,1.6378663,6100,195.59715,19.354317,0.21842545,498626.7,1.3447128e-10,4.4858704,38.218212,48.51304,19452.79,1.3447128e-08,0.00020055084,13.54782,619541760.0,38.21821306187488,35.792557,100,500.0,61,1935.4319,3050000,7283.59,1.0110116,5570.752
18.893164,,-0.6,0.010909513,36.619198,0.3723333,30.653746,,4312.845229387283,1.6378663,6200,37.233334,3.6431394,0.24882403,5169.033,2.2131307e-07,5.826139,36.369137,49.54691,3661.92,2.2131308e-05,0.019345978,17.475973,32129412.0,36.36913646029268,33.89179,100,500.0,62,364.3139,3100000,1277.3595,1.0337119,1099.2483
22.162449,,-0.6,0.0789071,3.501659,0.058082033,30.15783,,4397.383696317673,1.6378663,6300,5.808203,0.3701872,0.24143215,144.07437,2.9563225e-06,5.478044,36.99772,52.32028,350.1659,0.00029563226,0.69408596,14.835274,317096.2,36.997723211358505,34.381714,100,500.0,63,37.018723,3150000,215.68652,2.4025872,184.28625
20.552961,,-0.6,0.040955693,27.563097,0.28189528,29.366346,,4484.260505914688,1.6378663,6400,28.189533,2.7419677,0.32058245,12545.885,1.0436199e-07,5.7567854,35.615314,49.919308,2756.3098,1.0436199e-05,0.007970741,15.062351,45159190.0,35.615313547902566,33.11935,100,500.0,64,274.1968,3200000,1257.5935,1.0458872,978.0244
16.845291,,-0.6,0.07636048,335.424,3.359217,31.92957,,4560.545761346817,1.6378663,6500,335.92172,33.37379,0.32535094,1106166.6,9.656036e-09,5.790047,36.887527,48.77486,33542.402,9.656036e-07,9.0402296e-05,20.04224,4549495300.0,36.88753067540404,34.448788,100,500.0,65,3337.3792,3250000,12387.926,1.0029684,9822.991
19.850061,,-0.6,0.08523865,357.31042,3.5792255,32.314606,,4631.132960319519,1.6378663,6600,357.92258,35.551346,0.28108922,1712694.2,2.3766932e-08,5.4231915,35.00407,52.16467,35731.043,2.3766931e-06,5.8387537e-05,15.15401,4796777000.0,35.004071851881086,32.39584,100,500.0,66,3555.1345,3300000,14004.877,1.0034282,10591.483
22.636436,,-0.6,0.0026443154,66.08047,0.66540945,25.456844,,4711.744755744934,1.6378663,6700,66.54095,6.574483,0.22618698,48845.184,9.932725e-09,4.7732916,36.78377,48.09328,6608.047,9.932725e-07,0.0020472847,14.147338,285252960.0,36.78377372650247,34.37911,100,500.0,67,657.44836,3350000,3193.973,1.0139781,2662.5195
29.104473,,-0.6,0.018286616,35.11094,0.35402983,24.960026,,4793.400087118149,1.6378663,6800,35.402985,3.493236,0.26528344,12137.14,5.692279e-08,5.3765297,41.281578,54.0645,3511.094,5.692279e-06,0.008239173,12.177103,59879244.0,41.28157632773363,38.57835,100,500.0,68,349.32358,3400000,1800.9122,1.0166838,1503.1016
27.218504,,-0.6,0.011950925,46.8427,0.4703977,28.258997,,4870.589221000671,1.6378663,6900,47.03976,4.6605945,0.24642646,38477.2,2.8860688e-08,6.042336,43.309216,55.4775,4684.27,2.8860688e-06,0.0025989418,16.090708,65713296.0,43.30921155059109,40.53533,100,500.0,69,466.05942,3450000,2083.9653,1.0084301,1539.8529
28.620726,,-0.6,0.00078839064,8.534831,0.09732393,26.875738,,4937.083623886108,1.6378663,7000,9.732393,0.84922385,0.2443822,5416.4814,2.2065807e-07,5.179459,44.12025,55.496464,853.4831,2.2065808e-05,0.01846217,15.499524,2742734.5,44.120250281025754,41.345425,100,500.0,70,84.922386,3500000,458.5069,1.296367,254.28893
26.85402,,-0.6,0.027783602,31.196615,0.31585744,26.332897,,5002.682547330856,1.6378663,7100,31.585747,3.10371,0.25157294,26771.473,1.6608441e-06,5.4501114,40.867714,53.186916,3119.6616,0.00016608441,0.0037353192,14.013697,24448156.0,40.8677156483474,38.20837,100,500.0,71,310.37103,3550000,1341.2483,1.0250506,906.12634
