VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
7290.85094929,3.50449e-18,,1.0,-82.9453772579,1.0,0.01,0.3,7290.85094929,114.19,0.01,100,2,84.9585,-146.665,0.01,-82.9453772579,200.0,200,1.0,100.0,-82.9454,1.0,-82.9453772579
1372.49707883,4.10394e-07,0.0165153,1.00303,-66.8354161435,1.11734,0.00556983,0.3,1372.49707883,96.6,0.005,100,1,63.9338,-119.655,0.00209877,-66.8354161435,196.832488991,200,0.421025,196.785799303,-74.2372,1.01609,-66.8354161435
4992.24007842,3.50449e-18,,1.0,-76.1170351286,1.0,0.01,0.3,4992.24007842,106.33,0.01,100,2,70.3016,-139.837,0.01,-76.1170351286,200.0,200,1.0,100.0,-76.117,1.0,-76.1170351286
7254.44852288,2.13214e-06,0.0886189,1.01936,-83.694194922,1.483,0.00727421,0.3,7254.44852288,115.26,0.005,100,1,66.3539,-122.765,0.000883359,-83.694194922,183.934765339,200,0.180091,184.355689941,-75.7793,1.08734,-83.694194922
4992.34475325,3.50449e-18,,1.0,-77.0675399418,1.0,0.01,0.3,4992.34475325,107.68,0.01,100,2,70.3024,-140.785,0.01,-77.0675399418,200.0,200,1.0,100.0,-77.0675,1.0,-77.0675399418
5012.90792468,5.86908e-07,0.0236469,1.00363,-76.183928495,1.53396,0.00764211,0.3,5012.90792468,106.57,0.005,100,1,66.5932,-121.057,0.00300769,-76.183928495,195.639066952,200,0.603719,195.434836044,-75.5012,1.02229,-76.183928495
2592.38819196,3.50449e-18,,1.0,-68.6448624142,1.0,0.01,0.3,2592.38819196,97.84,0.01,100,2,50.6603,-132.364,0.01,-68.6448624142,200.0,200,1.0,100.0,-68.6449,1.0,-68.6448624142
3809.75473417,2.0166e-07,0.00796361,0.993608,-73.7466037436,1.57288,0.00791499,0.3,3809.75473417,103.7,0.005,100,1,53.6976,-116.046,0.00412093,-73.7466037436,198.280371004,200,0.818918,198.407584273,-70.7952,1.00867,-73.7466037436
6105.41845917,3.50449e-18,,1.0,-80.8441934867,1.0,0.01,0.3,6105.41845917,112.52,0.01,100,2,77.7455,-144.564,0.01,-80.8441934867,200.0,200,1.0,100.0,-80.8442,1.0,-80.8441934867
2594.16263812,2.60033e-08,0.0010324,0.996278,-70.4604924226,1.12084,0.00562512,0.3,2594.16263812,100.52,0.005,100,1,65.2555,-120.669,0.00482152,-70.4604924226,199.670382088,200,0.960715,199.793239389,-75.575,1.00165,-70.4604924226
3834.79652467,3.50449e-18,,1.0,-72.6836046964,1.0,0.01,0.3,3834.79652467,102.21,0.01,100,2,61.6153,-136.403,0.01,-72.6836046964,200.0,200,1.0,100.0,-72.6836,1.0,-72.6836046964
4973.21666217,3.33524e-07,0.0132103,0.99509,-77.1633669563,1.66805,0.0083814,0.3,4973.21666217,108.39,0.005,100,1,62.3158,-119.541,0.00445589,-77.1633669563,196.590107229,200,0.886802,197.379913632,-74.0958,1.01735,-77.1633669563
3805.37625056,3.50449e-18,,1.0,-73.4826687554,1.0,0.01,0.3,3805.37625056,103.48,0.01,100,2,61.3785,-137.202,0.01,-73.4826687554,200.0,200,1.0,100.0,-73.4827,1.0,-73.4826687554
1360.48728534,1.08343e-06,0.0423852,0.988956,-63.3831727716,1.22223,0.00617938,0.3,1360.48728534,91.31,0.005,100,1,40.4462,-112.329,0.00102914,-63.3831727716,193.349338585,200,0.203556,191.732356862,-66.5042,1.0344,-63.3831727716
2579.38399724,3.50449e-18,,1.0,-68.5449372336,1.0,0.01,0.3,2579.38399724,97.69,0.01,100,2,50.5331,-132.259,0.01,-68.5449372336,200.0,200,1.0,100.0,-68.5449,1.0,-68.5449372336
9383.07984088,8.72883e-07,0.0355365,1.00886,-92.2281203896,1.26039,0.00624661,0.3,9383.07984088,125.58,0.005,100,1,72.494,-124.816,0.00163993,-92.2281203896,191.506695514,200,0.33089,193.285061967,-78.7714,1.04435,-92.2281203896
