ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
200.0,-114.94,42.96,128.676814414,1.0,1.0,,-102.907779811,0.01,0.01,128.676814414,2,3.50449e-18,0.7,-102.908,200,11.2867,1.0,100,-102.907779811,1.0,-102.907779811,0.01,100.0
179.757047715,-117.893,41.2,525.94279061,1.11261,1.52205,0.12605,-105.794341896,0.00775642,0.005,525.94279061,1,3.27347e-06,0.7,-102.477,200,9.55965,0.981156,100,-105.794341896,0.0476495,-105.794341896,0.000242824,176.946603565
200.0,-109.872,32.57,65.4976904702,1.0,1.0,,-102.41090037,0.01,0.01,65.4976904702,2,3.50449e-18,0.7,-102.411,200,8.0525,1.0,100,-102.41090037,1.0,-102.41090037,0.01,100.0
140.834161998,-108.169,35.72,61.5988639683,1.42011,2.39383,0.419731,-103.215410642,0.0118619,0.005,61.5988639683,1,1.03061e-05,0.7,-100.792,200,10.8536,1.00904,100,-103.215410642,0.00125282,-103.215410642,6.20799e-06,141.825713183
200.0,-109.769,38.78,61.5580506772,1.0,1.0,,-102.254103062,0.01,0.01,61.5580506772,2,3.50449e-18,0.7,-102.254,200,7.80657,1.0,100,-102.254103062,1.0,-102.254103062,0.01,100.0
154.81646775,-106.008,42.8,76.2642467052,1.29185,2.16058,0.310967,-100.420948662,0.0117102,0.005,76.2642467052,1,9.13484e-06,0.7,-99.928,200,11.2052,0.922522,100,-100.420948662,0.0661275,-100.420948662,0.000358406,146.674144063
200.0,-108.514,42.9,43.8335546867,1.0,1.0,,-101.126782813,0.01,0.01,43.8335546867,2,3.50449e-18,0.7,-101.127,200,6.5875,1.0,100,-101.126782813,1.0,-101.126782813,0.01,100.0
2.99062759326,-2.92269,49.33,317.628081814,66.8756,455.129,1035.3,-98.4923784343,0.938559,0.005,317.628081814,1,0.00440269,0.7,42.6326,200,129.889,2.42462,100,-98.4923784343,1.45741e-21,-98.4923784343,3.00545e-24,1.13489871154
200.0,-111.798,103.2,1611.75265162,1.0,1.0,,-96.588845179,0.01,0.01,1611.75265162,2,3.50449e-18,0.7,-96.5888,200,39.9454,1.0,100,-96.588845179,1.0,-96.588845179,0.01,100.0
7.15226747053e-34,-6.96506e+18,49.33,1045.42332869,4.19447e+35,6.86147e+20,inf,-98.4923784343,0.966112,0.005,317.628081814,,0.00466962,0.7,-84.9028,300,12.9517,3.55107e+18,100,-98.4923784343,0.00219718,-101.286244538,3.09368e-24,
4.89445180698,-24.3415,41.78,38.2040598858,61.2939,392.461,516.94,-100.290962301,0.730828,0.00333333,38.2040598858,1,0.00179257,0.7,11.2682,300,534.562,1.79003,100,-100.290962301,9.80216e-17,-100.290962301,1.82532e-19,1.85421379805
300.0,-114.81,110.34,2143.63653187,1.0,1.0,,-94.9102004156,0.01,0.01,2143.63653187,2,3.50449e-18,0.7,-94.9102,300,46.0673,1.0,100,-94.9102004156,1.0,-94.9102004156,0.01,100.0
300.0,-109.552,115.2,1251.6745897,1.0,1.0,,-96.0509844291,0.005,0.005,1251.6745897,2,2.1793e-19,0.7,-95.4806,300,41.0001,1.0,100,-96.0509844291,1.0,-96.0509844291,0.005,200.000000102
