VarDiscRet,VarNormIw,BatchSize,ESSClassic,VarVanillaIw,MinVanillaIw,VarJ,J,IterType,MinNormIw,AvgDiscRet,MaxVanillaIw,VarRet,eRenyi2,ESSRenyi,Bound,MaxNormIw,AvgRet,VanillaAvgRet,AvgVanillaIw,EpsThisIter,AvgNormIw,Delta,AvgEpLen
3768.10617598,4.07429e-07,100,99.5982328554,0.0041089,0.899738,58.9255,-76.7311,1,0.00895941,-76.9023343177,1.23085,3768.10617598,1.00328,99.6734114424,-127.901,0.0122566,-76.9023343177,-76.9023343177,1.00424,100,0.01,0.4,108.26
7143.08564695,1.54954e-05,100,86.6998387984,0.157264,0.129074,64.4872,-80.0975,1,0.00128122,-87.0121212883,2.51921,7143.08564695,1.13669,87.9748058753,-134.567,0.0250064,-87.0121212883,-87.0121212883,1.00743,100,0.01,0.4,120.57
8237.69990155,9.83955e-06,100,91.1235196416,0.0947446,0.360859,76.5888,-85.355,1,0.00367746,-90.5696842727,2.02515,8237.69990155,1.10591,90.4235488627,-139.081,0.020638,-90.5696842727,-90.5696842727,0.981273,100,0.01,0.4,124.01
4894.17659182,4.49033e-06,100,95.7437897225,0.0451517,0.561451,60.4292,-78.9748,1,0.00559904,-81.3333234371,1.4244,4894.17659182,1.04736,95.4783227673,-131.242,0.0142048,-81.3333234371,-81.3333234371,1.00276,100,0.01,0.4,113.77
3778.46331792,3.60564e-06,100,96.5534535059,0.0365619,0.877875,58.3166,-75.548,1,0.00871785,-76.3357866378,2.62943,3778.46331792,1.01724,98.3052710564,-127.071,0.0261119,-76.3357866378,-76.3357866378,1.00699,100,0.01,0.4,107.43
12302.0278408,1.75039e-05,100,85.2305404611,0.197131,0.0487809,95.7201,-93.1829,1,0.000459663,-104.670090784,2.06509,12302.0278408,1.22449,81.6665624977,-149.716,0.0194594,-104.670090784,-104.670090784,1.06123,100,0.01,0.4,140.5
5991.49617284,7.42288e-06,100,93.1544062839,0.0737509,0.57962,65.7908,-81.9224,1,0.00581495,-85.8593182316,2.37994,5991.49617284,1.07366,93.1397466822,-134.859,0.0238764,-85.8593182316,-85.8593182316,0.996776,100,0.01,0.4,119.14
7076.52393435,8.69064e-06,100,92.0778335778,0.084051,0.162247,76.5587,-85.7952,1,0.0016498,-89.0767221083,1.77128,7076.52393435,1.05978,94.3595249025,-138.388,0.0180111,-89.0767221083,-89.0767221083,0.983435,100,0.01,0.4,123.15
10351.6827297,1.6874e-05,100,85.6859487826,0.208552,0.210615,79.3111,-87.8338,1,0.00189448,-96.7841620059,2.28324,10351.6827297,1.18077,84.6905641378,-143.348,0.0205377,-96.7841620059,-96.7841620059,1.11173,100,0.01,0.4,131.27
11171.2488071,0.000172295,100,36.9586913656,1.91254,0.0905833,90.1106,-91.3104,1,0.000859765,-103.068735352,14.1276,11171.2488071,1.2752,78.4190636126,-149.003,0.134091,-103.068735352,-103.068735352,1.05358,100,0.01,0.4,139.49
