AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
2836.51701698,2836.51701698,73.0667565563,2836.51701698,771256.552888,0.109468,1590.35,40.5242761162,1.64085,100,0.0505517,0.01,11.5167,1,1.05206,1.36861,3215.13,771256.552888,100,0.1,307.68,0.000148248,1579.45,0.000480502
2874.93288556,2874.93288556,71.392493574,2874.93288556,656748.719415,0.109555,1789.65,43.1630356069,1.6237,100,0.134281,0.01,12.1044,1,1.10487,1.40071,3262.22,656748.719415,100,0.1,312.19,0.00013301,1607.29,0.00121536
3075.10340898,3075.10340898,53.3961445787,3075.10340898,828567.82663,0.568032,3407.92,3.07154392744,137.96,100,0.0655823,0.01,118.174,1,2.0804,1.87279,4059.39,828567.82663,100,0.1,333.44,0.00318757,2143.66,0.000315238
3322.55526758,3322.55526758,75.8211852429,3322.55526758,1050019.69701,0.027679,981.332,74.6270868462,0.433426,100,0.15764,0.01,3.10949,1,1.12341,1.31889,3742.47,1050019.69701,100,0.1,360.34,3.4343e-05,2134.35,0.00140323
3524.11647194,3524.11647194,63.8915901973,3524.11647194,797519.067687,0.323645,1857.95,8.74418584669,24.5768,100,0.0810617,0.01,49.4172,1,1.5269,1.56515,4119.3,797519.067687,100,0.1,381.64,0.00105416,2368.38,0.000530892
3539.32759327,3539.32759327,78.1630444181,3539.32759327,886179.077764,0.0562118,939.719,66.7197352697,0.483633,100,0.0610897,0.01,5.50727,1,0.979737,1.27938,3890.36,886179.077764,100,0.1,383.92,5.03845e-05,2306.81,0.000623532
3848.3410433,3848.3410433,82.2449317342,3848.3410433,948930.953286,0.0244154,684.182,78.2205214291,0.297563,100,0.0670615,0.01,2.51135,1,1.02859,1.21588,4193.73,948930.953286,100,0.1,416.04,2.81249e-05,2648.27,0.000651973
4129.14176195,4129.14176195,88.9783463531,4129.14176195,548788.453135,0.0271006,536.432,81.2912163389,0.258208,100,0.198371,0.01,2.85614,1,1.0539,1.12387,4311.97,548788.453135,100,0.1,446.95,2.3247e-05,2827.38,0.00188225
4121.185525,4121.185525,91.3974217292,4121.185525,577862.911025,0.0219773,628.717,87.6884984504,0.129732,100,0.221457,0.01,2.102,1,0.956441,1.09412,4266.63,577862.911025,100,0.1,445.69,1.41818e-05,2801.13,0.00231543
4202.79034216,4202.79034216,88.0665830858,4202.79034216,651666.614155,0.0200486,448.229,86.0198936702,0.174136,100,0.238688,0.01,2.06486,1,1.02993,1.1355,4416.82,651666.614155,100,0.1,454.09,1.64163e-05,2924.16,0.00231753
