MinNormIw,J,VarRet,eRenyi2,MaxVanillaIw,AvgVanillaIw,AvgRet,BatchSize,ESSRenyi,VarNormIw,VarDiscRet,MaxNormIw,MinVanillaIw,Bound,AvgNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,VarJ,ESSClassic
0.01,-1.4901161e-08,53.785570110264295,1.0,1.0,1.0,-10.288441118774067,100,100.0,3.5044917e-18,53.785570110264295,0.01,1.0,-1.1424185,0.009999998,,200.0,9.325873406851315e-16,7.2971025,100.0
0.01,,61.94506118191376,1.0,1.0,1.0,-8.429180924722148,100,100.0,3.5044917e-18,61.94506118191378,0.01,1.0,-1.3207772,0.009999998,,200.0,1.7763568394002505e-15,7.8310666,100.0
0.01,-5.9604645e-08,62.52929500269203,1.0,1.0,1.0,-8.404441812726768,100,100.0,3.5044917e-18,62.52929500269203,0.01,1.0,-1.2797024,0.009999998,,200.0,5.329070518200751e-16,7.8679094,100.0
0.01,7.4505806e-08,53.20271534409164,1.0,1.0,1.0,-7.878674353080875,100,100.0,3.5044917e-18,53.20271534409164,0.01,1.0,-1.3557484,0.009999998,,200.0,2.486899575160351e-16,7.2574573,100.0
0.01,5.9604645e-08,53.74830214117373,1.0,1.0,1.0,-8.583657135407185,100,100.0,3.5044917e-18,53.74830214117373,0.01,1.0,-1.2979388,0.009999998,,200.0,-1.4210854715202004e-16,7.2945747,100.0
0.01,9.872019e-08,47.46525949720241,1.0,1.0,1.0,-7.923178956293056,100,100.0,3.5044917e-18,47.46525949720241,0.01,1.0,-1.284519,0.009999998,,200.0,-1.2523315717771765e-15,6.8549695,100.0
0.01,,53.61932914756536,1.0,1.0,1.0,-7.827263224288257,100,100.0,3.5044917e-18,53.61932914756536,0.01,1.0,-1.3720793,0.009999998,,200.0,2.575717417130363e-16,7.285817,100.0
0.01,2.9802322e-08,54.737912037273134,1.0,1.0,1.0,-8.85633580025677,100,100.0,3.5044917e-18,54.737912037273134,0.01,1.0,-1.2272459,0.009999998,,200.0,3.552713678800501e-17,7.3614216,100.0
0.01,5.9604645e-08,56.01325352538772,1.0,1.0,1.0,-8.13471646815001,100,100.0,3.5044917e-18,56.01325352538772,0.01,1.0,-1.3334647,0.009999998,,200.0,6.838973831690964e-16,7.446685,100.0
0.01,1.4901161e-08,56.6174933176712,1.0,1.0,1.0,-9.13098588133694,100,100.0,3.5044917e-18,56.6174933176712,0.01,1.0,-1.2611436,0.009999998,,200.0,9.681144774731366e-16,7.486743,100.0
0.01,2.2351742e-08,53.18077151890305,1.0,1.0,1.0,-8.850218105966746,100,100.0,3.5044917e-18,53.18077151890305,0.01,1.0,-1.2650298,0.009999998,,200.0,2.6645352591003756e-16,7.2559605,100.0
0.01,-1.0430813e-07,57.34818584941835,1.0,1.0,1.0,-8.10352138742917,100,100.0,3.5044917e-18,57.34818584941835,0.01,1.0,-1.3257911,0.009999998,,200.0,3.108624468950438e-16,7.534899,100.0
0.01,7.450581e-09,55.747510159969764,1.0,1.0,1.0,-8.527307259699153,100,100.0,3.5044917e-18,55.747510159969764,0.01,1.0,-1.2937019,0.009999998,,200.0,2.4424906541753444e-15,7.4289994,100.0
0.01,-2.9802322e-08,39.31021462885121,1.0,1.0,1.0,-6.063252031274487,100,100.0,3.5044917e-18,39.31021462885122,0.01,1.0,-1.4794608,0.009999998,,200.0,-8.526512829121202e-16,6.2383585,100.0
0.01,-5.9604645e-08,52.28357039160205,1.0,1.0,1.0,-8.136226140680765,100,100.0,3.5044917e-18,52.28357039160204,0.01,1.0,-1.2460207,0.009999998,,200.0,-1.0302869668521452e-15,7.1944933,100.0
0.01,3.3527613e-08,53.622000200090326,1.0,1.0,1.0,-7.078587851607584,100,100.0,3.5044917e-18,53.622000200090326,0.01,1.0,-1.4235256,0.009999998,,200.0,1.1635137298071641e-15,7.285999,100.0
0.01,-1.4901161e-08,55.55718977763458,1.0,1.0,1.0,-8.949926265117577,100,100.0,3.5044917e-18,55.55718977763458,0.01,1.0,-1.2619567,0.009999998,,200.0,7.815970093361102e-16,7.4163074,100.0
0.01,-2.0675361e-07,54.34290499723317,1.0,1.0,1.0,-10.07084135706383,100,100.0,3.5044917e-18,54.34290499723317,0.01,1.0,-1.1743525,0.009999998,,200.0,3.1974423109204507e-16,7.334812,100.0
0.01,7.450581e-09,52.80514687960286,1.0,1.0,1.0,-8.626645710740314,100,100.0,3.5044917e-18,52.80514687960287,0.01,1.0,-1.2947897,0.009999998,,200.0,-3.375077994860476e-16,7.23029,100.0
0.01,-1.4901161e-08,54.93572938121708,1.0,1.0,1.0,-7.820598348817761,100,100.0,3.5044917e-18,54.935729381217065,0.01,1.0,-1.3559862,0.009999998,,200.0,-1.1102230246251565e-15,7.374711,100.0
0.01,-5.9604645e-08,55.29528990314919,1.0,1.0,1.0,-7.800600231005655,100,100.0,3.5044917e-18,55.29528990314919,0.01,1.0,-1.3672851,0.009999998,,200.0,1.4566126083082053e-15,7.398806,100.0
0.01,9.685755e-08,45.44958723267374,1.0,1.0,1.0,-7.954101331701594,100,100.0,3.5044917e-18,45.44958723267374,0.01,1.0,-1.3172183,0.009999998,,200.0,8.79296635503124e-16,6.707838,100.0
0.01,-2.9802322e-08,54.138823362537416,1.0,1.0,1.0,-8.420889589462403,100,100.0,3.5044917e-18,54.138823362537416,0.01,1.0,-1.2834678,0.009999998,,200.0,-3.108624468950438e-16,7.321027,100.0
0.01,-1.3411045e-07,54.290355483884724,1.0,1.0,1.0,-8.471935868635104,100,100.0,3.5044917e-18,54.29035548388471,0.01,1.0,-1.2718207,0.009999998,,200.0,7.460698725481052e-16,7.3312654,100.0
0.01,2.9802322e-08,54.402751266782275,1.0,1.0,1.0,-8.929854622384614,100,100.0,3.5044917e-18,54.40275126678228,0.01,1.0,-1.2383981,0.009999998,,200.0,-1.7763568394002505e-15,7.3388505,100.0
0.01,-5.2154064e-08,39.30420606930477,1.0,1.0,1.0,-6.765030263846714,100,100.0,3.5044917e-18,39.30420606930477,0.01,1.0,-1.2609949,0.009999998,,200.0,-4.263256414560601e-16,6.2378817,100.0
0.01,2.6077032e-08,59.26939259990533,1.0,1.0,1.0,-8.097806645419087,100,100.0,3.5044917e-18,59.26939259990533,0.01,1.0,-1.2833115,0.009999998,,200.0,7.993605777301127e-17,7.660072,100.0
