BatchSize,MaxVanillaIw,ESSRenyi,VarNormIw,VarJ,VanillaAvgRet,AvgRet,MinVanillaIw,J,AvgEpLen,AvgNormIw,MaxNormIw,ESSClassic,VarRet,VarVanillaIw,Bound,eRenyi2,MinNormIw,VarDiscRet,AvgVanillaIw,AvgDiscRet
100,1.000725,99.99998807907247,1.3707297e-11,0.056968976,4999.946868057636,4999.946868057636,0.99854267,4999.9473,500.0,0.01,0.010007547,99.99999618518963,0.003282064849535952,1.3706371e-07,4579.1367,1.0000001,0.009985723,0.003282064849535952,0.9999703,4999.946868057636
100,1.0002552,100.0,1.0751346e-12,0.05145897,4999.94585669046,4999.94585669046,0.9997241,4999.9463,500.0,0.009999999,0.01000258,100.00002288825038,0.0026761327945434006,1.0750993e-08,4579.1357,1.0,0.009997268,0.0026761327945434006,0.99999726,4999.94585669046
100,1.0,100.0,3.5044917e-18,0.06254448,4999.934352713932,4999.934352713932,1.0,4999.934,500.0,0.009999998,0.01,100.0,0.0039524971390710265,,4579.1235,1.0,0.01,0.0039524971390710265,1.0,4999.934352713932
100,1.0,100.0,3.5044917e-18,0.05575353,4999.935637421047,4999.935637421047,1.0,4999.9355,500.0,0.009999998,0.01,100.0,0.0031395996597584283,,4579.125,1.0,0.01,0.0031395996597584283,1.0,4999.935637421047
100,1.0,100.0,3.5044917e-18,0.052818693,4999.94490402698,4999.94490402698,1.0,4999.945,500.0,0.009999998,0.01,100.0,0.002822045014805803,,4579.1343,1.0,0.01,0.002822045014805803,1.0,4999.94490402698
100,1.0,100.0,3.5044917e-18,0.058439944,4999.944747065272,4999.944747065272,1.0,4999.945,500.0,0.009999998,0.01,100.0,0.0034488138758668545,,4579.1343,1.0,0.01,0.0034488138758668545,1.0,4999.944747065272
100,1.1262488,98.31996163127107,2.7799058e-06,35.208218,4980.436428903356,4980.436428903356,0.1769673,4996.4307,498.06,0.010000002,0.011452746,97.32160562293141,38023.77621359159,0.026883114,4572.04,1.0170875,0.0017995681,38023.77621359159,0.9833876,4980.436428903356
100,1.0,100.0,3.5044917e-18,0.05976644,4999.94501442227,4999.94501442227,1.0,4999.9453,500.0,0.009999998,0.01,100.0,0.003604685834524701,,4579.135,1.0,0.01,0.003604685834524701,1.0,4999.94501442227
100,1.0008365,100.0,5.313903e-12,0.053359598,4999.949693227346,4999.949693227346,0.9996478,4999.95,500.0,0.01,0.010008125,99.99998092697477,0.00287755551066695,5.3142987e-08,4579.1396,1.0,0.009996238,0.00287755551066695,1.0000241,4999.949693227346
100,1.0889561,99.5353927803389,6.6585295e-07,32.1695,4994.205789652632,4994.205789652632,0.55865484,4996.7065,499.44,0.01,0.010976982,99.34511132297506,3267.098428936791,0.006552895,4574.915,1.0046678,0.005631397,3267.098428936791,0.992036,4994.205789652632
100,1.000869,99.99998807907247,7.214149e-11,0.18677332,4999.931362609715,4999.931362609715,0.99520737,4999.932,500.0,0.01,0.010008494,99.99993515144955,0.03552624908299704,7.214416e-07,4579.1216,1.0000001,0.009951878,0.03552624908299704,1.0000196,4999.931362609715
100,1.0004369,100.0,2.5847623e-12,0.05649708,4999.947712261462,4999.947712261462,0.9995933,4999.948,500.0,0.01,0.01000431,99.99999237065073,0.0032261325066572323,2.5847424e-08,4579.1377,1.0,0.009995874,0.0032261325066572323,1.0000058,4999.947712261462
100,1.000609,100.0,5.1464232e-12,0.051684562,4999.94415156682,4999.94415156682,0.99931955,4999.945,500.0,0.01,0.01000602,99.99998855599038,0.0026986830413267956,5.146398e-08,4579.1343,1.0,0.009993125,0.0026986830413267956,1.0000072,4999.94415156682
100,1.0005718,99.99998807907247,7.140414e-12,0.053457905,4999.943693231451,4999.943693231451,0.9989894,4999.944,500.0,0.01,0.010005741,99.99998092647274,0.0028895010024859264,7.1404536e-08,4579.1333,1.0000001,0.009989917,0.0028895010024859264,0.99999774,4999.943693231451
100,1.0,100.0,3.5044917e-18,0.056225624,4999.938678560747,4999.938678560747,1.0,4999.9385,500.0,0.009999998,0.01,100.0,0.0031934501154494226,,4579.128,1.0,0.01,0.0031934501154494226,1.0,4999.938678560747
100,1.0,100.0,3.5044917e-18,0.06479388,4999.943915169295,4999.943915169295,1.0,4999.9443,500.0,0.009999998,0.01,100.0,0.004239952560425053,,4579.134,1.0,0.01,0.004239952560425053,1.0,4999.943915169295
