ReturnStepMax,MaxIWNorm,InitialReturnStd,Weights,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,OptimizationReturnMin,MaxIW,EpRewMean,TimestepsSoFar,Iteration,Bound,StdIWNorm,StdIW,EpisodesSoFar,InitialReturnMean,EmpiricalD2,OptimizationReturnMean,EpThisIter,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,MeanIW,InitialReturnMin,MinIWNorm,VarianceInit,EpLenMean,InitialBound,LearnableVariance,MinIW,MeanIWNorm,J_sample_variance
9.359859,0.34700605,75.06402,[-0.003  0.281  0.106  0.005 -0.047 -0.056  0.655 -0.129  0.     0.  0.    -0.508],558.55707,53.00207,14.744265,111.40638995170593,,34.700607,322.4120002229813,130118,46,304.58942,0.03409614,3.4096143,4600,322.41202,1.8867188,111.02414,100,404.92828,616.31616,9.359859,0.94280607,1.417931,211.38786,0.002426291,-1,34.85,137.51715,True,0.2426291,0.014179307,2044657.2
9.35984,0.013847697,75.290276,[ 0.003  0.303  0.115 -0.001 -0.045 -0.001  0.721 -0.105  0.     0.  0.    -0.476],318.2826,99.02658,99.151146,116.23166298866272,,1.3847697,314.51842191667566,133517,47,139.14247,0.000933494,0.0933494,4700,314.51843,1.0098299,93.88843,100,373.59033,594.22034,9.35984,0.9449014,1.0089002,220.63,0.0075603477,-1,33.99,136.2523,True,0.7560348,0.010089003,56838.89
9.359897,0.044332597,91.598305,[-0.013  0.304  0.112 -0.002 -0.048 -0.01   0.709 -0.113  0.     0.  0.    -0.474],352.12958,90.794426,84.054596,120.28599691390991,,4.43326,325.6926770063162,137039,48,101.85756,0.0045631533,0.4563154,4800,325.6927,1.1013892,132.23361,100,601.4559,794.9149,9.359897,0.9583133,1.0476786,193.45906,0.005166491,-1,35.22,87.21823,True,0.5166491,0.010476785,112409.28
9.359784,0.023993721,77.341576,[ 0.016  0.291  0.11   0.006 -0.039 -0.007  0.689 -0.115  0.     0.  0.    -0.461],345.00543,90.229675,89.68913,125.00670146942139,,2.399372,319.41008210661397,140493,49,124.43834,0.0036153814,0.3615381,4900,319.4101,1.1082828,135.84654,100,514.82025,698.3838,9.359784,0.9584299,1.0662925,183.56355,0.003410752,-1,34.54,109.89494,True,0.3410752,0.010662925,48525.09
9.359959,0.026792647,84.01719,[-0.01   0.295  0.101  0.008 -0.037 -0.016  0.661 -0.136  0.     0.  0.    -0.461],341.55133,89.56997,89.39855,129.40065932273865,,2.6792648,314.4915193450815,143893,50,132.33249,0.0036558614,0.36558613,5000,314.49155,1.1164457,103.0374,100,448.57147,660.0256,9.359959,0.97741187,1.0616287,211.45412,0.005681818,-1,34.0,116.483826,True,0.5681818,0.0106162885,69296.02
9.35988,0.014068095,81.14088,[-5.066e-04  3.041e-01  9.720e-02  2.270e-02 -3.381e-02 -1.012e-03  6.545e-01 -1.295e-01  0.000e+00  0.000e+00  0.000e+00 -4.415e-01],320.97122,98.177605,98.386894,134.70826244354248,,1.4068096,316.44516376849447,147314,51,117.466965,0.0012897627,0.12897627,5100,316.44516,1.0185622,104.794785,100,460.48767,672.13806,9.35988,0.98400766,1.0072701,211.65038,0.005990007,-1,34.21,114.80376,True,0.5990007,0.0100727,54553.96
9.359883,0.015565657,77.093636,[-0.004  0.296  0.098  0.013 -0.029 -0.007  0.659 -0.134  0.     0.  0.    -0.435],340.17426,94.53261,95.93253,139.65177965164185,,1.5565658,324.96202953388166,150827,52,154.88152,0.002145698,0.2145698,5200,324.96204,1.057836,114.42369,100,389.98236,600.5207,9.359883,0.95891845,1.0420513,210.53835,0.004705209,-1,35.13,144.80588,True,0.4705209,0.010420513,56873.6
9.359653,0.026925558,86.05969,[-0.013  0.311  0.09   0.013 -0.025 -0.01   0.66  -0.129  0.     0.  0.    -0.46 ],360.40344,80.78314,78.550156,144.35454964637756,,2.692556,314.20926296941025,154223,53,117.07657,0.005852647,0.58526474,5300,314.2093,1.237882,121.48018,100,536.2737,729.0028,9.359653,0.905458,1.1199893,192.7291,0.0019706187,-1,33.96,95.50839,True,0.19706187,0.0111998925,70961.54
9.359527,0.086501084,70.99145,[-0.002  0.295  0.086  0.017 -0.021 -0.017  0.637 -0.139  0.     0.  0.    -0.513],468.11987,48.004448,42.730793,148.77478122711182,,8.650108,319.15673841622663,157674,54,198.22736,0.016030107,1.6030107,5400,319.15674,2.0831404,107.24909,100,411.41132,623.319,9.359527,0.81223243,1.3846698,211.90765,0.00026511407,-1,34.51,132.16106,True,0.026511408,0.013846696,226898.08
9.359864,0.38418597,64.53125,[ 0.004  0.294  0.085  0.005 -0.038 -0.018  0.632 -0.119  0.     0.  0.    -0.607],553.6164,35.731163,13.584767,153.88270330429077,,38.4186,320.9549594255806,161143,55,240.88315,0.039898448,3.9898448,5500,320.95496,2.7986774,89.826,100,391.9978,623.1268,9.359864,0.69805366,1.581929,231.12897,0.00035544092,-1,34.69,134.01694,True,0.035544094,0.015819287,573474.7
9.359826,0.021313317,77.48266,[ 2.485e-02  2.854e-01  7.674e-02  4.797e-03 -2.820e-02 -5.321e-04  6.169e-01 -1.330e-01  0.000e+00  0.000e+00  0.000e+00 -7.209e-01],358.9424,90.98254,90.6542,159.4288079738617,,2.1313317,335.36987335580517,164767,56,136.46147,0.0034066618,0.34066617,5600,335.36987,1.099112,114.034645,100,486.04123,707.37646,9.359826,0.6804883,1.0609981,221.33524,0.0021731,-1,36.24,123.15692,True,0.21731,0.010609981,65749.55
