LearnableVariance,MaxIWNorm,ReturnStepMaxmin,InitialReturnStd,ESSRenyi,StdIWNorm,MeanIW,MeanIWNorm,J_sample_variance,MaxIW,Bound,Weights,InitialBound,EpThisIter,InitialReturnMean,EmpiricalD2,TimestepsSoFar,EpLenMean,Iteration,OptimizationReturnMean,TimeElapsed,VarianceInit,MeanEntropy,StdIW,ESSClassic,OptimizationReturnMax,ReturnStepMax,EpRewMean,MinIWNorm,MinIW,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin
True,0.059072264,0.85544264,17.482056,8.398556,0.010037119,0.73531586,0.007353158,18013.904,5.9072266,-84.65048,[ 0.193  1.199 -0.351],-100.246635,100,-95.07282,11.906809,1496187,133.98,52,60.141308,2038.9452073574066,-1,1.1251363,1.0037119,34.925392,93.95353,0.85544264,-95.07283272266388,9.572723e-05,0.009572723,,-66.79762,-61.260612,5200,-155.21414
True,0.064188614,0.8553956,17.9087,5.7328496,0.01192452,0.6544179,0.0065441793,21240.234,6.4188614,-80.97775,[ 0.288  1.247 -0.294],-99.98726,100,-94.46948,17.443333,1509521,133.34,53,71.063934,2059.959902524948,-1,1.0210525,1.192452,23.146778,105.90776,0.8553956,-94.4694804367423,4.2835472e-06,0.00042835472,,-57.93262,-59.625656,5300,-165.53342
True,0.062324293,0.8622706,21.376234,8.567504,0.010027856,0.65141034,0.006514104,22901.914,6.2324295,-83.33325,[ 0.264  1.214 -0.398],-100.27556,100,-94.109726,11.672011,1522823,133.02,54,90.86534,2078.2266578674316,-1,1.0198984,1.0027856,29.675585,123.24938,0.8622706,-94.10973088473082,2.0712972e-05,0.0020712973,,-62.268085,-61.725685,5400,-184.97507
True,0.063638344,0.86416316,21.182995,9.214671,0.010104581,0.56335676,0.0056335675,18534.398,6.3638344,-65.998856,[ 0.21   1.141 -0.399],-104.76148,100,-99.1627,10.852259,1536875,140.52,55,68.800995,2094.8951222896576,-1,0.9739177,1.010458,23.712774,107.86757,0.86416316,-99.16269594296813,4.3041957e-05,0.0043041958,,-47.554893,-60.09611,5500,-167.96368
True,0.07458347,0.86043745,20.29803,7.664551,0.012157139,0.6771085,0.006771085,20589.555,7.4583473,-80.44462,[ 0.207  1.207 -0.445],-97.8419,100,-92.47872,13.047079,1549980,131.05,56,68.41697,2113.473875284195,-1,0.96191514,1.215714,23.67628,100.80125,0.86043745,-92.4787138967216,3.208772e-05,0.0032087718,,-61.07238,-60.094444,5600,-160.89569
True,0.1254957,0.854887,20.539865,8.18165,0.015857212,0.697753,0.0069775297,23039.955,12.54957,-76.242676,[ 0.03   1.271 -0.457],-94.26088,100,-89.35427,12.222473,1562666,126.86,57,57.844093,2130.3328564167023,-1,0.89927393,1.5857213,16.22123,96.19806,0.854887,-89.35426867887378,5.01372e-05,0.00501372,,-59.088837,-51.000305,5700,-147.19836
True,0.09907618,0.86610895,15.533243,3.743404,0.012912887,0.62405336,0.006240533,9605.812,9.9076185,-72.37106,[-0.022  1.214 -0.52 ],-92.04582,100,-87.966995,26.713655,1575159,124.93,58,34.398182,2146.6113996505737,-1,0.81319135,1.2912887,18.933758,61.456097,0.86610895,-87.96698194622994,8.138288e-07,8.138288e-05,,-51.28948,-60.90907,5800,-122.365166
True,0.07254239,0.8592943,17.678774,5.976177,0.011431897,0.65328026,0.006532802,10978.578,7.254239,-75.59103,[-0.122  1.164 -0.606],-93.45964,100,-88.955536,16.733105,1587734,125.75,59,46.16748,2167.1434829235077,-1,0.7820675,1.1431898,24.617031,74.52335,0.8592943,-88.95553857713938,3.822188e-05,0.0038221881,,-57.166496,-60.599663,5900,-135.12302
True,0.042878542,0.8687609,18.48641,10.052458,0.008304925,0.65511996,0.006551199,12080.649,4.287854,-75.594315,[-0.22   1.107 -0.637],-98.565796,100,-93.67622,9.947816,1600975,132.41,60,53.01093,2187.2874867916107,-1,0.7932488,0.8304925,38.35751,87.14914,0.8687609,-93.67622406467795,8.9295725e-05,0.008929573,,-60.172527,-59.53801,6000,-146.68715
True,0.057370264,0.8619521,18.90056,6.7904124,0.010945256,0.70946115,0.0070946114,25616.848,5.7370267,-88.39442,[-0.391  1.147 -0.626],-96.10656,100,-90.08638,14.726646,1613734,127.59,61,90.51915,2206.9693834781647,-1,0.6842973,1.0945256,29.584951,119.554855,0.8619521,-90.08637692287564,5.386634e-06,0.0005386634,,-65.29177,-61.050674,6100,-180.60553
True,0.059119944,0.86159366,18.98827,9.143373,0.0096885,0.6382545,0.0063825445,15464.79,5.9119945,-74.50525,[-0.42   1.147 -0.735],-95.07632,100,-89.79824,10.936884,1626456,127.22,62,68.544266,2222.4169824123383,-1,0.7260116,0.96884996,30.264263,98.149345,0.86159366,-89.79823591306805,9.543536e-05,0.009543536,,-57.05012,-60.193153,6200,-158.3425
