ESSClassic,MaxVanillaIw,VarNormIw,MinVanillaIw,VarRet,VarVanillaIw,BatchSize,Delta,AvgEpLen,AvgNormIw,VanillaAvgRet,J,AvgDiscRet,AvgVanillaIw,MinNormIw,VarDiscRet,Bound,EpsThisIter,VarJ,eRenyi2,IterType,AvgRet,MaxNormIw,ESSRenyi
100.0,1.0,3.50449e-18,1.0,130.11605904,,500,0.9,500.0,0.01,66.8052367185,66.8052,66.8052367185,1.0,0.01,130.11605904,63.8501,100,11.3497,1.0,2,66.8052367185,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,67.9337797041,,500,0.9,500.0,0.005,78.5922887722,72.6988,78.5922887722,1.0,0.005,67.9337797041,70.599,100,11.5225,1.0,2,78.5922887722,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,142.076929382,,500,0.9,500.0,0.00333333,69.3228055738,71.5734,69.3228055738,1.0,0.00333333,142.076929382,69.859,100,11.7444,1.0,2,69.3228055738,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,165.45314915,,500,0.9,500.0,0.0025,71.8034248811,71.6309,71.8034248811,1.0,0.0025,165.45314915,70.1462,100,12.017,1.0,2,71.8034248811,0.0025,500.0
10.6381093118,1172.34,0.000184372,0.00724594,158.900832032,26957.9,500,0.9,500.0,0.002,67.0315423859,88.72,67.0315423859,24.1838,5.99239e-07,158.900832032,86.1329,100,2.55346,3.79538,1,67.0315423859,0.0969525,131.739077285
100.0,1.0,3.50449e-18,1.0,228.419152451,,500,0.9,500.0,0.01,76.1732198005,76.1732,76.1732198005,1.0,0.01,228.419152451,73.0634,100,15.0378,1.0,2,76.1732198005,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,202.923147701,,500,0.9,500.0,0.005,72.2183974317,74.1958,72.2183974317,1.0,0.005,202.923147701,71.9969,100,14.7453,1.0,2,72.2183974317,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,121.941181889,,500,0.9,500.0,0.00333333,65.2849772144,71.2255,65.2849772144,1.0,0.00333333,121.941181889,69.4301,100,14.242,1.0,2,65.2849772144,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,169.925221198,,500,0.9,500.0,0.0025,70.5471466147,71.0559,70.5471466147,1.0,0.0025,169.925221198,69.501,100,13.9381,1.0,2,70.5471466147,0.0025,500.0
12.5059337098,861.542,0.000156237,0.014085,205.527190607,17403.7,500,0.9,500.0,0.002,68.0074110995,92.9732,68.0074110995,21.1086,1.33453e-06,205.527190607,90.067,100,2.08268,4.36653,1,68.0074110995,0.0816294,114.507314614
100.0,1.0,3.50449e-18,1.0,146.249357861,,500,0.9,500.0,0.01,71.6431429804,71.6431,71.6431429804,1.0,0.01,146.249357861,68.7796,100,12.0327,1.0,2,71.6431429804,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,69.4529563093,,500,0.9,500.0,0.005,74.1433275576,72.8932,74.1433275576,1.0,0.005,69.4529563093,70.7955,100,10.4084,1.0,2,74.1433275576,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,136.304866973,,500,0.9,500.0,0.00333333,79.2556204081,75.014,79.2556204081,1.0,0.00333333,136.304866973,73.3012,100,11.2339,1.0,2,79.2556204081,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,68.2464606336,,500,0.9,500.0,0.0025,71.3654675478,74.1019,71.3654675478,1.0,0.0025,68.2464606336,72.6185,100,10.6788,1.0,2,71.3654675478,0.0025,500.0
416.490733877,2.3254,8.03639e-07,0.00613591,304.694022887,0.222116,500,0.9,500.0,0.002,73.9892770998,78.5232,73.9892770998,1.05145,1.16713e-05,304.694022887,77.0065,100,10.68,1.14042,1,73.9892770998,0.00442321,438.436719477
100.0,1.0,3.50449e-18,1.0,173.551610323,,500,0.9,500.0,0.01,74.9093873816,74.9094,74.9093873816,1.0,0.01,173.551610323,71.859,100,13.1079,1.0,2,74.9093873816,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,104.24643046,,500,0.9,500.0,0.005,70.0882066586,72.4988,70.0882066586,1.0,0.005,104.24643046,70.3418,100,11.9717,1.0,2,70.0882066586,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,149.879594065,,500,0.9,500.0,0.00333333,76.0492173596,73.6823,76.0492173596,1.0,0.00333333,149.879594065,71.8399,100,12.1577,1.0,2,76.0492173596,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,57.1007398406,,500,0.9,500.0,0.0025,80.7060390055,75.4382,80.7060390055,1.0,0.0025,57.1007398406,73.8426,100,11.5862,1.0,2,80.7060390055,0.0025,500.0
500.000006643,1.0,5.43187e-20,1.0,285.203510724,,500,0.9,500.0,0.002,72.8587660632,74.9223,72.8587660632,1.0,0.002,285.203510724,73.4952,100,12.8424,1.0,1,72.8587660632,0.002,500.0
100.0,1.0,3.50449e-18,1.0,148.226213757,,500,0.9,500.0,0.01,78.0071676928,78.0072,78.0071676928,1.0,0.01,148.226213757,74.8298,100,12.1138,1.0,2,78.0071676928,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,87.0606452586,,500,0.9,500.0,0.005,78.4119024013,78.2095,78.4119024013,1.0,0.005,87.0606452586,75.9628,100,10.7939,1.0,2,78.4119024013,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,120.019270251,,500,0.9,500.0,0.00333333,76.4154179282,77.6115,76.4154179282,1.0,0.00333333,120.019270251,75.777,100,10.8625,1.0,2,76.4154179282,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,57.3882379819,,500,0.9,500.0,0.0025,75.6043276188,77.1097,75.6043276188,1.0,0.0025,57.3882379819,75.521,100,10.1712,1.0,2,75.6043276188,0.0025,500.0
500.000006643,1.0,5.43187e-20,1.0,149.577314866,,500,0.9,500.0,0.002,78.5081409231,77.3894,78.5081409231,1.0,0.002,149.577314866,75.9684,100,10.6157,1.0,1,78.5081409231,0.002,500.0
100.0,1.0,3.50449e-18,1.0,136.324195159,,500,0.9,500.0,0.01,76.2852212112,76.2852,76.2852212112,1.0,0.01,136.324195159,73.2232,100,11.6173,1.0,2,76.2852212112,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,46.6726937827,,500,0.9,500.0,0.005,75.1226793081,75.7039,75.1226793081,1.0,0.005,46.6726937827,73.5388,100,9.53527,1.0,2,75.1226793081,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,76.1641987119,,500,0.9,500.0,0.00333333,73.2866636383,74.8982,73.2866636383,1.0,0.00333333,76.1641987119,73.1304,100,9.32989,1.0,2,73.2866636383,0.00333333,500.0
