ESSRenyi,renyi2,MinNormIw,delta,AvgEpLen,ESSClassic,BatchSize,VarNormIw,AvgNormIw,MaxNormIw,J,VarJ,SamplesThisIter,MinVanillaIw,VanillaAvgRet,AvgVanillaIw,VarRet,AvgRet,VarVanillaIw,AvgDiscRet,MaxVanillaIw,IterType,EpsThisIter,VarDiscRet,Bound
nan,nan,,0.4,500.0,2.99998203019,100,1.83179e-05,5.52486e-05,0.33246,3055.53,17.5589,50000,,-4.63213396627,8.12867e+11,39.3849842303,-4.63213396627,3.96527e+27,-4.63213396627,4.89146e+15,1,100,39.3849842303,5.08121
nan,nan,5.70722e-28,0.4,500.0,2.43906465559,100,1.96446e-07,5.52486e-05,0.0299257,828.25,111.437,50000,4.43908e-23,-3.77577347942,4.29725,25.9922378767,-3.77577347942,1188.45,-3.77577347942,2327.63,1,100,25.9922378767,-0.38529
nan,nan,8.30134e-33,0.4,500.0,0.868105184755,100,2.85434e-08,5.52486e-05,0.00308869,448.03,139.724,50000,2.65455e-28,-4.76120449499,1.7667,25.3204500196,-4.76120449499,29.187,-4.76120449499,98.768,1,100,25.3204500196,-1.93046
nan,nan,,0.4,500.0,1.10672408995,100,3.91064e-08,5.52486e-05,0.00686238,1311.96,440.279,50000,,-3.6189835643,1.61072,38.3466855599,-3.6189835643,33.2386,-3.6189835643,200.066,1,100,38.3466855599,0.0731492
nan,nan,1.9925e-26,0.4,500.0,0.676848844523,100,4.19917e-07,5.52486e-05,0.0347179,2594.01,287.866,50000,4.11863e-21,-3.35248405294,11.4202,61.2354322079,-3.35248405294,17942.0,-3.35248405294,7176.42,1,100,61.2354322079,2.96699
nan,nan,7.93953e-32,0.4,500.0,0.377835456091,100,1.10196e-07,5.52486e-05,0.0094294,1811.58,260.574,50000,5.22205e-27,-4.21842814469,3.63386,42.1382537314,-4.21842814469,476.715,-4.21842814469,620.198,1,100,42.1382537314,1.96333
nan,nan,6.07919e-32,0.4,500.0,0.273321695079,100,3.75488e-08,5.52486e-05,0.00258403,1214.26,204.151,50000,2.32691e-27,-2.95324837165,2.11473,36.6634110334,-2.95324837165,55.0129,-2.95324837165,98.9082,1,100,36.6634110334,0.753967
nan,nan,4.24174e-37,0.4,500.0,0.76419850711,100,4.57143e-08,5.52486e-05,0.00485303,1614.07,168.483,50000,2.52249e-32,-2.86201337281,3.28554,45.8154238637,-2.86201337281,161.668,-2.86201337281,288.601,1,100,45.8154238637,2.39145
nan,nan,5.61843e-21,0.4,500.0,0.439008574724,100,5.31505e-08,5.52486e-05,0.00576569,1543.18,201.948,50000,2.9277e-16,-3.05047564475,2.87895,38.9301849977,-3.05047564475,144.322,-3.05047564475,300.444,1,100,38.9301849977,1.95126
nan,nan,,0.4,500.0,0.948036641588,100,1.5464e-06,5.52486e-05,0.0543338,4406.16,105.824,50000,,-1.8231201874,3091.75,90.1874947648,-1.8231201874,4.84272e+09,-1.8231201874,3.04056e+06,1,100,90.1874947648,11.6989
nan,nan,1.78049e-28,0.4,500.0,2.08529840441,100,9.9734e-08,5.52486e-05,0.0103803,2664.3,161.812,50000,2.169e-23,-1.69620892876,6.7304,67.2649629534,-1.69620892876,1480.07,-1.69620892876,1264.53,1,100,67.2649629534,6.66092
nan,nan,,0.4,500.0,1.02072353139,100,1.1841e-06,5.52486e-05,0.0738017,3393.83,313.391,50000,,-1.8009590544,20.6074,71.0434341014,-1.8009590544,164737.0,-1.8009590544,27527.6,1,100,71.0434341014,6.29552
nan,nan,9.69675e-18,0.4,500.0,0.832277279191,100,1.42822e-08,5.52486e-05,0.0012959,1037.67,124.2,50000,2.52305e-13,-3.25096045304,1.43755,72.7182174905,-3.25096045304,9.66931,-3.25096045304,33.7187,1,100,72.7182174905,-0.782066
nan,nan,1.4606e-37,0.4,500.0,0.269689708779,100,7.6858e-08,5.52486e-05,0.00412844,1695.84,193.109,50000,7.14574e-33,-3.2627912397,2.70294,41.9497374299,-3.2627912397,183.958,-3.2627912397,201.976,1,100,41.9497374299,3.19797
nan,nan,9.76983e-31,0.4,500.0,0.645028951785,100,1.3989e-07,5.52486e-05,0.0170007,3799.87,313.118,50000,8.5135e-26,0.0969788323975,4.8144,92.8220380054,0.0969788323975,1062.26,0.0969788323975,1481.46,1,100,92.8220380054,9.27395
nan,nan,2.05605e-20,0.4,500.0,0.555455310625,100,7.82159e-08,5.52486e-05,0.0125069,3353.92,787.113,50000,1.14771e-15,-0.541211707528,3.08403,68.9336599011,-0.541211707528,243.719,-0.541211707528,698.146,1,100,68.9336599011,3.22167
nan,nan,5.32108e-32,0.4,500.0,1.67381169972,100,1.69042e-07,5.52486e-05,0.0147837,4748.72,376.53,50000,7.30552e-27,0.472801913446,7.58529,111.731824555,0.472801913446,3186.37,0.472801913446,2029.71,1,100,111.731824555,11.0035
nan,nan,1.54779e-21,0.4,500.0,0.436004360241,100,4.20633e-08,5.52486e-05,0.00331933,4861.3,461.708,50000,6.85809e-17,3.6894075197,2.44801,149.368109973,3.6894075197,82.5825,3.6894075197,147.076,1,100,149.368109973,12.7924
nan,nan,1.13014e-21,0.4,500.0,3.34638631325,100,1.47971e-07,5.52486e-05,0.0276126,6204.67,629.453,50000,6.31445e-17,6.29455621388,3.08691,192.984328168,6.29455621388,461.936,6.29455621388,1542.8,1,100,192.984328168,15.5998
nan,nan,,0.4,500.0,0.579730305395,100,7.02497e-07,5.52486e-05,0.0404142,8044.89,702.112,50000,,5.96095769152,18.372,166.850112166,5.96095769152,77680.8,5.96095769152,13439.1,1,100,166.850112166,14.3758
nan,nan,1.61786e-25,0.4,500.0,1.56947457717,100,5.23895e-08,5.52486e-05,0.0052418,5605.23,219.32,50000,1.35651e-20,4.43292534599,4.63238,219.812662939,4.43292534599,368.308,4.43292534599,439.504,1,100,219.812662939,18.8984
nan,nan,8.67263e-24,0.4,500.0,0.493141512065,100,3.33867e-08,5.52486e-05,0.00284355,4545.74,411.681,50000,3.08748e-19,5.75505954021,1.96687,113.341000611,5.75505954021,42.3137,5.75505954021,101.231,1,100,113.341000611,12.7416
nan,nan,1.32263e-19,0.4,500.0,0.523960654176,100,1.91649e-08,5.52486e-05,0.00194082,5132.52,655.949,50000,3.11755e-15,11.1450588166,1.30226,150.486893678,11.1450588166,10.6477,11.1450588166,45.7467,1,100,150.486893678,14.5362
nan,nan,2.69597e-22,0.4,500.0,0.670097308849,100,2.34565e-08,5.52486e-05,0.00194137,5726.54,297.239,50000,1.00436e-17,11.406616839,2.05824,211.253027195,11.406616839,32.5548,11.406616839,72.3242,1,100,211.253027195,20.49
nan,nan,4.41076e-26,0.4,500.0,1.02971924031,100,2.40065e-08,5.52486e-05,0.00279451,5846.52,371.047,50000,1.33351e-21,10.6664666063,1.67033,219.030865488,10.6664666063,21.9428,10.6664666063,84.4865,1,100,219.030865488,19.7135
nan,nan,4.62156e-29,0.4,500.0,0.574899857774,100,2.92133e-08,5.52486e-05,0.0060529,5100.23,170.602,50000,1.81998e-24,9.25423709238,2.1757,171.192935851,9.25423709238,45.3039,9.25423709238,238.364,1,100,171.192935851,19.73
