Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-106.511803137,-123.751,14.542563683,5.80195,2.90479,1.02465,14.542563683,0.0281551,5.74505e-06,-106.511803137,0.01,1.03171,-106.173,100,-106.511803137,1,94.6185009946,22.67,0.061152,97.5939506374,0.00672225,0.693542,100
0.3,-105.794857426,-123.218,54.0883395323,10.5122,1.6519,1.02995,54.0883395323,0.0162792,3.75198e-06,-105.794857426,0.01,1.01473,-105.326,100,-105.794857426,1,96.4185768421,25.74,0.0386333,97.0917975299,0.00631696,0.641001,100
0.3,-106.937931379,-124.896,8.74674102982,2.93022,1.29528,1.00717,8.74674102982,0.0128982,7.48643e-07,-106.937931379,0.01,1.00423,-106.815,100,-106.937931379,1,99.2642997613,21.45,0.00754994,99.2885546159,0.00753912,0.757104,100
0.3,-106.428404368,-123.928,17.4312162388,4.38872,1.2605,1.00887,17.4312162388,0.0127447,9.03184e-07,-106.428404368,0.01,0.989041,-106.279,100,-106.428404368,1,99.1137524328,26.94,0.00883496,99.1208565274,0.00739952,0.731843,100
0.3,-107.407277652,-127.053,16.6093208212,3.64134,1.13816,1.00575,16.6093208212,0.0114483,7.70414e-07,-107.407277652,0.01,0.994172,-107.281,100,-107.407277652,1,99.2430446766,27.26,0.00761461,99.4280810633,0.00634083,0.630388,100
0.3,-106.652552637,-124.598,11.0858757844,3.46808,1.33445,1.0057,11.0858757844,0.0132828,6.48015e-07,-106.652552637,0.01,1.00464,-106.552,100,-106.652552637,1,99.3625677267,24.48,0.00654049,99.4329720635,0.00772442,0.776029,100
0.3,-106.541712079,-124.086,27.9634443232,6.53988,1.67407,1.02315,27.9634443232,0.0165738,2.47241e-06,-106.541712079,0.01,1.01007,-106.159,100,-106.541712079,1,97.610781869,26.37,0.0252244,97.7376560974,0.00609196,0.615329,100
0.3,-104.93242104,-124.183,64.4438661465,9.33393,1.39657,1.02359,64.4438661465,0.0138313,2.37688e-06,-104.93242104,0.01,1.00972,-104.498,100,-104.93242104,1,97.7009992638,30.73,0.0242332,97.6957333887,0.00556367,0.561776,100
0.3,-106.488726102,-124.93,21.9513814653,4.95087,1.35014,1.00908,21.9513814653,0.0136438,1.49592e-06,-106.488726102,0.01,0.98956,-106.326,100,-106.488726102,1,98.5406514704,26.15,0.0146484,99.0998375036,0.00576876,0.570853,100
0.3,-105.084822847,-122.935,49.6815640532,8.47978,1.37736,1.02411,49.6815640532,0.0138257,1.91759e-06,-105.084822847,0.01,0.996231,-104.67,100,-105.084822847,1,98.1369776988,29.9,0.0190316,97.645935055,0.00740551,0.73776,100
0.3,-105.971785402,-124.366,17.2364814414,4.16866,1.17618,1.00603,17.2364814414,0.0117199,4.94553e-07,-105.971785402,0.01,1.00357,-105.861,100,-105.971785402,1,99.5128229884,28.09,0.00498093,99.4006061244,0.00817213,0.820133,100
0.3,-106.344600666,-124.168,16.9139832551,4.29988,1.12985,1.00806,16.9139832551,0.0114638,8.02574e-07,-106.344600666,0.01,0.985582,-106.203,100,-106.344600666,1,99.21171797,25.78,0.00779597,99.2007280815,0.0065526,0.645813,100
0.3,-104.690798023,-112.265,68.1874834843,152.17,52.9949,3.07904,68.1874834843,0.363072,0.00130929,-104.690798023,0.01,1.45962,-81.0892,100,-104.690798023,1,7.16229607026,37.31,27.8945,32.4776950778,0.000384785,0.0561642,100
0.3,-101.802470327,-111.974,590.023888806,222.671,15.2327,5.01026,590.023888806,0.145181,0.000620992,-101.802470327,0.01,1.04922,-62.8624,100,-101.802470327,1,13.9902765883,67.55,6.83626,19.9590341251,4.86182e-14,5.10111e-12,100
0.3,-99.8832126892,-139.284,1065.40788815,37.7977,1.52724,1.09514,1065.40788815,0.0150761,1.09065e-05,-99.8832126892,0.01,1.01302,-96.5478,100,-99.8832126892,1,90.2547946436,107.45,0.111924,91.3125676522,0.00192857,0.195368,100
0.3,-101.964738773,-119.961,662.857741564,201.642,11.7239,4.539,662.857741564,0.10777,0.000485746,-101.964738773,0.01,1.08786,-72.4254,100,-101.964738773,1,17.2150132816,89.25,5.74855,22.0312611127,3.71873e-10,4.04547e-08,100
0.3,-88.9522966698,-146.688,3782.60582331,86.419,2.50313,1.33766,3782.60582331,0.0245727,3.72459e-05,-88.9522966698,0.01,1.01866,-72.6305,100,-88.9522966698,1,73.0601929846,152.39,0.386491,74.7574413598,0.000362247,0.0369007,100
0.3,-75.7521059256,-55.7469,3747.9664575,221.227,10.7737,6.78122,3747.9664575,0.138848,0.000676633,-75.7521059256,0.01,0.775929,4.24614,100,-75.7521059256,1,12.9892664606,167.7,4.07378,14.7466142906,2.00307e-22,1.55424e-20,100
0.3,-59.3886821304,-inf,3747.9664575,28.1202,6.434e+19,nan,5724.37298358,0.795848,0.00667916,-75.7521059256,0.01,8.08446e+17,-111.353,100,-75.7521059256,,,167.7,inf,nan,1.14812e-21,0.092819,200
0.3,-69.8919140453,-53.2794,4424.81609451,225.723,27.7456,9.53158,4424.81609451,0.140162,0.000263211,-69.8919140453,0.005,0.989769,0.974701,100,-69.8919140453,1,17.4279582998,175.45,10.3141,20.9828696342,1.93223e-20,3.82493e-18,200
0.3,-67.7124919805,-86.6571,4390.95290259,65.9321,1.0,1.0,4390.95290259,0.01,3.50449e-18,-67.7124919805,0.01,1.0,-67.7125,100,-67.7124919805,2,100.0,174.72,,200.0,0.01,1.0,200
0.3,-65.3293350967,-inf,4424.81609451,43.302,2.61443e+17,nan,4765.8761153,0.596948,0.00254254,-69.8919140453,0.005,2.18983e+15,59.1134,100,-69.8919140453,,1.95707823719,175.45,4.87695e+32,nan,8.22936e-20,0.0360418,300
0.3,-75.2058753638,-45.5024,3851.76134488,278.308,84.2427,23.2227,3851.76134488,0.268951,0.000446877,-75.2058753638,0.00333333,1.04409,23.6425,100,-75.2058753638,1,7.3019688735,163.31,43.8434,12.9183954967,1.434e-31,4.49167e-29,300
