MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
530122.0,1297.7,660.248813061,nan,100,263594.0,660.248813061,71.4285714286,700,0.6,129340.861499,660.248813061,2.18064214318,61.6198,1.6452e+07,129340.861499,,,50000,2.72922e-07,1,7.93651e-06,nan,0.0682787,18525.1
34274.9,1332.72,722.347036541,nan,100,259238.0,722.347036541,78.125,640,0.6,129881.163455,722.347036541,2.17448860954,10.1515,84568.5,129881.163455,,,50000,6.18363e-08,1,8.68056e-06,nan,0.0293085,13725.3
6545.88,1509.69,903.024436956,nan,100,300469.0,903.024436956,97.65625,512,0.6,191442.493808,903.024436956,2.99339350474,6.74871,9703.11,191442.493808,,,50000,2.50833e-08,1,1.08507e-05,nan,0.0105246,14291.9
123494.0,1460.34,774.849900104,nan,100,289152.0,774.849900104,83.8926174497,596,0.6,148815.333145,774.849900104,2.81047629937,22.6286,827950.0,148815.333145,,,50000,1.40492e-07,1,9.3214e-06,nan,0.0508708,15992.9
2.16148e+06,1605.49,786.263797462,nan,100,320146.0,786.263797462,85.0340136054,588,0.6,159442.673621,786.263797462,5.78369894151,300.624,3.48061e+08,159442.673621,,,50000,3.43801e-07,1,9.44822e-06,nan,0.0679324,16889.8
1.93514e+06,1637.5,776.186513057,nan,100,314095.0,776.186513057,83.8926174497,596,0.6,158531.25526,776.186513057,3.0998633769,198.657,2.18116e+08,158531.25526,,,50000,4.80221e-07,1,9.3214e-06,nan,0.090801,15997.2
1.1799e+10,1776.68,849.363772138,nan,100,369728.0,849.363772138,91.9117647059,544,0.6,195866.531888,849.363772138,3.90529429209,607836.0,5.8246e+15,195866.531888,,,50000,1.64419e-06,1,1.02124e-05,nan,0.198239,19812.0
1.38144e+14,1994.47,843.915052368,nan,100,407812.0,843.915052368,91.2408759124,548,0.6,178042.895877,843.915052368,2.98695491584,9.43391e+09,1.03626e+24,178042.895877,,,50000,1.19668e-06,1,1.01379e-05,nan,0.148452,21032.1
9.24552e+06,1612.16,863.498281892,nan,100,321591.0,863.498281892,93.2835820896,536,0.6,158473.249661,863.498281892,3.94342912524,540.95,3.59721e+09,158473.249661,,,50000,1.32062e-06,1,1.03648e-05,nan,0.177148,16982.1
8.93375e+11,1663.48,786.517378954,nan,100,351433.0,786.517378954,85.0340136054,588,0.6,157069.531505,786.517378954,3.99983803097,3.41804e+07,3.01636e+19,157069.531505,,,50000,2.30478e-06,1,9.44822e-06,nan,0.246949,22275.7
