J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-89.3154,0.01,85.6545,0.00553689,0.0154161,1.03177,-93.2634507859,9318.07842632,9318.07842632,96.9209046174,127.16,-93.2634507859,0.1,-93.2634507859,96.7329251776,1.03534,3.41156e-06,-216.431,100,1,0.573259,100,1.5961,0.0365697
-85.4932,0.01,85.6458,0.00695132,0.0119694,1.01334,-87.1994964233,8352.57199677,8352.57199677,98.6834339487,119.58,-87.1994964233,0.1,-87.1994964233,98.9134452623,0.999084,1.10958e-06,-211.468,100,1,0.694494,100,1.19584,0.0110755
-69.5741,0.01,49.5089,0.00977133,0.0107017,1.0009,-69.6905886036,2574.58321705,2574.58321705,99.9099946225,99.02,-69.6905886036,0.1,-69.6905886036,99.9560678077,0.991289,4.44046e-08,-194.771,100,1,0.968621,100,1.06085,0.000436343
-79.4731,0.01,73.0416,0.00765648,0.0133187,1.0102,-80.8026732996,6106.59146418,6106.59146418,98.9907872549,112.27,-80.8026732996,0.1,-80.8026732996,99.1161423745,0.993092,9.00742e-07,-205.252,100,1,0.760359,100,1.32267,0.0088834
-73.6893,0.01,60.9491,0.00944376,0.0105088,1.00044,-73.7471195416,3791.35376804,3791.35376804,99.9559000985,104.34,-73.7471195416,0.1,-73.7471195416,99.9579301769,1.00228,4.25112e-08,-198.859,100,1,0.94653,100,1.05327,0.000427054
-74.7734,0.01,64.5993,0.00564519,0.0120475,1.01442,-76.5078925933,5041.31901583,5041.31901583,98.5782863804,107.04,-76.5078925933,0.1,-76.5078925933,98.270617322,0.986279,1.77759e-06,-200.813,100,1,0.556773,100,1.18822,0.0172914
-84.8204,0.01,81.5216,0.00703602,0.010991,1.00749,-85.6991011177,7167.18461399,7167.18461399,99.2565527295,118.36,-85.6991011177,0.1,-85.6991011177,99.3134508116,0.995938,6.98268e-07,-210.429,100,1,0.700745,100,1.09463,0.00692607
-82.9281,0.01,81.4886,0.00600631,0.0117357,1.00824,-83.8719056518,7244.78380405,7244.78380405,99.18274752,115.57,-83.8719056518,0.1,-83.8719056518,99.1473329438,0.997914,8.6872e-07,-208.585,100,1,0.599378,100,1.17112,0.008651
-76.0365,0.01,64.4201,0.00280999,0.0135282,1.01337,-77.7964049973,4972.8942643,4972.8942643,98.680647843,109.09,-77.7964049973,0.1,-77.7964049973,97.7965102828,0.973087,2.27588e-06,-202.011,100,1,0.273437,100,1.31641,0.0215503
-88.8017,0.01,89.1911,0.00952337,0.0125835,1.00263,-89.1400887823,8273.12329464,8273.12329464,99.7381172454,122.1,-89.1400887823,0.1,-89.1400887823,99.6052611952,1.00554,4.00289e-07,-214.109,100,1,0.957615,100,1.26533,0.00404739
-73.418,0.01,60.0756,0.00912367,0.0109936,1.00213,-73.692698258,3808.99884967,3808.99884967,99.7876395058,103.66,-73.692698258,0.1,-73.692698258,99.8274602544,1.00665,1.74584e-07,-198.691,100,1,0.918433,100,1.10667,0.00176913
-69.425,0.01,46.3478,0.00796231,0.0115925,1.00485,-70.029772044,2575.92404709,2575.92404709,99.5171844515,100.37,-70.029772044,0.1,-70.029772044,99.5707872604,1.00597,4.35385e-07,-194.87,100,1,0.800985,100,1.16617,0.00440599
-66.1832,0.01,35.7466,0.00868034,0.010837,1.00174,-66.4018914884,1378.18461658,1378.18461658,99.8258410473,95.18,-66.4018914884,0.1,-66.4018914884,99.8349794604,0.992294,1.66962e-07,-191.435,100,1,0.861345,100,1.07535,0.00164398
-71.8106,0.01,60.0101,0.00926004,0.011202,1.00213,-72.0905973774,3828.26933401,3828.26933401,99.7876276355,101.24,-72.0905973774,0.1,-72.0905973774,99.8659699955,0.995891,1.35562e-07,-197.086,100,1,0.922199,100,1.1156,0.0013445
-68.9573,0.01,49.7425,0.00487191,0.013034,1.01987,-71.4008329764,3835.17112457,3835.17112457,98.0520636488,100.67,-71.4008329764,0.1,-71.4008329764,97.37003919,0.975638,2.72829e-06,-195.334,100,1,0.475322,100,1.27165,0.0259698
