J_sample_variance,MaxD2w0t,Weights,ReturnMeanIW,Iteration,MeanIW,EpisodesSoFar,EpThisIter,InitialReturnMean,InitialReturnMin,InitialBound,ReturnStepMax,StdIW,ReturnStepMaxmin,MeanD2w0t,EpRewMean,InitialReturnStd,StdD2w0t,TimestepsSoFar,Bound,EpLenMean,EmpiricalD2,MinIW,TimeElapsed,MinD2w0t,MaxIW,InitialReturnMax
3.1155682,1.0732876,[-1.046 -1.573 -0.677 -1.007  0.227],6.204063,61,1.0143065,6100,100,2.3841858e-08,-4.914558,-27.215767,100.0,0.15511066,96.5475,0.18256721,-109.85970478878761,1.6422542,0.39078912,339909,-27.151543,89.59,1.0303655,0.6242635,883.6773219108582,,1.6375307,3.7983036
4.131342,1.2440455,[-1.05  -1.58  -0.675 -1.013  0.222],6.5028176,62,1.0060256,6200,100,3.0517577e-07,-3.673067,-26.951939,100.0,0.2631533,96.505844,0.18456945,-109.91712629057375,1.7709099,0.3992838,348723,-26.890703,88.14,1.0942934,0.45968312,903.7936606407166,,2.1718562,3.3440883
2.6327322,1.0419804,[-1.049 -1.576 -0.679 -1.02   0.223],7.9885077,63,0.9983036,6300,100,1.4305115e-07,-3.4909139,-25.383814,100.0,0.10851897,96.07768,0.15366398,-111.42812040763606,1.6167535,0.3622363,356349,-25.354216,76.26,1.0122919,0.6128865,919.781640291214,,1.3316507,3.7580981
2.919095,1.0,[-1.054 -1.576 -0.678 -1.021  0.216],6.329058,64,1.0,6400,100,-4.720688e-07,-4.148823,-27.004278,100.0,,96.46515,0.1725,-109.31539844796502,1.699972,0.37782595,364974,-27.004278,86.25,1.0,1.0,939.410350561142,,1.0,3.80626
4.8704486,1.0484293,[-1.054 -1.576 -0.678 -1.021  0.216],6.640794,65,1.0056808,6500,100,-5.8174135e-07,-16.61842,-26.732487,100.0,0.13649286,96.387375,0.16913636,-109.25993583016155,2.3645,0.37738806,373338,-26.710602,83.64,1.0199937,0.7083846,957.243634223938,,1.5269359,4.4173136
3.29365,1.2036089,[-1.056 -1.578 -0.674 -1.022  0.218],6.744906,66,1.012127,6600,100,-1.0108947e-06,-4.9903965,-26.664234,100.0,0.24189502,96.42552,0.17529619,-108.60433184009992,1.7365451,0.3893083,381775,-26.623884,84.37,1.0618846,0.4702177,977.7230987548828,,2.432037,4.5177927
4.3411555,1.0,[-1.055 -1.579 -0.676 -1.012  0.214],4.2123017,67,1.0,6700,100,-3.1471254e-07,-11.929722,-29.121035,100.0,,96.87393,0.20462,-108.75893263637604,2.0731,0.40342444,392006,-29.121035,102.31,1.0,1.0,999.9853241443634,,1.0,4.5622864
2.6096132,1.0818688,[-1.055 -1.579 -0.676 -1.012  0.214],5.76629,68,1.0346123,6800,100,7.152558e-08,-3.5534315,-27.621574,100.0,0.18377015,96.56218,0.18250218,-109.36057046377553,1.6187238,0.39031446,400978,-27.593904,89.72,1.0320444,0.6963818,1019.0139527320862,,1.9835656,4.2572236
3.445257,1.2135054,[-1.056 -1.58  -0.671 -1.011  0.213],6.467455,69,1.0050945,6900,100,1.9550323e-07,-5.449507,-26.994226,100.0,0.29636672,96.5447,0.18582496,-108.41380448753758,1.767275,0.4015843,409809,-26.931787,88.31,1.0899006,0.36841872,1037.690378189087,,2.174423,4.038974
3.2269917,1.0,[-1.057 -1.582 -0.672 -1.003  0.198],6.4532504,70,1.0,7000,100,5.38826e-07,-6.270437,-26.880085,100.0,,96.53661,0.17758,-109.36206665336854,1.7873785,0.3821675,418688,-26.880085,88.79,1.0,1.0,1056.5793466567993,,1.0,3.8437417
2.8392458,1.1420552,[-1.057 -1.582 -0.672 -1.003  0.198],5.617068,71,1.0227937,7100,100,-2.479553e-07,-3.5279074,-27.793344,100.0,0.21793637,96.6418,0.1938275,-110.30456956368954,1.5899038,0.40419814,428043,-27.75591,93.55,1.0554616,0.56820333,1076.5244903564453,,1.9193633,3.7837644
3.143577,1.0,[-1.054 -1.58  -0.68  -0.998  0.198],6.185286,72,1.0,7200,100,2.9325486e-07,-4.3844914,-27.14805,100.0,,96.513275,0.17844,-110.93262803677965,1.7641262,0.38289157,436965,-27.14805,89.22,1.0,1.0,1095.2906966209412,,1.0,3.738093
2.837093,1.0,[-1.054 -1.58  -0.68  -0.998  0.198],6.154411,73,1.0,7300,100,4.7683717e-08,-4.972226,-27.178925,100.0,,96.554756,0.17774,-108.6544705776045,1.6759244,0.38230184,445852,-27.178925,88.87,1.0,1.0,1114.6847574710846,,1.0,3.4169655
3.1228342,1.8779527,[-1.054 -1.58  -0.68  -0.998  0.198],4.9332113,74,1.1107897,7400,100,3.33786e-08,-3.4518962,-28.58497,100.0,0.5307598,96.79259,0.22354284,-111.23153113090885,1.5067624,0.44743988,455930,-28.50177,100.78,1.2050209,0.29039037,1135.8759415149689,,3.5198455,4.1836987
2.9231207,1.0000076,[-1.056 -1.586 -0.673 -0.989  0.199],5.062282,75,0.9999998,7500,100,8.535385e-07,-3.0600605,-28.271057,100.0,2.0637473e-05,96.76759,0.20214002,-112.81437512626118,1.7011393,0.40158653,466037,-28.271053,101.07,1.000003,0.999905,1158.054430961609,,1.0000389,3.8620882
3.244672,1.0,[-1.056 -1.586 -0.673 -0.989  0.199],5.6591277,76,0.9999977,7600,100,7.6293944e-08,-6.4165907,-27.674215,100.0,6.80937e-05,96.62244,0.18894,-112.30428491890457,1.792235,0.3914689,475484,-27.674208,94.47,1.0,0.9997709,1178.3865180015564,,1.0001396,3.5417309
