ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
1.0902666,607693,59,157.5,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-8.960112,1.0,-2.9885507,0.46452573,2.7881863,100.0,97.52557,1.0,-116.11057685644948,0.315,-8.960112,1.0,5.483627e-07,3.5013256,,1.6614163,1.0,,1346.475063085556,100,5900
1.6369109,622205,60,145.12,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-8.413467,1.0,-2.9974856,0.45387125,2.4273725,100.0,97.352165,1.0,-119.56740976376219,0.29024,-8.413467,1.0,4.7683715e-09,3.2561045,,1.5501932,1.0,,1375.6546721458435,100,6000
0.76329076,637985,61,157.8,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.287087,1.0,-2.6081586,0.4647549,2.5353675,100.0,97.5024,1.0,-118.1605029209855,0.3156,-9.287087,1.0,-2.6226044e-07,3.447702,,1.5843023,1.0,,1407.2491252422333,100,6100
0.7845102,654102,62,161.17,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.265867,1.0,-4.0566983,0.4673652,2.5879257,100.0,97.56529,1.0,-115.61531791207594,0.32234,-9.265867,1.0,-5.2928925e-07,3.7164965,,1.6006395,1.0,,1439.2101411819458,100,6200
0.8871207,669576,63,154.74,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.163258,1.0,-2.9217644,0.46227935,3.3152943,100.0,97.460175,1.0,-119.13586651263702,0.30948,-9.163258,1.0,-2.5272368e-07,4.5464306,,1.8116682,1.0,,1471.5575411319733,100,6300
0.35572654,686013,64,164.37,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.694652,1.0,-2.9639182,0.46974674,2.7720075,100.0,97.596375,1.0,-115.35703662466435,0.32874,-9.694652,1.0,-2.813339e-07,3.9345427,,1.6565892,1.0,,1506.0745341777802,100,6400
0.967262,701799,65,157.86,[-0.63  -0.662 -0.374 -0.332 -0.425],1.0,-9.083116,1.0,-3.1807108,0.46481386,2.5668242,100.0,97.51845,1.0,-116.93946252144671,0.31572,-9.083116,1.0,5.2928925e-07,3.5988445,,1.5941004,1.0,,1538.3538928031921,100,6500
1.3423986,717959,66,161.6,[-0.63  -0.662 -0.374 -0.332 -0.425],6442.5312,-9.414435,219818.22,-3.202671,6948.7134,11.500821,100.0,97.582306,23.049412,-114.54937951220087,561.585,-9.073157,0.8738524,-3.33786e-08,4.2957697,1.5454456,1.650223,4.691907e-06,,1569.8995752334595,100,6600
3.812397,729028,67,110.69,[-0.633 -0.65  -0.375 -0.355 -0.424],1.0,-6.237981,1.0,-3.1597629,0.41517627,2.7500253,100.0,96.93798,1.0,-114.12275121031378,0.22138,-6.237981,1.0,1.7642975e-07,3.901114,,1.6500077,1.0,,1592.4046828746796,100,6700
2.633075,741240,68,122.12,[-0.633 -0.65  -0.375 -0.355 -0.424],1.0,-7.417303,1.0,-2.9650326,0.42962998,2.6420927,100.0,97.08569,1.0,-116.88757800970025,0.24424,-7.417303,1.0,7.390976e-08,3.9508433,,1.617304,1.0,,1620.131582736969,100,6800
