IterType,MinVanillaIw,Bound,BatchSize,ESSClassic,AvgVanillaIw,VanillaAvgRet,J,ESSRenyi,VarDiscRet,AvgNormIw,MaxNormIw,AvgDiscRet,MinNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,Delta,eRenyi2,AvgEpLen,AvgRet,VarJ,VarNormIw,VarRet
2,1.0,3872.6545,500,100.0,1.0,3872.6548149672367,3872.6545,500.0,427078.96532021847,0.009999998,0.01,3872.6548149672367,0.01,1.0,100,,1.0,1.0,388.14,3872.6548149672367,650.237,3.5044917e-18,427078.96532021847
2,1.0,3886.0527,500,200.00000010221265,1.0,3899.450849634266,3886.0527,500.0,555318.4173804782,0.0049999994,0.005,3899.450849634266,0.005,1.0,100,,1.0,1.0,390.79,3899.450849634266,697.4713,2.179301e-19,555318.4173804782
2,1.0,3856.0847,500,299.999969473632,1.0,3796.1481350264803,3856.0847,500.0,458735.5987901934,0.0033333336,0.0033333334,3796.1481350264803,0.0033333334,1.0,100,,1.0,1.0,380.51,3796.1481350264803,691.0063,5.4391416e-20,458735.5987901934
2,1.0,3891.028,500,400.0,1.0,3995.8591462135623,3891.028,500.0,748469.107451404,0.0024999997,0.0025,3995.8591462135623,0.0025,1.0,100,,1.0,1.0,400.33,3995.8591462135623,739.6124,5.434597e-20,748469.107451404
1,0.21201184,4024.3975,500,122.00667797536683,0.9868563,3898.354700382782,4024.3975,,495279.8361200646,0.002,0.067811556,3898.354700382782,0.00042967117,33.46013,100,3.0232766,1.0,inf,390.66,3898.354700382782,1781.2332,1.2417382e-05,495279.8361200646
2,1.0,3652.7422,500,100.0,1.0,3652.7423495259636,3652.7422,500.0,555289.4287955164,0.009999998,0.01,3652.7423495259636,0.01,1.0,100,,1.0,1.0,366.18,3652.7423495259636,741.4422,3.5044917e-18,555289.4287955164
2,1.0,3775.549,500,200.00000010221265,1.0,3898.356007073112,3775.549,500.0,679089.8948057714,0.0049999994,0.005,3898.356007073112,0.005,1.0,100,,1.0,1.0,390.64,3898.356007073112,791.26434,2.179301e-19,679089.8948057714
2,1.0,3797.6497,500,299.999969473632,1.0,3841.8503282016104,3797.6497,500.0,752524.9687074164,0.0033333336,0.0033333334,3841.8503282016104,0.0033333334,1.0,100,,1.0,1.0,384.96,3841.8503282016104,816.5229,5.4391416e-20,752524.9687074164
2,1.0,3786.0242,500,400.0,1.0,3751.1474343622167,3786.0242,500.0,417600.3248719422,0.0024999997,0.0025,3751.1474343622167,0.0025,1.0,100,,1.0,1.0,376.03,3751.1474343622167,777.0416,5.434597e-20,417600.3248719422
1,0.00016463171,3979.4077,500,98.88119298961696,1.0552049,3960.35558676234,3979.4077,,556977.4281659366,0.002,0.057211135,3960.35558676234,3.1203746e-07,30.184732,100,4.5258727,1.0,inf,396.84,3960.35558676234,1405.7189,1.625881e-05,556977.4281659366
