ReturnMeanIW,Weights,EpisodesSoFar,J_sample_variance,MinIW,TimestepsSoFar,InitialReturnMin,InitialReturnMean,InitialReturnStd,StdIW,InitialBound,Bound,EmpiricalD2,EpRewMean,TimeElapsed,InitialReturnMax,Iteration,MeanIW,EpLenMean,EpThisIter,MaxIW
101.69257,[-0.345 -1.918 -3.011 -1.766 -1.5  ],8900,416196.8,4.917747e-06,209277,-13.452246,-1.2779236e-06,6.891188,37.502747,37.076645,101.69257,108377.1,-107.97628875708007,798.4877486228943,19.086227,89,4.3899035,17.53,100,956.76227
59.180576,[-0.329 -1.905 -3.014 -1.731 -1.509],9000,23298.969,7.1600443e-06,211017,-19.112885,4.005432e-07,6.121974,4.6032424,37.77995,59.180576,212529.45,-107.72240480426963,806.1690645217896,19.12787,90,0.93362594,17.4,100,281.6744
41.182724,[-0.312 -1.887 -3.012 -1.763 -1.504],9100,1188.5787,4.975597e-08,212734,-14.971853,1.0490418e-06,7.085699,1.0091264,37.49366,41.182724,850271.25,-107.40801044261512,813.4477610588074,19.037252,91,0.32290223,17.17,100,31.0647
39.09049,[-0.399 -1.879 -3.006 -1.736 -1.533],9200,1622.6368,0.0001629833,214569,-16.058666,3.8433077e-06,6.8949275,1.5249201,35.62991,39.09049,8426.558,-107.69677555788402,821.0236284732819,17.252914,92,1.0207081,18.35,100,29.555393
46.42723,[-0.404 -1.863 -2.98  -1.762 -1.526],9300,10645.897,5.642089e-07,216312,-13.98387,-3.0517577e-07,6.263125,5.565702,37.633648,46.42723,577323.1,-108.08438740400169,827.1841261386871,18.031101,93,1.1251086,17.43,100,85.41177
97.54829,[-0.412 -1.861 -3.003 -1.793 -1.526],9400,462206.03,4.737534e-12,218104,-14.687639,-1.8882752e-06,6.311061,4.7832828,36.721504,97.54829,509701820000000.0,-107.9007844770774,835.1465356349945,17.607157,94,0.70451736,17.92,100,616.4216
43.54889,[-0.33  -1.864 -2.937 -1.838 -1.538],9500,2532.462,2.5200841e-10,219884,-14.645655,-4.1007996e-07,6.501559,1.0973974,36.707363,43.54889,1.3742393e+16,-107.74736340456332,843.177031993866,19.486162,95,0.26604745,17.8,100,45.711212
41.400764,[-0.326 -1.827 -2.961 -1.799 -1.51 ],9600,5413.571,1.7966698e-09,221648,-12.54528,-1.2397766e-06,6.0400887,4.523589,37.235676,41.400764,3.795089e+16,-107.72385188334218,850.0576558113098,18.584358,96,0.93465734,17.64,100,74.04208
44.069073,[-0.322 -1.803 -2.933 -1.856 -1.512],9700,3319.8267,3.8825863e-17,223391,-11.759958,5.626678e-07,5.673757,0.58154047,37.769157,44.069073,1.8975458e+34,-107.53971257608573,857.4659433364868,18.796469,97,0.05309439,17.43,100,77.726974
45.577778,[-0.424 -1.81  -2.908 -1.884 -1.51 ],9800,6378.1426,3.9548906e-10,225201,-13.484322,2.155304e-06,5.7913933,1.9112283,36.620193,45.577778,7.850607e+17,-107.94289149578634,865.6654818058014,19.273888,98,0.21424773,18.1,100,217.9463
429.17932,[-0.387 -1.773 -2.932 -1.864 -1.49 ],9900,13667047.0,,227015,-15.908928,1.0871887e-06,6.5708456,52.291626,36.139656,429.17932,inf,-107.9371783558836,873.2539622783661,18.23526,99,4.925834,18.14,100,3360.5908
