MaxIW,MeanD2w0t,MeanIW,EpisodesSoFar,Bound,EpRewMean,InitialBound,EmpiricalD2,MinIW,StdD2w0t,TimestepsSoFar,StdIW,EpLenMean,InitialReturnStd,Iteration,InitialReturnMax,Weights,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnMin,ReturnStepMax,ReturnMeanIW,TimeElapsed,J_sample_variance,ReturnStepMaxmin,InitialReturnMean
1.0,0.20844,1.0,6600,-40.144318,-123.64562559521391,-40.144318,1.0,1.0,0.40620157,459880,,104.22,1.732629,66,-2.6403563,[-0.615 -0.766 -0.438 -0.323 -0.095],1.0,,100,-9.668414,100.0,-6.8109837,1076.9788477420807,3.0323257,99.00003,-6.8109837
1.0,0.20342,1.0,6700,-40.065174,-122.69911528280534,-40.065174,1.0,1.0,0.40254262,470051,,101.71,1.5252104,67,-3.125249,[-0.615 -0.766 -0.438 -0.323 -0.095],1.0,,100,-9.57397,100.0,-6.7318377,1097.9163372516632,2.3497643,99.00021,-6.7318377
1.0,0.19978,1.0,6800,-39.975056,-121.02647266518593,-39.975056,1.0,1.0,0.39984253,480040,,99.89,1.684833,68,-2.0875168,[-0.615 -0.766 -0.438 -0.323 -0.095],1.0,,100,-9.3375,100.0,-6.6417212,1118.7416336536407,2.867336,99.000244,-6.6417212
1.2032986,0.1968066,0.99487966,6900,-40.046898,-120.74377217710183,-40.05805,1.0070761,0.7149557,0.39868927,489837,0.08435532,97.97,1.7136707,69,-3.1378856,[-0.615 -0.766 -0.438 -0.323 -0.095],1.014119,,100,-9.666031,100.0,-6.7020626,1138.600548505783,2.9366488,99.0,-6.724714
1.849921,0.18461293,0.98185164,7000,-40.339912,-122.11933266546428,-40.354324,1.0216688,0.6443198,0.39055258,498969,0.15989564,91.32,1.5414814,70,-3.4909053,[-0.618 -0.767 -0.441 -0.325 -0.092],1.0507807,,100,-9.629681,100.0,-6.993231,1158.7303187847137,2.4491048,99.00001,-7.0209875
1.0,0.20788,1.0,7100,-40.205315,-124.0544832089984,-40.205315,1.0,1.0,0.40578705,509363,,103.94,1.716977,71,-2.189208,[-0.618 -0.768 -0.439 -0.322 -0.094],1.0,,100,-10.091107,100.0,-6.871979,1181.8602862358093,2.9777882,99.000206,-6.871979
1.5888171,0.21124035,0.990245,7200,-40.09289,-123.3521332287914,-40.140778,1.0526209,0.42418772,0.41590926,519622,0.2264559,102.59,1.557669,72,-3.446462,[-0.618 -0.768 -0.439 -0.322 -0.094],1.1513207,,100,-9.666443,100.0,-6.718639,1203.7258200645447,2.4282138,99.00001,-6.8074408
1.4229195,0.17569003,1.0105878,7300,-40.29369,-121.29693198088887,-40.307213,1.0127839,0.68154514,0.38237694,528338,0.1012953,87.16,1.595407,73,-2.671682,[-0.619 -0.767 -0.444 -0.325 -0.094],1.0352769,,100,-10.233963,100.0,-6.946861,1222.726244688034,2.565689,99.00001,-6.973875
1.8770375,0.19922309,0.9470163,7400,-40.07277,-121.29165957658297,-40.11469,1.0653033,0.4748799,0.40953404,537915,0.22566858,95.77,1.5817415,74,-2.9554737,[-0.62  -0.765 -0.447 -0.324 -0.093],1.1603531,,100,-9.995453,100.0,-6.6990557,1243.8939728736877,2.3265078,99.00001,-6.781354
1.7428762,0.18053672,0.97740346,7500,-40.24143,-122.49740746792828,-40.267067,1.0282177,0.6181703,0.38840148,546800,0.16211985,88.85,1.5594398,75,-2.8158011,[-0.622 -0.763 -0.449 -0.317 -0.104],1.0863526,,100,-9.533602,100.0,-6.882481,1262.6945457458496,2.527666,99.000046,-6.9337296
1.0,0.19316,1.0,7600,-40.265717,-122.92432021174045,-40.265717,1.0,1.0,0.39477223,556458,,96.58,1.7535993,76,-2.4768796,[-0.622 -0.765 -0.445 -0.316 -0.104],1.0,,100,-9.956895,100.0,-6.932382,1284.3952777385712,3.1061718,99.00002,-6.932382
1.5319464,0.18463996,0.9840434,7700,-40.24859,-123.65132854614195,-40.26781,1.0229074,0.72449094,0.39097774,565577,0.14100614,91.19,1.7109553,77,-2.465643,[-0.622 -0.765 -0.445 -0.316 -0.104],1.0644921,,100,-10.090078,100.0,-6.8986344,1303.0431809425354,2.9783275,99.0,-6.934475
1.0,0.19534,1.0,7800,-40.102047,-122.14096296787251,-40.102047,1.0,1.0,0.39645368,575344,,97.67,1.5538204,78,-2.992929,[-0.623 -0.765 -0.442 -0.316 -0.105],1.0,,100,-9.697304,100.0,-6.76871,1324.4467415809631,2.4387453,99.00001,-6.76871
1.0,0.19656,1.0,7900,-40.275352,-124.6382714523882,-40.275352,1.0,1.0,0.39739493,585172,,98.28,1.6898831,79,-2.7315793,[-0.623 -0.765 -0.442 -0.316 -0.105],1.0,,100,-10.000873,100.0,-6.9420156,1343.3850293159485,2.8845506,99.0,-6.942016
1.0,0.22198,1.0,8000,-40.561375,-124.89084067344166,-40.561375,1.0,1.0,0.41556996,596271,,110.99,1.4855361,80,-3.5296893,[-0.623 -0.765 -0.442 -0.316 -0.105],1.0,,100,-9.844069,100.0,-7.22804,1365.7494769096375,2.2291083,99.00001,-7.22804
1.5377032,0.22627153,0.9292535,8100,-40.276375,-127.17562699211169,-40.327118,1.0753314,0.31032816,0.4296003,607139,0.222665,108.68,1.6904044,81,-2.9963224,[-0.623 -0.765 -0.442 -0.316 -0.105],1.1872559,,100,-10.163615,100.0,-6.892565,1387.5817880630493,2.6320746,99.00006,-6.9937806
