EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,Iteration,Weights,InitialReturnStd,InitialReturnMax,TimeElapsed,MaxIW,EpThisIter,Bound,EpRewMean,J_sample_variance,InitialReturnMin,MeanIW,MinIW,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,InitialBound
inf,25.049679,62.16,2.9318156,89,[-2.82  -0.577  2.228 -0.207 -2.016],4.342838,7.055673,1448.3487255573273,321.9625,100,25.049679,-139.41942798777515,10301.849,-7.036807,0.09447141,7.918052e-30,-7.6293944e-08,547102,8900,11.841515
inf,47.34684,51.63,42.22458,90,[-2.8   -0.542  2.231 -0.184 -2.015],4.667046,7.9580016,1461.2289719581604,9234.705,100,47.34684,-131.75203697936567,109771.805,-7.32953,0.28610268,,2.1457672e-07,552265,9000,14.347124
inf,7.3807983,137.12,1.1425632,91,[-2.815 -0.539  2.19  -0.174 -1.999],4.5766478,6.3748283,1491.540589094162,111.797806,100,7.3807983,-197.5246645782416,328.97162,-9.2379,0.07109914,,7.4386594e-07,565977,9100,4.6302037
inf,15.854082,120.68,3.139934,92,[-2.834 -0.543  2.17  -0.174 -1.991],4.13433,7.1099215,1518.5477545261383,409.59082,100,15.854082,-187.06069734203308,4243.5967,-6.7211676,0.0749024,,-1.1920929e-06,578045,9200,4.854766
inf,14.89371,93.41,3.4565828,93,[-2.832 -0.526  2.218 -0.143 -1.972],4.473233,6.9665055,1539.4631564617157,322.85956,100,14.89371,-164.94131010640817,6140.927,-8.1246395,0.2548383,8.320334e-29,-1.9073487e-07,587386,9300,7.1231623
3.0452893e+21,8.965989,139.26,10.316591,94,[-2.827 -0.523  2.196 -0.115 -1.971],4.656702,7.04189,1567.807333946228,1398.3159,100,8.965989,-200.5287831867195,471.92117,-8.640256,0.2679433,1.9035517e-17,4.6253206e-07,601312,9400,3.9116216
inf,13.01428,159.42,5.5872917,95,[-2.814 -0.51   2.198 -0.085 -1.974],4.669081,6.7452197,1600.7531473636627,657.33954,100,13.01428,-216.34864447031757,7570.7544,-9.445483,0.10436896,,-1.9073487e-07,617254,9500,3.5573337
inf,6.008121,215.36,1.2750949,96,[-2.845 -0.55   2.17  -0.12  -1.973],4.2069235,6.4285135,1644.1088871955872,120.099495,100,6.008121,-260.77039656879117,63.47389,-6.8563128,0.08532004,,1.1062622e-06,638790,9600,2.5792532
3.4438454e+22,1526.245,176.67,4288.4565,97,[-2.877 -0.562  2.163 -0.134 -1.979],4.1047287,6.952,1681.7851223945618,869637.56,100,1526.245,-231.32504359450616,232410500.0,-6.7600574,46.30411,1.5118985e-19,-2.3841858e-07,656457,9700,2.997047
12670431.0,4.993247,288.93,2.7980378,98,[-2.867 -0.558  2.145 -0.105 -1.984],3.836763,5.5958996,1740.0973975658417,103.54196,100,4.993247,-319.81191920482456,306.7371,-8.410848,0.6665271,1.0020696e-06,-7.6293946e-07,685350,9800,2.1323333
216027200000000.0,6.0562263,210.92,2.7860813,99,[-2.851 -0.533  2.136 -0.111 -1.991],4.2963605,5.745542,1783.1682193279266,37.725647,100,6.0562263,-254.95070496295946,73.19853,-8.402906,0.56762195,4.0104323e-11,-1.4305115e-07,706442,9900,3.1332033
inf,24.524164,195.74,7.726198,100,[-2.841 -0.504  2.129 -0.102 -1.992],4.3096666,6.536605,1825.640290260315,803.18787,100,24.524164,-245.15334576379337,48187.305,-7.5861263,0.17159007,,9.536743e-08,726016,10000,2.6985614
