EmpiricalD2,EpThisIter,EpRewMean,InitialReturnMax,TimeElapsed,Iteration,Bound,Weights,InitialReturnMean,InitialBound,InitialReturnStd,TimestepsSoFar,EpisodesSoFar,ReturnMeanIW,InitialReturnMin,EpLenMean,J_sample_variance
1.0544839,100,-153.56028534320146,7.437744,543.7992517948151,109,-99.06854,[ 0.395 -0.588  0.155  0.3   -0.031],-8.621216e-06,-99.8227,2.0263572,537591,10900,1.4671462,-2.4758682,57.78,68.16814
1.0077171,100,-150.27779211307208,8.152687,549.4359378814697,110,-98.734344,[ 0.38  -0.591  0.153  0.302 -0.029],-5.8746336e-06,-98.90712,2.1793964,543031,11000,0.30832264,-2.3058395,54.4,9.205341
1.0346247,100,-151.97196515163924,6.459099,554.6197247505188,111,-97.588486,[ 0.375 -0.595  0.153  0.302 -0.027],7.781982e-06,-98.04394,1.8823217,548632,11100,0.9400957,-2.3040924,56.01,36.08752
1.0232891,100,-159.44707822573406,7.8007965,560.3120846748352,112,-99.37098,[ 0.364 -0.597  0.15   0.304 -0.026],1.3732911e-06,-99.65023,2.1130457,554967,11200,0.56783015,-2.1463852,63.35,25.470263
1.011373,100,-155.60417021954729,5.45343,565.4208815097809,113,-98.90582,[ 0.355 -0.6    0.148  0.304 -0.025],-7.171631e-06,-99.086136,2.0242004,560914,11300,0.37719172,-2.2122345,59.47,12.903671
1.0053687,100,-156.42007020138513,7.3793716,570.1122310161591,114,-98.473274,[ 0.35  -0.603  0.147  0.3   -0.022],2.5939942e-06,-98.63689,2.6575553,567039,11400,0.30409575,-2.9451523,61.25,9.917745
1.0234784,100,-158.00644918779963,7.1860275,576.5217833518982,115,-99.03103,[ 0.354 -0.604  0.149  0.303 -0.026],2.2888185e-06,-99.38042,2.154023,573241,11500,0.77881956,-2.1182175,62.02,28.859976
1.0098166,100,-160.51676230381315,7.9585266,583.0789670944214,116,-99.152054,[ 0.348 -0.605  0.145  0.299 -0.022],2.4414062e-06,-99.37031,2.2424135,579772,11600,0.428729,-2.8139343,65.31,16.325315
1.0272076,100,-157.77042518286808,6.185402,589.3922047615051,117,-99.20365,[ 0.34  -0.603  0.144  0.301 -0.017],3.5858154e-06,-99.69577,2.0729682,585994,11700,1.004994,-2.670021,62.22,54.995583
1.048655,100,-152.81796088331797,6.268379,595.5092725753784,118,-97.24713,[ 0.341 -0.589  0.144  0.298 -0.013],-1.1138916e-05,-98.04386,2.1315436,591677,11800,1.5396593,-2.2464447,56.83,47.300716
