InitialReturnMax,EpLenMean,TimeElapsed,ReturnMeanIW,J_sample_variance,InitialReturnStd,EpThisIter,EpisodesSoFar,EmpiricalD2,InitialReturnMin,InitialBound,Weights,EpRewMean,TimestepsSoFar,Bound,InitialReturnMean,Iteration
6.5568466,40.99,254.03023862838745,0.103707284,3.4716864,1.6274211,100,6000,1.000713,-1.945282,-312.5957,[ 0.602 -0.544  0.228  0.394 -0.003],-137.35934360269508,256975,-312.5445,1.9836425e-06,60
5.092926,39.67,258.2102720737457,0.0105845425,3.1183577,1.7672008,100,6100,1.0000473,-1.940445,-316.7383,[ 0.606 -0.545  0.229  0.393 -0.003],-135.91431375162,260942,-316.73282,9.155273e-07,61
5.9939804,38.91,262.12345147132874,0.020303044,3.1342385,1.7537049,100,6200,1.0001857,-2.3134308,-306.19012,[ 0.606 -0.545  0.229  0.393 -0.004],-135.06756713917434,264833,-306.17908,-5.4931643e-06,62
5.174492,40.2,265.1135473251343,0.03313457,3.3039238,1.7960389,100,6300,1.0001928,-2.1163635,-309.63644,[ 0.605 -0.545  0.229  0.393 -0.004],-136.46552538291542,268853,-309.61722,-3.6621093e-06,63
7.805397,41.98,269.0167908668518,0.05408885,4.512175,2.0535045,100,6400,1.0004958,-2.0628433,-329.43304,[ 0.604 -0.546  0.229  0.393 -0.004],-138.07867754914895,273051,-329.40353,8.544922e-06,64
5.3087006,45.05,272.72450518608093,0.03019145,3.2061317,1.7239316,100,6500,1.000057,-2.070984,-321.6759,[ 0.603 -0.546  0.228  0.393 -0.004],-141.05893075216485,277556,-321.6565,5.340576e-07,65
5.9918137,40.43,276.31001448631287,0.035342563,2.3975096,1.5408826,100,6600,1.0001094,-2.0013504,-323.93466,[ 0.602 -0.546  0.228  0.392 -0.005],-136.84733898323464,281599,-323.9147,-1.6021728e-06,66
4.5444107,41.46,280.6587269306183,0.014394722,2.7141106,1.631362,100,6700,1.0000339,-2.0824509,-318.9665,[ 0.602 -0.545  0.228  0.392 -0.005],-137.59433093418374,285745,-318.95813,7.781982e-06,67
5.694313,39.94,284.42369270324707,0.05336745,2.9436898,1.6513944,100,6800,1.0003314,-2.0370483,-318.70813,[ 0.602 -0.545  0.229  0.392 -0.005],-136.05913209370257,289739,-318.67847,-4.8828124e-06,68
6.859703,37.47,288.1709289550781,0.03261177,3.782471,1.8298453,100,6900,1.0002898,-1.8836212,-310.08716,[ 0.603 -0.545  0.229  0.392 -0.004],-133.75097046915496,293486,-310.07104,4.348755e-06,69
6.199585,42.85,291.27278757095337,0.036976855,3.3053935,1.8063561,100,7000,1.0001497,-2.12294,-317.6186,[ 0.602 -0.546  0.229  0.392 -0.004],-139.0197024406764,297771,-317.6002,2.9754638e-06,70
6.1059723,40.75,294.7288906574249,0.028764915,4.051208,1.8653061,100,7100,1.0002522,-2.234253,-326.88022,[ 0.602 -0.546  0.229  0.392 -0.003],-136.9201752298564,301846,-326.86346,6.1035157e-06,71
4.799782,42.75,298.5007507801056,0.07544097,2.610939,1.5175654,100,7200,1.0002313,-1.9310303,-322.43753,[ 0.601 -0.546  0.229  0.392 -0.003],-139.09630143307697,306121,-322.39734,1.2207031e-06,72
5.2836304,39.5,301.85928201675415,0.04283527,3.2358365,1.7599249,100,7300,1.0000894,-2.0662003,-329.73422,[ 0.602 -0.546  0.228  0.392 -0.004],-135.69861910009712,310071,-329.70877,-3.967285e-06,73
5.478752,40.91,305.5908741950989,0.017279368,2.5640543,1.590173,100,7400,1.0001514,-2.0993042,-318.96646,[ 0.602 -0.546  0.228  0.391 -0.003],-137.16511836890902,314162,-318.95587,6.5612794e-06,74
5.720459,39.33,309.560919046402,0.07515121,3.4836197,1.7440101,100,7500,1.0004089,-1.8658142,-313.73334,[ 0.601 -0.546  0.228  0.391 -0.003],-135.6604506113474,318095,-313.68964,-1.04522705e-05,75
4.5081863,43.97,313.6951816082001,0.054520033,2.0125487,1.4120877,100,7600,1.0001559,-1.8883896,-319.46695,[ 0.602 -0.545  0.228  0.39  -0.004],-140.38437163787367,322492,-319.4353,6.1798096e-06,76
4.187477,39.1,317.735036611557,0.086366706,2.9402688,1.6200789,100,7700,1.0005617,-2.106926,-320.40683,[ 0.604 -0.546  0.228  0.39  -0.005],-135.18477354595453,326402,-320.36157,-4.348755e-06,77
4.5495377,42.57,321.55430817604065,0.27933878,4.0794783,1.7483248,100,7800,1.0031123,-2.276619,-316.73825,[ 0.605 -0.545  0.228  0.39  -0.006],-138.66207022858762,330659,-316.5891,6.6375733e-06,78
6.410248,40.38,326.67789030075073,0.26254383,3.3300936,1.634218,100,7900,1.0026377,-2.0019226,-313.3623,[ 0.601 -0.547  0.227  0.389 -0.005],-136.6174153540264,334697,-313.22296,-8.010864e-06,79
7.0690155,40.38,331.24503564834595,0.030352073,2.9677472,1.7009939,100,8000,1.0000753,-1.9997559,-320.17926,[ 0.604 -0.545  0.228  0.389 -0.006],-136.55949540419874,338735,-320.16095,2.1362305e-06,80
5.704262,43.72,337.15672063827515,0.0015341854,2.7316265,1.6508679,100,8100,1.0000039,-1.9221725,-325.99118,[ 0.605 -0.545  0.228  0.388 -0.005],-139.9754446987059,343107,-325.99036,2.7465821e-06,81
6.438156,41.43,340.4020435810089,0.1119729,3.9518812,1.8136315,100,8200,1.0007728,-1.9795074,-318.70816,[ 0.605 -0.545  0.228  0.388 -0.005],-137.67596372913778,347250,-318.64545,-1.487732e-05,82
5.215912,46.47,344.8546054363251,0.0580111,2.954431,1.6075022,100,8300,1.0002292,-2.0947037,-319.70935,[ 0.606 -0.544  0.228  0.387 -0.005],-142.59060419611671,351897,-319.68027,-9.689331e-06,83
8.079773,46.0,348.91140627861023,0.032242443,3.2935991,1.780873,100,8400,1.0001154,-2.0264587,-316.1196,[ 0.606 -0.545  0.228  0.388 -0.006],-142.1490822535714,356497,-316.10178,3.967285e-06,84
5.1984787,46.77,353.24924969673157,0.05886679,2.9646902,1.6028423,100,8500,1.0004145,-2.1619263,-329.9057,[ 0.606 -0.545  0.228  0.388 -0.005],-142.85352678217632,361174,-329.87512,4.7302246e-06,85
5.7779694,42.61,357.5710463523865,0.027816074,3.5150442,1.8450272,100,8600,1.0000875,-2.3746643,-322.96814,[ 0.603 -0.545  0.228  0.387 -0.004],-138.51819477020908,365435,-322.95227,1.9073486e-06,86
5.0013504,44.61,361.6112186908722,0.012858027,3.5031798,1.8337106,100,8700,1.0000919,-2.112709,-313.73352,[ 0.603 -0.545  0.228  0.388 -0.005],-140.6007018904497,369896,-313.72568,6.866455e-06,87
4.468422,41.25,364.98832654953003,0.2513105,3.632596,1.7126098,100,8800,1.0021363,-2.213066,-316.43243,[ 0.603 -0.545  0.228  0.387 -0.005],-137.3016030613097,374021,-316.29474,-1.6021728e-06,88
5.5503693,42.96,370.17020869255066,0.009751329,3.5007985,1.8601276,100,8900,1.0000459,-2.2219086,-314.79996,[ 0.609 -0.547  0.228  0.387 -0.005],-138.89109667120104,378317,-314.79346,3.2806397e-06,89
6.124176,41.33,373.638037443161,0.13319409,3.5438874,1.7899415,100,9000,1.0008361,-2.0591125,-310.52835,[ 0.609 -0.546  0.229  0.387 -0.005],-137.51464425549904,382450,-310.45554,-8.621216e-06,90
5.737274,38.54,378.0359752178192,0.09867277,3.1774862,1.7474725,100,9100,1.0009336,-2.034233,-310.52817,[ 0.61  -0.545  0.229  0.387 -0.003],-134.81731445892328,386304,-310.47394,-2.2888183e-07,91
5.3661194,48.58,382.8925120830536,0.29818648,5.7300754,1.6029063,100,9200,1.0039941,-2.0411682,-324.2307,[ 0.609 -0.546  0.228  0.386 -0.004],-144.82732867139433,391162,-324.07758,1.4495849e-06,92
5.830612,41.56,388.0901255607605,0.15088797,3.2154942,1.6362017,100,9300,1.0014386,-2.050682,-321.6759,[ 0.612 -0.544  0.229  0.387 -0.004],-137.77021797312216,395318,-321.59753,-6.866455e-06,93
5.985054,41.25,392.478319644928,0.05556398,3.2494495,1.716357,100,9400,1.0001613,-1.9026718,-325.29895,[ 0.611 -0.546  0.229  0.387 -0.004],-137.6044279945061,399443,-325.26898,4.5776366e-07,94
5.2449036,42.06,397.31612968444824,0.06702957,3.462916,1.8620975,100,9500,1.0005826,-2.1586685,-323.6257,[ 0.612 -0.546  0.229  0.388 -0.003],-138.13020569451382,403649,-323.58798,-2.1362305e-06,95
5.554985,42.8,401.3386301994324,0.046928868,3.0163214,1.7313107,100,9600,1.0003167,-2.3151093,-319.94687,[ 0.612 -0.548  0.228  0.387 -0.003],-138.70258565304778,407929,-319.92383,6.2561035e-06,96
5.1992416,41.82,405.5094425678253,0.0148191545,2.2220514,1.4820441,100,9700,1.0000485,-1.9046936,-319.4671,[ 0.613 -0.547  0.229  0.387 -0.004],-138.29945499980585,412111,-319.45935,-7.6293946e-07,97
7.3066406,42.16,408.9179594516754,0.25215897,5.2448177,1.8306084,100,9800,1.0022634,-2.2108002,-323.62567,[ 0.613 -0.547  0.228  0.387 -0.004],-138.177993080631,416327,-323.4952,4.4250487e-06,98
5.1295013,40.79,413.54578018188477,0.04445504,1.9607582,1.3613881,100,9900,1.000264,-1.8577347,-319.70932,[ 0.609 -0.548  0.228  0.386 -0.003],-137.42013719788574,420406,-319.68658,-3.0517579e-06,99
6.0187073,41.79,417.2817394733429,0.13483691,3.8001552,1.6648356,100,10000,1.0011511,-2.1464539,-322.43744,[ 0.608 -0.548  0.228  0.386 -0.004],-137.99622418431085,424585,-322.36478,3.6621093e-06,100
7.7883377,41.55,421.91767835617065,0.013818292,4.279481,2.0124025,100,10100,1.0000271,-2.3060608,-322.25296,[ 0.61  -0.547  0.228  0.386 -0.005],-137.60581509540262,428740,-322.2451,-6.866455e-06,101
4.6751175,42.0,425.5092785358429,0.121768974,3.5056236,1.6130624,100,10200,1.0013217,-1.8576202,-322.4375,[ 0.61  -0.547  0.228  0.385 -0.005],-138.44455016321862,432940,-322.3765,-4.8828124e-06,102
5.531311,41.05,429.5626690387726,0.02887853,3.1459677,1.7321396,100,10300,1.0001029,-1.9968491,-298.88846,[ 0.612 -0.545  0.229  0.385 -0.005],-137.30530720953143,437045,-298.87134,2.9754638e-06,103
4.623726,43.42,433.4687411785126,0.022978319,3.1591575,1.7707123,100,10400,1.0001658,-2.222496,-315.80026,[ 0.611 -0.545  0.229  0.386 -0.005],-139.61949393115032,441387,-315.78607,6.4849855e-06,104
5.7340546,41.46,437.257119178772,0.17730682,4.325737,1.808051,100,10500,1.0015692,-2.1353226,-324.23068,[ 0.611 -0.546  0.229  0.386 -0.005],-137.47953286425573,445533,-324.1367,-6.713867e-06,105
5.136894,43.13,441.2962727546692,0.06798727,2.985649,1.5560725,100,10600,1.0005243,-2.0015335,-325.88177,[ 0.61  -0.547  0.228  0.385 -0.005],-139.26619005813114,449846,-325.84354,-1.083374e-05,106
5.6299744,43.05,446.01843786239624,0.06491198,3.8700438,1.9883649,100,10700,1.0004288,-2.3374634,-317.03806,[ 0.608 -0.548  0.228  0.384 -0.004],-138.90900040557335,454151,-317.00388,5.9509275e-06,107
5.8974915,44.52,450.0366508960724,0.18287791,3.8642201,1.5935425,100,10800,1.0021484,-2.1441345,-321.27048,[ 0.608 -0.549  0.227  0.384 -0.005],-140.66541046167015,458603,-321.17432,-8.239746e-06,108
4.924309,36.88,454.1101744174957,0.04268589,2.9733357,1.6050972,100,10900,1.0002542,-1.9970322,-322.0648,[ 0.612 -0.548  0.228  0.384 -0.005],-133.07327592291568,462291,-322.0403,3.2043456e-06,109
5.632225,39.42,457.6867034435272,0.058443315,3.7727933,1.9493108,100,11000,1.0003296,-2.133728,-317.89972,[ 0.613 -0.548  0.228  0.383 -0.005],-135.44690453312006,466233,-317.86737,-1.2969971e-06,110
5.6893463,43.22,462.50957918167114,0.15782894,3.5438716,1.6749072,100,11100,1.0015103,-2.127861,-316.1196,[ 0.614 -0.547  0.229  0.383 -0.004],-139.3249472919972,470555,-316.03543,3.8146973e-07,111
6.107773,42.66,467.8198652267456,0.031259224,3.3640409,1.777497,100,11200,1.0001101,-2.3088913,-315.47385,[ 0.619 -0.549  0.23   0.383 -0.004],-138.66680883195622,474821,-315.45758,4.043579e-06,112
6.7100677,43.51,471.99312114715576,0.0031105184,3.6581454,1.8871918,100,11300,1.0000092,-2.4296265,-322.06473,[ 0.619 -0.548  0.23   0.382 -0.003],-139.4504568748773,479172,-322.06305,-6.6375733e-06,113
5.819206,42.44,475.1542799472809,0.16713062,3.9507077,1.7572485,100,11400,1.0015173,-2.195221,-306.7154,[ 0.619 -0.548  0.23   0.382 -0.003],-138.3765474421479,483416,-306.62982,3.890991e-06,114
3.7999725,41.89,479.28926825523376,0.017762456,2.9099307,1.672392,100,11500,1.0000432,-2.1968842,-321.87225,[ 0.623 -0.549  0.23   0.381 -0.004],-137.89278162825292,487605,-321.8612,5.1879883e-06,115
4.7620773,43.41,483.3480875492096,0.017264197,2.9580793,1.6932837,100,11600,1.0000587,-1.888092,-326.40692,[ 0.623 -0.548  0.23   0.381 -0.004],-139.64197785429394,491946,-326.39645,-6.6375733e-06,116
5.834976,41.9,486.7618691921234,0.04449172,4.042862,1.9126214,100,11700,1.0002481,-2.1987152,-317.03787,[ 0.623 -0.549  0.23   0.381 -0.004],-138.106199562192,496136,-317.01462,6.866455e-06,117
