eRenyi2,AvgNormIw,MinVanillaIw,MaxNormIw,AvgRet,VarVanillaIw,AvgEpLen,MinNormIw,ESSRenyi,VarNormIw,ESSClassic,VarDiscRet,AvgVanillaIw,AvgDiscRet,MaxVanillaIw,Bound,J,BatchSize,VarJ,VarRet
1.0017822,0.010000003,0.8364704,0.01064458,1999.997435503006,0.0015188337,200.0,0.00838624,99.82209916323538,1.5266646e-07,99.84906053340784,3.6969106600739996e-06,0.997432,866.0179127974632,1.0617245,866.0162,866.018,100,0.0019020012,4.151511876361011e-06
,0.01,,0.700176,1999.9980789661408,,200.0,,inf,0.004994803,inf,3.432162330701379e-06,8.4797116e-38,866.018519745962,5.9372904e-36,866.01697,866.019,100,0.0032944733,3.826904675764981e-06
nan,0.009999998,1.0,0.01,185.9905927434936,,19.61,0.01,nan,3.5044917e-18,100.0,11839.202206438915,1.0,162.74840950871635,1.0,nan,162.74841,100,108.26269,19609.743848371945
nan,0.009999998,1.0,0.01,188.8827082785964,,19.9,0.01,nan,3.5044917e-18,100.0,11651.755245185925,1.0,165.40517079397017,1.0,nan,165.40517,100,107.40223,18830.86374577645
nan,0.009999998,1.0,0.01,203.98049647042527,,21.41,0.01,nan,3.5044917e-18,100.0,10920.651796361317,1.0,178.4259244015856,1.0,nan,178.42592,100,103.9781,17419.086011613043
nan,0.009999998,1.0,0.01,164.59728291723877,,17.47,0.01,nan,3.5044917e-18,100.0,9085.079591386497,1.0,146.67577454214924,1.0,nan,146.67577,100,94.83791,14286.905272298949
nan,0.009999998,1.0,0.01,188.1938429190591,,19.83,0.01,nan,3.5044917e-18,100.0,11876.101219823964,1.0,164.71462520362977,1.0,nan,164.71463,100,108.43127,19079.845566017575
nan,0.009999998,1.0,0.01,188.28457844339312,,19.84,0.01,nan,3.5044917e-18,100.0,11635.403113166423,1.0,164.9996903804188,1.0,nan,164.9997,100,107.326836,18486.62886771942
nan,0.009999998,1.0,0.01,193.37867292430252,,20.35,0.01,nan,3.5044917e-18,100.0,10228.720249344564,1.0,170.1977779165012,1.0,nan,170.19777,100,100.63018,15999.550019335951
nan,0.009999998,1.0,0.01,203.4806397023797,,21.36,0.01,nan,3.5044917e-18,100.0,10452.389635239102,1.0,178.3658450167364,1.0,nan,178.36583,100,101.72445,16469.87903279565
nan,0.009999998,1.0,0.01,183.78896072234957,,19.39,0.01,nan,3.5044917e-18,100.0,10262.371686134547,1.0,162.21474105809236,1.0,nan,162.21474,100,100.79557,15923.105941535876
nan,0.009999998,1.0,0.01,200.0832772506401,,21.02,0.01,nan,3.5044917e-18,100.0,13073.92014218087,1.0,173.64406544748792,1.0,nan,173.64406,100,113.7681,21671.284198325833
nan,0.009999998,1.0,0.01,201.4730906596221,,21.16,0.01,nan,3.5044917e-18,100.0,12771.632357829956,1.0,175.0505191244829,1.0,nan,175.05054,100,112.44517,20905.364902948146
nan,0.009999998,1.0,0.01,179.58706982580944,,18.97,0.01,nan,3.5044917e-18,100.0,10861.004015124248,1.0,158.157485588202,1.0,nan,158.15749,100,103.69375,17447.661604860707
nan,0.009999998,1.0,0.01,177.59798057641834,,18.77,0.01,nan,3.5044917e-18,100.0,9851.2935648348,1.0,157.1621757610702,1.0,nan,157.16217,100,98.75617,15723.17289940157
nan,0.009999998,1.0,0.01,172.99632870635017,,18.31,0.01,nan,3.5044917e-18,100.0,11574.942549418794,1.0,151.97099879806277,1.0,nan,151.971,100,107.04762,19221.54790385084
nan,0.009999998,1.0,0.01,197.9813421722129,,20.81,0.01,nan,3.5044917e-18,100.0,12063.069136506258,1.0,172.71137687520243,1.0,nan,172.71136,100,109.28146,19417.81179874289
nan,0.009999998,1.0,0.01,184.59160161634907,,19.47,0.01,nan,3.5044917e-18,100.0,10665.662756884181,1.0,162.55734137479737,1.0,nan,162.55734,100,102.75703,16840.235028239287
nan,0.009999998,1.0,0.01,188.08878524336964,,19.82,0.01,nan,3.5044917e-18,100.0,9751.751991807088,1.0,166.10094161149675,1.0,nan,166.10092,100,98.25597,15249.311397403406
nan,0.009999998,1.0,0.01,186.48232020888477,,19.66,0.01,nan,3.5044917e-18,100.0,11065.73513788974,1.0,163.84872018268715,1.0,nan,163.84871,100,104.666504,17607.790608205058
nan,0.009999998,1.0,0.01,178.29039088621735,,18.84,0.01,nan,3.5044917e-18,100.0,10695.63865259815,1.0,157.23738081585634,1.0,nan,157.23737,100,102.90132,16928.130889245207
nan,0.009999998,1.0,0.01,184.48486188616604,,19.46,0.01,nan,3.5044917e-18,100.0,12283.088993827994,1.0,160.94678546748068,1.0,nan,160.94678,100,110.27355,21365.48581448116
nan,0.009999998,1.0,0.01,194.5808905288577,,20.47,0.01,nan,3.5044917e-18,100.0,11195.628973476776,1.0,170.462840439927,1.0,nan,170.46283,100,105.27902,17985.571513278606
nan,0.009999998,1.0,0.01,215.37630257762967,,22.55,0.01,nan,3.5044917e-18,100.0,13443.160822591613,1.0,185.87977580125,1.0,nan,185.87978,100,115.363464,22431.751228250854
nan,0.009999998,1.0,0.01,175.8963574209064,,18.6,0.01,nan,3.5044917e-18,100.0,10401.26058975931,1.0,155.4798112711436,1.0,nan,155.47981,100,101.47535,16174.278719715623
nan,0.009999998,1.0,0.01,181.99290668392553,,19.21,0.01,nan,3.5044917e-18,100.0,10344.309793781093,1.0,160.56266397253924,1.0,nan,160.56265,100,101.19716,16422.647462569003
nan,0.009999998,1.0,0.01,174.9937385233864,,18.51,0.01,nan,3.5044917e-18,100.0,8731.585740060913,1.0,155.90888672543917,1.0,nan,155.90886,100,92.97456,13056.677947447257
nan,0.009999998,1.0,0.01,172.09822097443043,,18.22,0.01,nan,3.5044917e-18,100.0,11022.43676882508,1.0,151.62467956074732,1.0,nan,151.62468,100,104.46153,18110.971645648042
nan,0.009999998,1.0,0.01,174.5890363659337,,18.47,0.01,nan,3.5044917e-18,100.0,11116.19144305553,1.0,153.73402697365103,1.0,nan,153.73401,100,104.904854,18022.120462096096
nan,0.009999998,1.0,0.01,185.0862958522886,,19.52,0.01,nan,3.5044917e-18,100.0,11551.167673271255,1.0,162.29194390606435,1.0,nan,162.29193,100,106.93762,18695.11156227404
nan,0.009999998,1.0,0.01,199.58358278771863,,20.97,0.01,nan,3.5044917e-18,100.0,12624.281172222609,1.0,173.58574916512734,1.0,nan,173.58575,100,111.794624,20672.039126343385
nan,0.009999998,1.0,0.01,180.3931238570437,,19.05,0.01,nan,3.5044917e-18,100.0,11106.813840945944,1.0,158.69885047323496,1.0,nan,158.69885,100,104.860596,17751.89890663883
nan,0.009999998,1.0,0.01,186.28836133977399,,19.64,0.01,nan,3.5044917e-18,100.0,13449.308989998051,1.0,161.54424840615457,1.0,nan,161.54425,100,115.38984,23899.489874135474
nan,0.009999998,1.0,0.01,207.57129219260068,,21.77,0.01,nan,3.5044917e-18,100.0,14223.648339566347,1.0,178.6967636238014,1.0,nan,178.69676,100,118.66512,25014.32707703994
nan,0.009999998,1.0,0.01,162.19373889768497,,17.23,0.01,nan,3.5044917e-18,100.0,9282.636050687146,1.0,144.53158222201634,1.0,nan,144.53157,100,95.863495,14461.360378721334
nan,0.009999998,1.0,0.01,176.291803265512,,18.64,0.01,nan,3.5044917e-18,100.0,8964.317251233144,1.0,156.7764929667273,1.0,nan,156.77649,100,94.20549,13727.346479637466
nan,0.009999998,1.0,0.01,198.58233160333708,,20.87,0.01,nan,3.5044917e-18,100.0,11890.981131246248,1.0,173.36387954452715,1.0,nan,173.36388,100,108.49918,18961.061952953056
nan,0.009999998,1.0,0.01,176.89398338941857,,18.7,0.01,nan,3.5044917e-18,100.0,9311.817674097387,1.0,157.1200404707808,1.0,nan,157.12003,100,96.01406,14058.71383195071
nan,0.009999998,1.0,0.01,155.4978332046047,,16.56,0.01,nan,3.5044917e-18,100.0,7795.245439752399,1.0,139.76214370567425,1.0,nan,139.76215,100,87.84813,12013.635219292393
nan,0.009999998,1.0,0.01,191.08042643282562,,20.12,0.01,nan,3.5044917e-18,100.0,11477.436672229578,1.0,167.25868924911737,1.0,nan,167.25868,100,106.59579,18901.224472206475
