ESSRenyi,MaxNormIw,VarVanillaIw,AvgNormIw,BatchSize,ESSClassic,VanillaAvgRet,VarDiscRet,J,AvgEpLen,VarRet,MinVanillaIw,AvgDiscRet,VarNormIw,MaxVanillaIw,AvgRet,Bound,AvgVanillaIw,MinNormIw,eRenyi2,VarJ
100.0,0.01,,0.009999998,100,100.0,3159.761088731639,2357161.693752057,,316.79,2357161.693752057,1.0,2.501110429875553e-13,3.5044917e-18,1.0,2.501110429875553e-13,-129.12375,1.0,0.01,1.0,1527.6093
100.0,0.01,,0.009999998,100,100.0,3102.4731636670354,2727325.0610464644,-5.722046e-06,311.06,2727325.0610464644,1.0,4.592948243953288e-13,3.5044917e-18,1.0,4.592948243953288e-13,-138.89288,1.0,0.01,1.0,1643.1835
100.0,0.01,,0.009999998,100,100.0,3385.9177600331477,2542186.546795598,7.6293945e-06,339.3,2542186.546795598,1.0,-1.9099388737231492e-13,3.5044917e-18,1.0,-1.9099388737231492e-13,-134.09583,1.0,0.01,1.0,1586.4314
100.0,0.01,,0.009999998,100,100.0,2972.5466898822824,2824874.0981648127,-3.8146973e-06,298.08,2824874.0981648127,1.0,-1.1823431123048067e-13,3.5044917e-18,1.0,-1.1823431123048067e-13,-141.35495,1.0,0.01,1.0,1672.3113
100.0,0.01,,0.009999998,100,100.0,3302.130475069905,2348934.7877122397,5.722046e-06,331.02,2348934.7877122397,1.0,2.5920599000528453e-13,3.5044917e-18,1.0,2.5920599000528453e-13,-128.89824,1.0,0.01,1.0,1524.941
100.0,0.01,,0.009999998,100,100.0,2980.566469944091,2856675.091927201,3.4332275e-05,298.86,2856675.091927201,1.0,1.5006662579253317e-13,3.5044917e-18,1.0,1.5006662579253317e-13,-142.1484,1.0,0.01,1.0,1681.698
100.0,0.01,,0.009999998,100,100.0,3081.4810365378494,2713844.467990855,9.536743e-06,308.94,2713844.467990855,1.0,1.5916157281026243e-13,3.5044917e-18,1.0,1.5916157281026243e-13,-138.5492,1.0,0.01,1.0,1639.1174
100.0,0.01,,0.009999998,100,100.0,3172.8068248887785,2816008.715472032,-5.722046e-06,318.05,2816008.715472032,1.0,4.843059286940843e-13,3.5044917e-18,1.0,4.843059286940843e-13,-141.13298,1.0,0.01,1.0,1669.6852
100.0,0.01,,0.009999998,100,100.0,2955.2876475604553,2644304.834268551,,296.37,2644304.834268551,1.0,3.183231456205249e-14,3.5044917e-18,1.0,3.183231456205249e-14,-136.7626,1.0,0.01,1.0,1617.9807
100.0,0.01,,0.009999998,100,100.0,3187.9905824130756,2215012.247870021,9.536743e-06,319.64,2215012.247870021,1.0,5.547917680814862e-13,3.5044917e-18,1.0,5.547917680814862e-13,-125.16982,1.0,0.01,1.0,1480.8315
100.0,0.01,,0.009999998,100,100.0,3636.0395888889902,2202878.339473689,9.536743e-07,364.28,2202878.339473689,1.0,-1.6370904631912708e-13,3.5044917e-18,1.0,-1.6370904631912708e-13,-124.8265,1.0,0.01,1.0,1476.7699
100.0,0.01,,0.009999998,100,100.0,3132.244302380604,2932198.336393955,3.8146973e-05,314.0,2932198.336393955,1.0,6.45741238258779e-13,3.5044917e-18,1.0,6.45741238258779e-13,-144.01517,1.0,0.01,1.0,1703.783
100.0,0.01,,0.009999998,100,100.0,3051.2891698169765,2699876.38386939,3.8146973e-06,305.93,2699876.38386939,1.0,-1.887201506178826e-13,3.5044917e-18,1.0,-1.887201506178826e-13,-138.19217,1.0,0.01,1.0,1634.8937
100.0,0.01,,0.009999998,100,100.0,3548.0222767005234,2369337.1048043757,2.0980835e-05,355.57,2369337.1048043757,1.0,-9.094947017729283e-14,3.5044917e-18,1.0,-9.094947017729283e-14,-129.45686,1.0,0.01,1.0,1531.5494
100.0,0.01,,0.009999998,100,100.0,3550.3231828678563,2657358.5299785784,-2.2888184e-05,355.73,2657358.5299785784,1.0,-1.6143530956469475e-13,3.5044917e-18,1.0,-1.6143530956469475e-13,-137.09975,1.0,0.01,1.0,1621.9694
