VarJ,VarDiscRet,AvgVanillaIw,MinNormIw,AvgDiscRet,Delta,Bound,EpsThisIter,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,J,VarNormIw,AvgNormIw,ESSClassic,eRenyi2,MaxNormIw,VarRet,MinVanillaIw,AvgEpLen,BatchSize,AvgRet,ESSRenyi,IterType
3407.2073,43996.08094401634,1.9010701,3.373892e-14,546.4639835835958,0.4,878.1095,100,728.6605,1063.1976,546.4639835835958,1318.2013,0.0011767325,0.0019999996,1.6972467360717776,26.159935,0.76657933,43996.08094401634,3.2070027e-11,58.99,500,546.4639835835958,19.113197339621184,1
261.99615,69335.33984184534,1.0,0.01,666.5487919711906,0.4,483.37558,100,1.0,,666.5487919711906,666.54877,3.5044917e-18,0.009999998,100.0,1.0,0.01,69335.33984184534,1.0,72.04,500,666.5487919711906,500.0,2
252.66234,58056.81480893935,1.0,0.005,722.3750070053122,0.4,564.9389,100,1.0,,722.3750070053122,694.4619,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,58056.81480893935,1.0,78.16,500,722.3750070053122,500.0,2
249.699,59336.41905126236,1.0,0.0033333334,663.7403631902147,0.4,578.4664,100,1.0,,663.7403631902147,684.22144,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,59336.41905126236,1.0,71.77,500,663.7403631902147,500.0,2
249.94456,63470.757340307464,1.0,0.0025,686.615737742507,0.4,593.23334,100,1.0,,686.615737742507,684.81995,5.434597e-20,0.0024999997,400.0,1.0,0.0025,63470.757340307464,1.0,74.2,500,686.615737742507,500.0,2
587.15686,101378.75075558355,1.0346861,4.2819114e-08,720.8564503288036,0.4,679.9305,100,12.672659,3.2716749,720.8564503288036,858.81604,1.222399e-05,0.002,123.46027208906617,3.3424814,0.024495661,101378.75075558355,2.215217e-05,77.98,500,720.8564503288036,149.58946481453572,1
250.61766,63443.65583398357,1.0,0.01,768.1629488171674,0.4,573.422,100,1.0,,768.1629488171674,768.1629,3.5044917e-18,0.009999998,100.0,1.0,0.01,63443.65583398357,1.0,83.1,500,768.1629488171674,500.0,2
258.54492,71510.50921244637,1.0,0.005,755.0224814565294,0.4,623.89,100,1.0,,755.0224814565294,761.59265,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,71510.50921244637,1.0,81.69,500,755.0224814565294,500.0,2
278.41354,97453.26896506199,1.0,0.0033333334,821.2490610177341,0.4,646.59155,100,1.0,,821.2490610177341,781.4782,5.4391416e-20,0.0033333336,299.999969473632,1.0,0.0033333334,97453.26896506199,1.0,88.64,500,821.2490610177341,500.0,2
275.61185,71573.9125544561,1.0,0.0025,757.0600671891484,0.4,658.5582,100,1.0,,757.0600671891484,775.37354,5.434597e-20,0.0024999997,400.0,1.0,0.0025,71573.9125544561,1.0,81.84,500,757.0600671891484,500.0,2
3707.76,63283.94485315873,1.2517129,2.3742084e-08,756.7439731906327,0.4,769.88715,100,117.85212,31.689602,756.7439731906327,1012.2215,8.090349e-05,0.002,23.601131173120663,5.379485,0.18830535,63283.94485315873,1.4859136e-05,81.9,500,756.7439731906327,92.94569794101864,1
286.18808,82730.92997515477,1.0,0.01,815.1575085131605,0.4,650.1013,100,1.0,,815.1575085131605,815.15753,3.5044917e-18,0.009999998,100.0,1.0,0.01,82730.92997515477,1.0,88.21,500,815.1575085131605,500.0,2
298.96677,97230.49831540298,1.0,0.005,780.5036212755948,0.4,646.69244,100,1.0,,780.5036212755948,797.83057,2.179301e-19,0.0049999994,200.00000010221265,1.0,0.005,97230.49831540298,1.0,84.53,500,780.5036212755948,500.0,2
