EpsThisIter,VarNormIw,AvgVanillaIw,renyi2,VarJ,MaxVanillaIw,SamplesThisIter,Bound,MaxNormIw,AvgDiscRet,ESSRenyi,VarDiscRet,VarRet,IterType,delta,AvgEpLen,MinVanillaIw,VanillaAvgRet,ESSClassic,BatchSize,AvgRet,VarVanillaIw,AvgNormIw,J,MinNormIw
111,1.21913e-09,0.965017,nan,4348.24,5.19685,50000,4588.79,0.000269532,4502.86335562,nan,2246112.7088,2246112.7088,1,0.6,450.45045045,1.09605e-12,4502.86335562,1.74606615618,100,4502.86335562,0.45322,5.00501e-05,890536.0,5.68459e-17
105,6.85248e-10,0.92792,nan,2599.43,2.85793,50000,4580.18,0.00016296,4760.74987282,nan,709471.844625,709471.844625,1,0.6,476.19047619,7.7511e-06,4760.74987282,1.10360117321,100,4760.74987282,0.210762,5.29101e-05,893685.0,4.41968e-10
118,1.78999e-09,0.930379,nan,4922.41,6.01141,50000,4587.76,0.000304202,4235.16297245,nan,3251169.59795,3251169.59795,1,0.6,423.728813559,2.45761e-18,4235.16297245,2.47543255754,100,4235.16297245,0.699005,4.7081e-05,888845.0,1.24365e-22
116,2.04785e-09,0.967241,nan,4483.77,6.92751,50000,4562.44,0.000343014,4307.89403069,nan,2095892.3495,2095892.3495,1,0.6,431.034482759,2.72111e-19,4307.89403069,1.82228666999,100,4307.89403069,0.835272,4.78927e-05,887078.0,1.34735e-23
109,1.20145e-09,0.962096,nan,3404.13,4.25354,50000,4578.77,0.000225337,4585.67916322,nan,1528051.07959,1528051.07959,1,0.6,458.71559633,5.89619e-13,4585.67916322,1.64551794943,100,4585.67916322,0.428095,5.09684e-05,891725.0,3.12359e-17
112,1.49533e-09,0.937046,nan,3443.9,4.76063,50000,4575.05,0.000252007,4462.57511953,nan,1590267.39979,1590267.39979,1,0.6,446.428571429,3.08385e-15,4462.57511953,2.30651832987,100,4462.57511953,0.533628,4.96032e-05,890814.0,1.63246e-19
114,1.67209e-09,0.920605,nan,4008.81,4.90795,50000,4578.89,0.000259806,4384.0931208,nan,2166543.70998,2166543.70998,1,0.6,438.596491228,1.0469e-13,4384.0931208,1.74009961718,100,4384.0931208,0.596708,4.87329e-05,890085.0,5.54182e-18
117,1.66825e-09,0.868713,nan,3617.91,5.83772,50000,4580.47,0.000319086,4271.44004606,nan,3023020.29542,3023020.29542,1,0.6,427.35042735,9.54929e-20,4271.44004606,1.70618838379,100,4271.44004606,0.558379,4.74834e-05,891209.0,5.21959e-24
112,1.293e-09,0.941333,nan,3841.82,4.29387,50000,4575.22,0.000226264,4462.56025049,nan,2027854.11563,2027854.11563,1,0.6,446.428571429,2.54926e-10,4462.56025049,1.47338969988,100,4462.56025049,0.465657,4.96032e-05,889710.0,1.34333e-14
111,1.29339e-09,0.93989,nan,4100.37,5.37134,50000,4585.8,0.000286029,4502.87831212,nan,2201355.62679,2201355.62679,1,0.6,450.45045045,6.88938e-11,4502.87831212,1.56465512134,100,4502.87831212,0.456115,5.00501e-05,890914.0,3.66866e-15
