MinNormIw,AvgEpLen,ESSRenyi,ESSClassic,VanillaAvgRet,MinVanillaIw,VarDiscRet,VarVanillaIw,MaxNormIw,AvgRet,MaxVanillaIw,AvgDiscRet,VarRet,Bound,BatchSize,eRenyi2,AvgVanillaIw,AvgNormIw,J,VarNormIw,VarJ
1.0268e-11,200.0,370.03230799,311.342269478,-7.76609890957,5.15244e-09,48.0735819756,0.611532,0.00348251,-7.76609890957,1.74751,-7.76609890957,48.0735819756,-8.4564,500,1.35123,1.00359,0.002,-7.43942,2.42866e-06,8.34313
0.0018333,200.0,496.099502257,487.266027957,-7.95740490124,0.942941,48.3833973878,0.0277097,0.0026271,-7.95740490124,1.35122,-7.95740490124,48.3833973878,-8.8308,500,1.00786,1.02868,0.002,-7.95035,1.04745e-07,6.99716
0.00155065,200.0,456.623975311,424.84339697,-8.0097922564,0.842928,53.2496141636,0.209518,0.00357475,-8.0097922564,1.94322,-8.0097922564,53.2496141636,-8.81597,500,1.09499,1.08719,0.002,-7.89876,7.09035e-07,7.95517
0.00115744,200.0,315.787849012,141.870882768,-8.07917464413,0.75052,50.5891142913,4.25402,0.041575,-8.07917464413,26.9584,-8.07917464413,50.5891142913,-8.55114,500,1.58334,1.29686,0.002,-7.45491,1.01176e-05,9.64364
3.09535e-07,200.0,441.871693511,407.687817747,-7.54270695154,0.00014683,48.3454285541,0.204207,0.00289021,-7.54270695154,1.37099,-7.54270695154,48.3454285541,-8.37162,500,1.13155,0.948713,0.002,-7.44625,9.0753e-07,7.62816
0.00111055,200.0,326.157735214,95.7460048785,-7.23423443614,0.754218,45.2473576385,7.80519,0.0469086,-7.23423443614,31.8576,-7.23423443614,45.2473576385,-7.87631,500,1.533,1.35828,0.002,-6.79556,1.69224e-05,11.1809
0.00160343,200.0,458.243335577,440.646902608,-7.89062587152,0.845134,45.6349324384,0.14998,0.00657583,-7.89062587152,3.46598,-7.89062587152,45.6349324384,-8.72041,500,1.09112,1.05416,0.002,-7.80457,5.39862e-07,7.4561
0.0015369,200.0,411.926256991,342.106032924,-7.65054904496,0.798899,42.4304465918,0.499834,0.0271407,-7.65054904496,14.108,-7.65054904496,42.4304465918,-8.50239,500,1.21381,1.03962,0.002,-7.53861,1.84984e-06,7.85592
1.03426e-10,200.0,315.592748424,271.832022062,-8.04578976361,5.23791e-08,49.339466693,0.862853,0.00416864,-8.04578976361,2.11116,-8.04578976361,49.339466693,-8.6626,500,1.58432,1.01288,0.002,-7.56295,3.36421e-06,9.27606
0.00114003,200.0,488.350415044,473.269789975,-7.65036399726,0.56852,48.6305877857,0.056297,0.00226271,-7.65036399726,1.12839,-7.65036399726,48.6305877857,-8.51585,500,1.02385,0.997379,0.002,-7.63026,2.26373e-07,7.13237
0.000521569,200.0,473.309224223,437.91586861,-7.90215767506,0.265818,48.1196080894,0.147593,0.00238357,-7.90215767506,1.21479,-7.90215767506,48.1196080894,-8.73394,500,1.05639,1.0193,0.002,-7.83665,5.68222e-07,7.33497
0.000217875,200.0,472.061425214,456.978949836,-8.0253805591,0.120335,50.2865542587,0.115102,0.0022113,-8.0253805591,1.22133,-8.0253805591,50.2865542587,-8.79528,500,1.05918,1.10462,0.002,-7.89305,3.77324e-07,7.39044
0.00160081,200.0,499.740675549,498.821254534,-7.66966146401,0.804118,47.0431256068,0.00239,0.00202368,-7.66966146401,1.01653,-7.66966146401,47.0431256068,-8.54563,500,1.00052,1.00464,0.002,-7.66921,9.47194e-09,6.85573
0.00197747,200.0,499.839834038,498.971450548,-7.66630150192,0.987579,47.5130173804,0.00206087,0.00236596,-7.66630150192,1.1816,-7.66630150192,47.5130173804,-8.54292,500,1.00032,0.998832,0.002,-7.66615,8.26275e-09,6.88887
0.00125429,200.0,498.933033979,494.664663111,-8.17215880747,0.630448,50.0717462365,0.0109217,0.00205786,-8.17215880747,1.03434,-8.17215880747,50.0717462365,-9.04502,500,1.00214,1.00526,0.002,-8.17121,4.32304e-08,7.15352
0.00183614,200.0,490.928029011,427.374581325,-8.00313856575,0.916838,51.2804899457,0.169818,0.00614825,-8.00313856575,3.07,-8.00313856575,51.2804899457,-8.87086,500,1.01848,0.998658,0.002,-7.99088,6.81097e-07,8.05431
0.000247581,200.0,483.946017969,478.219979848,-7.98439962325,0.136003,49.4021883978,0.0550837,0.00210396,-7.98439962325,1.15576,-7.98439962325,49.4021883978,-8.80136,500,1.03317,1.09865,0.002,-7.91052,1.82541e-07,7.17208
0.000439235,200.0,494.057952543,488.254619219,-7.65713813557,0.231593,49.1735061834,0.0268045,0.00206165,-7.65713813557,1.08703,-7.65713813557,49.1735061834,-8.51923,500,1.01203,1.05453,0.002,-7.63618,9.64168e-08,7.04688
0.00104492,200.0,499.060551504,498.152660792,-8.01735611247,0.535095,49.1923478785,0.00389739,0.00201553,-8.01735611247,1.03214,-8.01735611247,49.1923478785,-8.88857,500,1.00188,1.02419,0.002,-8.01532,1.4862e-08,7.03112
0.000148293,200.0,490.230005699,489.677904173,-7.56567921103,0.0808872,46.1398611879,0.0251359,0.00204553,-7.56567921103,1.11575,-7.56567921103,46.1398611879,-8.38073,500,1.01993,1.09091,0.002,-7.49657,8.44842e-08,6.80328
0.000679493,200.0,321.792701957,6.82875332778,-7.82172298892,0.75263,50.5950022019,355.123,0.220764,-7.82172298892,244.526,-7.82172298892,50.5950022019,-8.22952,500,1.5538,2.21527,0.002,-7.13792,0.000289458,31.8996
0.000809716,200.0,294.725270818,67.0490680452,-7.37701206222,0.743745,48.8178409281,21.8352,0.0236998,-7.37701206222,21.7689,-7.37701206222,48.8178409281,-7.01464,500,1.6965,1.83705,0.002,-5.87268,2.58807e-05,12.4985
0.000882055,200.0,491.904684836,473.871583874,-7.37108228546,0.443096,46.586578725,0.0557681,0.00219728,-7.37108228546,1.10379,-7.37108228546,46.586578725,-8.22925,500,1.01646,1.00469,0.002,-7.35211,2.20995e-07,7.04944
0.00192162,200.0,498.910185071,493.862840118,-7.98206506081,0.968538,49.1035593711,0.012653,0.00263418,-7.98206506081,1.32768,-7.98206506081,49.1035593711,-8.85187,500,1.00218,1.00804,0.002,-7.98034,4.98073e-08,6.95905
