IterType,MaxVanillaIw,AvgDiscRet,VarDiscRet,VarVanillaIw,MaxNormIw,Bound,Delta,VarNormIw,AvgNormIw,AvgVanillaIw,VanillaAvgRet,VarJ,MinNormIw,VarRet,J,AvgRet,EpsThisIter,ESSRenyi,BatchSize,eRenyi2,ESSClassic,AvgEpLen,MinVanillaIw
2,1.0,-562.819591097,3045.1036154,,0.01,-782.237,0.1,3.50449e-18,0.01,1.0,-562.819591097,54.9059,0.01,3045.1036154,-562.82,-562.819591097,100,200.0,200,1.0,100.0,500.0,1.0
1,1.26772,-575.998806143,22614.5385028,0.0121754,0.00627427,-982.666,0.1,2.98238e-07,0.005,1.01026,-575.998806143,86.4732,0.00289161,22614.5385028,-564.32,-575.998806143,100,197.703850821,200,1.01161,197.653861504,500.0,0.584253
2,1.0,-557.214389283,2590.69264614,,0.01,-773.512,0.1,3.50449e-18,0.01,1.0,-557.214389283,50.6437,0.01,2590.69264614,-557.214,-557.214389283,100,200.0,200,1.0,100.0,500.0,1.0
1,1.46281,-558.249371473,2860.73032648,0.0383328,0.00730747,-707.81,0.1,9.56589e-07,0.005,1.0009,-558.249371473,52.7064,0.00264183,2860.73032648,-552.025,-558.249371473,100,192.774845395,200,1.03748,192.664826468,500.0,0.528845
2,1.0,-551.708436495,2545.33548395,,0.01,-750.224,0.1,3.50449e-18,0.01,1.0,-551.708436495,50.1984,0.01,2545.33548395,-551.708,-551.708436495,100,200.0,200,1.0,100.0,500.0,1.0
1,1.81498,-555.137023153,2465.39574594,0.0412009,0.0090904,-693.796,0.1,1.03354e-06,0.005,0.998295,-555.137023153,51.5722,0.0020561,2465.39574594,-548.302,-555.137023153,100,192.903159193,200,1.03679,192.098043155,500.0,0.410519
2,1.0,-547.824906594,7175.49914212,,0.01,-879.611,0.1,3.50449e-18,0.01,1.0,-547.824906594,84.2837,0.01,7175.49914212,-547.825,-547.824906594,100,200.0,200,1.0,100.0,500.0,1.0
1,1.35992,-552.222091152,4695.23459848,0.0209268,0.00679339,-781.928,0.1,5.22216e-07,0.005,1.00091,-552.222091152,64.7332,0.00273021,4695.23459848,-544.971,-552.222091152,100,196.055361292,200,1.02012,195.927788986,500.0,0.546541
2,1.0,-552.100694013,2647.20854224,,0.01,-757.667,0.1,3.50449e-18,0.01,1.0,-552.100694013,51.1931,0.01,2647.20854224,-552.101,-552.100694013,100,200.0,200,1.0,100.0,500.0,1.0
1,1.41742,-543.016138976,2929.64238924,0.0242922,0.00695083,-691.106,0.1,5.8418e-07,0.005,1.0196,-543.016138976,53.0331,0.00280841,2929.64238924,-543.919,-543.016138976,100,195.059343108,200,1.02533,195.455556875,500.0,0.572692
