InitialReturnStd,MeanEntropy,InitialReturnMean,MinIWNorm,InitialReturnMax,MeanIWNorm,MaxIWNorm,J_sample_variance,MaxIW,MeanIW,EntropyCoefficient,TimestepsSoFar,ReturnStepMaxmin,ReturnMeanIW,ESSClassic,ReturnStepMax,Bound,StdIW,MinIW,TimeElapsed,InitialBound,EpRewMean,EpThisIter,ESSRenyi,EpisodesSoFar,InitialReturnMin,Iteration,Weights,EmpiricalD2,EpLenMean,StdIWNorm
13.556215,1.1309991,-4.959106e-07,0.0014133252,27.232399,0.010856574,0.06424217,331.13834,6.424217,1.0856575,,658038,98.77077,0.9907793,52.75454,100.0,-1.2472094,1.0274079,0.14133252,1838.5410294532776,-1.8192424,-50.05682976695577,100,66.07925,5000,-54.577255,50,[-1.25  -0.932 -0.099 -0.782 -0.282],1.5133344,436.72,0.010274078
14.38076,1.1098634,-6.008148e-07,5.230977e-05,20.694178,0.01219686,0.32881764,4372.8584,32.881763,1.2196862,,701090,98.78668,9.988488,10.704585,100.0,4.542464,3.5227168,0.005230977,1946.5055949687958,-1.7854794,-45.91853459600589,100,10.748554,5100,-53.564354,51,[-1.241 -0.936 -0.094 -0.787 -0.288],9.303576,430.52,0.03522717
12.036842,1.101038,-7.343292e-07,0.0027945733,29.629189,0.009668901,0.027653996,127.12297,2.7653997,0.9668901,,746887,98.81641,0.42524856,84.45813,100.0,-1.6224508,0.41477054,0.27945733,2060.181210756302,-1.8889172,-42.039860161571376,100,85.09285,5200,-56.667496,52,[-1.244 -0.941 -0.083 -0.794 -0.309],1.1751869,457.97,0.0041477047
8.849751,1.0970514,-3.8146972e-08,2.1507982e-05,25.011133,0.012962997,0.3672112,8564.516,36.72112,1.2962997,,794276,98.830505,9.056247,6.037755,100.0,4.9217763,5.1138077,0.0021507982,2175.8652584552765,-0.8337045,-40.16106521138547,100,4.0661597,5300,-24.613623,53,[-1.248 -0.94  -0.081 -0.794 -0.318],24.59323,473.89,0.051138077
7.5563645,1.0591972,1.9073486e-08,1.6805915e-06,20.721851,0.020266633,0.83903915,11184.048,83.903915,2.0266635,,842221,98.86095,15.132438,3.9219468,100.0,7.6361914,10.030969,0.00016805915,2293.9654562473297,-0.8081965,-33.33298261112792,100,1.1623746,5400,-24.245892,54,[-1.276 -0.94  -0.074 -0.797 -0.322],86.030785,479.45,0.100309685
11.489846,1.0694766,-1.4305115e-07,6.3583834e-06,25.36298,0.017283715,0.8669412,8542.692,86.69412,1.7283716,,889184,98.8475,9.497313,3.6838205,100.0,1.1325302,8.837666,0.00063583837,2407.145128965378,-1.8473443,-35.808523342554935,100,4.877378,5500,-55.420326,55,[-1.258 -0.94  -0.085 -0.794 -0.36 ],20.50282,469.63,0.08837665
6.6969037,1.0663776,6.055832e-07,1.07564574e-07,17.468403,0.050684832,4.571848,374272.6,457.1848,5.0684834,,938754,98.87146,62.732117,1.2264597,100.0,45.341515,45.485367,1.0756457e-05,2527.712921857834,-0.5822795,-31.857656105706145,100,0.11210752,5600,-16.073542,56,[-1.291 -0.936 -0.085 -0.787 -0.349],892.0008,495.7,0.45485362
7.534604,1.0581428,7.152558e-08,0.0015836034,17.032848,0.0118041625,0.08703972,73.52299,8.703972,1.1804162,,986917,98.87991,1.2526981,48.745056,100.0,-0.4050982,1.2104249,0.15836035,2647.663847208023,-1.1832012,-28.91816648046625,100,50.939533,5700,-35.496037,57,[-1.31  -0.924 -0.081 -0.801 -0.353],1.9631119,481.63,0.012104249
6.946591,1.0459294,7.343292e-07,0.0016338056,23.379826,0.010152649,0.032134604,66.487816,3.2134604,1.0152649,,1035328,98.86897,0.8989766,74.21223,100.0,-0.013391852,0.5984785,0.16338056,2770.7704751491547,-0.77932686,-31.714993703827105,100,72.96246,5800,-20.864805,58,[-1.311 -0.932 -0.075 -0.805 -0.361],1.3705678,484.11,0.0059847855
8.791767,1.0357916,1.14440915e-07,0.0017777992,18.763535,0.00927106,0.034911536,94.95265,3.4911535,0.92710614,,1083874,98.859955,0.8448622,75.21638,100.0,-1.164254,0.5321766,0.17777993,2888.602359056473,-1.7461559,-33.99284560364035,100,75.53635,5900,-52.384678,59,[-1.307 -0.927 -0.075 -0.798 -0.373],1.323866,485.46,0.0053217662
