Bound,VarNormIw,MaxVanillaIw,eRenyi2,AvgEpLen,BatchSize,ESSClassic,MinVanillaIw,AvgNormIw,Delta,J,MaxNormIw,VarRet,IterType,VarVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,EpsThisIter,ESSRenyi,AvgRet,MinNormIw,AvgDiscRet,VanillaAvgRet
-549.701,2.94957e-06,1.24881,1.02429,500.0,100,97.1628186699,0.350766,0.01,0.2,-435.569,0.0126003,1863.22863688,1,0.0289726,42.0766,1863.22863688,0.991094,100,97.6282750469,-438.553741232,0.00353918,-438.553741232,-438.553741232
-531.542,0.000570642,28.3824,1.55885,500.0,100,15.0390521213,0.180476,0.01,0.2,-395.168,0.244167,2127.00510546,1,7.71061,251.659,2127.00510546,1.16242,100,64.1497931342,-431.583344907,0.00155259,-431.583344907,-431.583344907
-522.073,2.5626e-06,1.50791,1.02026,500.0,100,97.5258163533,0.639819,0.01,0.2,-418.435,0.0151115,1379.84908395,1,0.0255159,38.3513,1379.84908395,0.99785,100,98.014634763,-420.437058702,0.00641197,-420.437058702,-420.437058702
-541.753,2.55109e-06,1.74216,1.02133,500.0,100,97.5366749385,0.416669,0.01,0.2,-433.404,0.0171812,1887.77427629,1,0.0262297,45.9575,1887.77427629,1.01399,100,97.9117182308,-435.491701916,0.0041092,-435.491701916,-435.491701916
-535.617,3.32694e-06,1.2721,1.0327,500.0,100,96.8113359914,0.298917,0.01,0.2,-426.553,0.0127741,1493.62594228,1,0.0329937,38.6928,1493.62594228,0.995847,100,96.8332467192,-429.940862437,0.00300164,-429.940862437,-429.940862437
-531.275,1.48581e-05,3.97882,1.0757,500.0,100,87.1766934887,0.479988,0.01,0.2,-415.55,0.0405585,1948.42158697,1,0.142991,65.0357,1948.42158697,0.981008,100,92.9629241348,-422.041312652,0.0048928,-422.041312652,-422.041312652
-540.861,5.25232e-06,1.61342,1.0463,500.0,100,95.057241094,0.462333,0.01,0.2,-421.833,0.0162943,2520.942669,1,0.0514958,49.0354,2520.942669,0.990171,100,95.5752155926,-427.048684786,0.00466922,-427.048684786,-427.048684786
-541.065,2.37211e-06,1.20734,1.01925,500.0,100,97.7055024711,0.363134,0.01,0.2,-422.274,0.0122573,1900.884826,1,0.0230145,43.2868,1900.884826,0.984994,100,98.1110546466,-424.481301275,0.00368667,-424.481301275,-424.481301275
-521.043,0.000208108,17.6073,1.2812,500.0,100,32.6768134218,0.218985,0.01,0.2,-403.522,0.148398,1768.68584798,1,2.9297,131.475,1768.68584798,1.1865,100,78.0516780406,-421.622108302,0.00184564,-421.622108302,-421.622108302
-523.464,6.41715e-06,1.53734,1.05785,500.0,100,94.0264823466,0.27036,0.01,0.2,-413.302,0.0151865,2144.27317298,1,0.0657607,44.0873,2144.27317298,1.01231,100,94.5317652956,-419.799423758,0.00267073,-419.799423758,-419.799423758
