ReturnMeanIW,EntropyCoefficient,StdIW,TimeElapsed,ReturnStepMax,InitialReturnMax,MaxIWNorm,Weights,InitialReturnStd,EmpiricalD2,MaxIW,MeanIWNorm,ReturnStepMaxmin,MinIW,MeanEntropy,EpRewMean,InitialBound,MeanIW,Iteration,J_sample_variance,ESSRenyi,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,ESSClassic,MinIWNorm,StdIWNorm,Bound,EpLenMean,InitialReturnMin
125.34658,4.4000015,37.68067,794.390406370163,100.0,42.33979,3.788773,[ 0.97  -0.906 -0.527 -1.427 -0.277],13.318972,117.05232,378.87732,0.045121722,91.495415,0.0024224117,1.1397046,-105.70209960342689,3.6157846,4.5121717,56,1542438.2,0.8543188,1.5029907e-05,144378,5600,100,1.4136785,2.4224117e-05,0.3768067,110.07734,28.17,-13.495537
3.0004964,4.299999,0.866789,808.5982661247253,100.0,42.761185,0.05962114,[ 0.991 -0.958 -0.48  -1.445 -0.279],14.734021,1.8699996,5.9621143,0.011396644,91.76162,0.043306287,1.1218519,-104.6313818606409,3.475358,1.1396643,57,1073.4811,53.475945,2.2888185e-06,147269,5700,100,63.352917,0.00043306287,0.008667889,1.0513285,28.91,-14.254471
25.024433,4.200001,4.315531,823.6923658847809,100.0,53.294907,0.3345697,[ 0.957 -0.989 -0.499 -1.446 -0.297],17.158377,37.172386,33.45697,0.011746073,92.11557,0.014134372,1.1833876,-103.85159705616843,2.9352772,1.1746073,58,37571.797,2.6901689,-4.7683716e-06,150286,5800,100,6.8973026,0.00014134371,0.0431553,14.19328,30.17,-15.428635
5.81928,4.0999985,2.1552505,837.0138173103333,100.0,48.72416,0.17147443,[ 0.914 -1.003 -0.465 -1.441 -0.236],16.758297,3.2265155,17.147444,0.010340788,92.62529,0.01651586,1.0900639,-103.55710132978915,3.2277484,1.034079,59,3569.3262,30.993187,-1.0681152e-06,153535,5900,100,18.712637,0.0001651586,0.021552505,2.9019203,32.49,-16.68084
54.450157,4.0,20.56986,852.4776084423065,100.0,47.563732,1.7984103,[ 0.94  -1.047 -0.466 -1.448 -0.329],16.02217,177.89085,179.84103,0.03553234,92.65334,0.00014833573,1.0311724,-103.86345373390364,2.7747974,3.5532336,60,194111.95,0.56214243,-4.5776366e-07,156808,6000,100,2.897447,1.4833573e-06,0.2056986,33.303997,32.73,-17.400307
19.239645,3.9000015,3.38337,867.1328222751617,100.0,46.205322,0.26297265,[ 0.92  -1.101 -0.482 -1.42  -0.388],16.350124,5.389671,26.297266,0.01509718,92.19925,0.015485606,1.0068406,-103.74568271621645,2.4813943,1.5097178,61,11680.165,18.554008,-2.1743774e-06,159859,6100,100,16.604801,0.00015485605,0.033833694,15.664021,30.51,-16.553993
8.249083,3.7999992,2.303806,884.2091374397278,100.0,48.029633,0.21154046,[ 0.994 -1.097 -0.456 -1.422 -0.412],17.513828,3.682746,21.154047,0.011981814,93.41194,0.038109686,1.0364225,-102.87616638104856,2.2250037,1.1981815,62,3614.0044,27.153652,-2.4414062e-06,163541,6200,100,21.290289,0.00038109685,0.023038061,5.17671,36.82,-19.969154
20.000872,3.7000008,4.982478,899.3632504940033,100.0,57.93302,0.47176814,[ 0.963 -1.031 -0.443 -1.381 -0.382],17.19284,8.394876,47.176815,0.017316528,92.40781,0.0039536715,0.9358687,-104.09078901024208,1.9036644,1.7316529,63,43961.812,11.912029,8.392334e-07,166699,6300,100,10.777218,3.9536713e-05,0.04982478,14.405718,31.58,-16.625214
14.569601,3.5999985,4.409099,913.7500367164612,100.0,60.758995,0.43813396,[ 0.929 -1.044 -0.42  -1.396 -0.483],16.169098,10.5137,43.813396,0.013953021,92.10893,0.011433435,1.0026892,-103.46948671898812,1.343827,1.3953022,64,16710.93,9.5114,1.2207031e-06,169702,6400,100,9.103036,0.00011433435,0.044090986,8.0026,30.03,-16.142769
11.604293,3.5,4.289497,930.0228028297424,100.0,51.868927,0.43508768,[ 0.905 -1.044 -0.443 -1.362 -0.416],19.521944,11.414308,43.50877,0.010929747,93.037926,0.007261118,1.0452232,-102.81603978049732,1.7804451,1.0929745,65,22166.598,8.760935,-2.9373168e-06,173151,6500,100,6.096613,7.2611176e-05,0.042894967,5.7629757,34.49,-19.540482
6.3318214,3.4000015,1.6400516,943.5237648487091,100.0,43.163795,0.13109306,[ 0.871 -1.034 -0.457 -1.383 -0.374],14.738617,4.0117064,13.109305,0.010920537,92.002884,0.010592982,1.0309541,-104.15204482362716,2.1149638,1.0920537,66,2563.7417,24.92705,-3.6239624e-06,176128,6600,100,30.718014,0.00010592982,0.016400516,3.4500272,29.77,-15.781891
10.087488,3.2999992,1.8183632,956.2580921649933,100.0,46.275547,0.15935425,[ 0.86  -1.078 -0.491 -1.382 -0.388],15.458172,3.7244477,15.935426,0.011487953,91.6741,0.049185894,1.108615,-104.79700528908296,1.8596212,1.1487954,67,6662.6074,26.849619,-8.392334e-06,178989,6700,100,28.527464,0.0004918589,0.01818363,7.1106086,28.61,-14.204788
