TimestepsSoFar,EpRewMean,EpLenMean,meankl,entropy,surrgain,EpisodesSoFar,TimeElapsed,optimgain,entloss,EpThisIter,ev_tdlam_before,DiscEpRewMean,Step_size
2291151,1069.5339855249172,107.98,0.009552038,0.4189424,0.0061828676,22600,7143.420902729034,0.0061828676,,100,,230.04155897140504,1.0
2302385,1113.1340627675688,112.34,0.009715714,0.4189424,0.006266182,22700,7173.854953765869,0.006266182,,100,,280.3377761077881,1.0
2313588,1110.0370450757493,112.03,0.008833035,0.4189424,0.0064636543,22800,7204.197181224823,0.0064636543,,100,,242.4398183631897,1.0
2324900,1120.9374841670403,113.12,0.009275758,0.4189424,0.007200262,22900,7228.519963264465,0.007200262,,100,,266.2400955295563,1.0
2335916,1091.3396861446192,110.16,0.0102117425,0.4189424,0.01005679,23000,7255.136719703674,0.01005679,,100,,234.54257433891297,1.0
2347203,1118.4358165427868,112.87,0.009298507,0.4189424,0.011396165,23100,7286.1264181137085,0.011396165,,100,,265.93984333992006,1.0
2358144,1083.835678862022,109.41,0.0049089035,0.4189424,0.0035211388,23200,7320.311819791794,0.0035211388,,100,,240.9439203262329,1.0
2370025,1177.830542454971,118.81,0.0085576745,0.4189424,0.0074578356,23300,7352.930758476257,0.0074578356,,100,,279.43536239624024,1.0
2381837,1170.9295519195573,118.12,0.00922287,0.4189424,0.0041114576,23400,7381.712682962418,0.0041114576,,100,,292.4343222141266,1.0
2393729,1178.93455183628,118.92,0.0043122303,0.4189424,0.004863707,23500,7409.093485832214,0.004863707,,100,,287.3358801651001,1.0
2405445,1161.3308924926905,117.16,0.009646088,0.4189424,0.0044126245,23600,7435.406364917755,0.0044126245,,100,,287.93482546806337,1.0
2416327,1077.9313235311495,108.82,0.010050577,0.4189424,0.019937368,23700,7463.923017024994,0.019937368,,100,,228.94086112022399,1.0
2427803,1137.3346633187205,114.76,0.0067102234,0.4189424,0.004754646,23800,7498.399887084961,0.004754646,,100,,269.73781160354616,1.0
2439012,1110.6339600578558,112.09,0.009854643,0.4189424,0.007001308,23900,7526.270346403122,0.007001308,,100,,249.8385527420044,1.0
2449894,1077.9297875482077,108.82,0.009544994,0.4189424,0.0036859962,24000,7558.720854043961,0.0036859962,,100,,234.2409649181366,1.0
2461355,1135.838824882764,114.61,0.009503865,0.4189424,0.013606871,24100,7585.522514343262,0.013606871,,100,,262.04020559310914,1.0
2472946,1148.8329816551939,115.91,0.005149174,0.4189424,0.0036981709,24200,7610.447984218597,0.0036981709,,100,,276.6369310474396,1.0
2484333,1128.4377550834702,113.87,0.005855729,0.4189424,0.0019213293,24300,7636.453732728958,0.0019213293,,100,,258.34032499313355,1.0
2495627,1119.1349631581618,112.94,0.009975209,0.4189424,0.0105568655,24400,7666.245487451553,0.0105568655,,100,,263.538871717453,1.0
2507163,1143.3361035330213,115.36,0.0033336396,0.4189424,0.004964374,24500,7699.378107786179,0.004964374,,100,,274.83821805000304,1.0
2518366,1110.0301229810748,112.03,0.00895816,0.4189424,0.0014935816,24600,7731.302812337875,0.0014935816,,100,,266.73643310546873,1.0
2528988,1051.9341289855429,106.22,0.009424202,0.4189424,0.005543076,24700,7756.434917211533,0.005543076,,100,,235.84275809288025,1.0
2539852,1076.1374119351997,108.64,0.009577118,0.4189424,0.0029441137,24800,7782.070148706436,0.0029441137,,100,,247.84154236793518,1.0
2551068,1111.3323862256293,112.16,0.010177092,0.4189424,0.011590144,24900,7812.0232536792755,0.011590144,,100,,250.33834817886353,1.0
2562430,1125.9312031234547,113.62,0.00912273,0.4189424,0.0032511256,25000,7841.268555641174,0.0032511256,,100,,252.03784398078918,1.0
2573319,1078.6336616650517,108.89,0.0101490775,0.4189424,0.006187258,25100,7868.095384597778,0.006187258,,100,,245.2410739135742,1.0
2584835,1141.3289713277402,115.16,0.010036905,0.4189424,0.007397853,25200,7895.5537321567535,0.007397853,,100,,280.9383184814453,1.0
2595998,1106.0331706984716,111.63,0.009964146,0.4189424,0.008090761,25300,7926.126227617264,0.008090761,,100,,234.3395124053955,1.0
2607372,1127.1319052070587,113.74,0.0094361575,0.4189424,0.0045371437,25400,7953.336788654327,0.0045371437,,100,,251.63785711288452,1.0
2618876,1140.133139886284,115.04,0.009692564,0.4189424,0.007984204,25500,7979.249260187149,0.007984204,,100,,242.13931859016418,1.0
2629988,1100.9321203821733,111.12,0.009100597,0.4189424,0.0072666234,25600,8010.77902841568,0.0072666234,,100,,226.939604511261,1.0
2641239,1114.8293681905284,112.51,0.009577448,0.4189424,0.00397572,25700,8045.519462347031,0.00397572,,100,,262.03752425193784,1.0
2653256,1191.4250044183784,120.17,0.009942554,0.4189424,0.0063124485,25800,8075.711618185043,0.0063124485,,100,,277.33371968269347,1.0
2664828,1146.929763348145,115.72,0.009792513,0.4189424,0.009001247,25900,8098.692957639694,0.009001247,,100,,251.53733099937438,1.0
2676218,1128.73507451041,113.9,0.009027199,0.4189424,0.010206093,26000,8122.323914527893,0.010206093,,100,,259.6384367656708,1.0
2687765,1144.4311113004446,115.47,0.010094065,0.4189424,0.01251117,26100,8149.948693275452,0.01251117,,100,,255.53821883201599,1.0
2699313,1144.533333372289,115.48,0.009959055,0.4189424,0.0038099159,26200,8188.179749727249,0.0038099159,,100,,251.93922121047973,1.0
