EpThisIter,surrgain,EpisodesSoFar,optimgain,EpLenMean,meankl,TimestepsSoFar,DiscEpRewMean,TimeElapsed,entloss,Step_size,entropy,EpRewMean,ev_tdlam_before
100,0.0063986876,11300,0.0063986876,117.95,0.008693682,752131,279.54374053955075,3837.781706094742,,1.0,0.4189424,1169.2630680653215,
100,0.007928663,11400,0.007928663,114.32,0.007798809,763563,264.9452505016327,3874.011453151703,,1.0,0.4189424,1132.9662742337393,
100,0.012488239,11500,0.012488239,113.67,0.009156563,774930,275.04416233062744,3907.87965965271,,1.0,0.4189424,1126.462882660577,
100,0.0059216223,11600,0.0059216223,110.97,0.008074374,786027,247.3470216560364,3944.0003323554993,,1.0,0.4189424,1099.4626137680539,
100,0.008195283,11700,0.008195283,110.08,0.009506985,797035,236.64719581604004,3971.844556570053,,1.0,0.4189424,1090.559959071959,
100,0.00937719,11800,0.00937719,106.2,0.0096706655,807655,242.14665291786193,4000.223380804062,,1.0,0.4189424,1051.7673225918886,
100,0.0066274195,11900,0.0066274195,108.93,0.007216238,818548,250.34821860313414,4033.4283628463745,,1.0,0.4189424,1079.0697364570121,
100,0.004214636,12000,0.004214636,100.92,0.0084815025,828640,213.2542725944519,4070.468362092972,,1.0,0.4189424,998.971504466119,
100,0.0045210365,12100,0.0045210365,104.39,0.008470835,839079,215.65125334739685,4097.8449177742,,1.0,0.4189424,1033.6692513804617,
100,0.0074343523,12200,0.0074343523,96.59,0.005734975,848738,189.85563126564026,4120.6958911418915,,1.0,0.4189424,955.668198250196,
100,0.0039036986,12300,0.0039036986,106.87,0.009128341,859425,223.64870755195616,4150.002045631409,,1.0,0.4189424,1058.464994024357,
100,0.012106927,12400,0.012106927,106.44,0.009894612,870069,226.74708462715148,4180.613392353058,,1.0,0.4189424,1054.1610530319856,
100,0.0076603093,12500,0.0076603093,102.96,0.009920748,880365,213.45099358558656,4201.815628051758,,1.0,0.4189424,1019.3672964796383,
100,0.0064564757,12600,0.0064564757,103.36,0.0071270787,890701,223.14964272499085,4225.539034366608,,1.0,0.4189424,1023.3642754247401,
100,0.007270567,12700,0.007270567,105.6,0.00791315,901261,206.55012662887574,4254.470443725586,,1.0,0.4189424,1045.7629966317324,
100,0.001584364,12800,0.001584364,103.03,0.008878709,911564,202.15140829086303,4286.845422267914,,1.0,0.4189424,1020.0649856118455,
100,0.0043803975,12900,0.0043803975,102.09,0.009484847,921773,221.4510347366333,4314.100678920746,,1.0,0.4189424,1010.6677035278942,
100,0.003344743,13000,0.003344743,98.85,0.0068636346,931658,192.95257335662842,4343.948409080505,,1.0,0.4189424,978.2607256664813,
100,0.008289829,13100,0.008289829,100.24,0.006670729,941682,200.35232443809508,4367.707218885422,,1.0,0.4189424,992.1632652883097,
100,0.006918401,13200,0.006918401,104.19,0.009813356,952101,225.04974946975707,4399.629202127457,,1.0,0.4189424,1031.6596160046793,
100,0.0019642431,13300,0.0019642431,106.87,0.009256738,962788,255.4470243835449,4427.583980560303,,1.0,0.4189424,1058.4593711700018,
100,0.006454817,13400,0.006454817,102.83,0.007914858,973071,233.7496059703827,4453.428947925568,,1.0,0.4189424,1018.0632917622809,
100,0.0048333006,13500,0.0048333006,107.97,0.0074025025,983868,267.34610723495484,4486.345037937164,,1.0,0.4189424,1069.4593136148526,
100,0.010336333,13600,0.010336333,108.38,0.009559023,994706,244.74606565475463,4519.654727220535,,1.0,0.4189424,1073.5595120077553,
100,0.003928967,13700,0.003928967,103.51,0.009226677,1005057,228.6479147052765,4547.749102115631,,1.0,0.4189424,1024.856859152231,
100,0.00720709,13800,0.00720709,110.69,0.007120099,1016126,249.44455211639405,4580.786256790161,,1.0,0.4189424,1096.6500514577997,
100,0.004954306,13900,0.004954306,102.78,0.01014992,1026404,201.3470599937439,4612.322623252869,,1.0,0.4189424,1017.5503542508908,
100,0.011429292,14000,0.011429292,103.68,0.008810361,1036772,210.04857591629028,4643.017395496368,,1.0,0.4189424,1026.5536475003744,
100,0.006806145,14100,0.006806145,106.56,0.004087955,1047428,219.84582042694092,4677.054078578949,,1.0,0.4189424,1055.354672409746,
100,0.004011577,14200,0.004011577,103.79,0.008231955,1057807,221.64894040107728,4709.832799911499,,1.0,0.4189424,1027.6570267647612,
100,0.0052863746,14300,0.0052863746,95.1,0.008062835,1067317,195.65309850692748,4738.106353998184,,1.0,0.4189424,940.7572475705093,
100,0.0054081976,14400,0.0054081976,104.85,0.009407564,1077802,202.54730122566224,4762.25222992897,,1.0,0.4189424,1038.2513053987395,
100,0.011854257,14500,0.011854257,102.13,0.009739901,1088015,219.9486495399475,4788.112868309021,,1.0,0.4189424,1011.0566769335454,
100,0.0021547223,14600,0.0021547223,105.11,0.0068875146,1098526,232.4473965740204,4815.127716302872,,1.0,0.4189424,1040.853164030724,
100,0.0055991127,14700,0.0055991127,100.74,0.009046532,1108600,197.74947257995606,4852.574116945267,,1.0,0.4189424,997.147304908543,
100,0.004471666,14800,0.004471666,101.5,0.0058474108,1118750,208.04691475868225,4883.327323675156,,1.0,0.4189424,1004.7483920117104,
100,0.005641106,14900,0.005641106,100.01,0.008673303,1128751,192.4518839931488,4908.885915994644,,1.0,0.4189424,989.8547643774461,
100,0.011887218,15000,0.011887218,107.74,0.009543442,1139525,249.44565307617188,4938.976247787476,,1.0,0.4189424,1067.1549851756606,
100,0.007723481,15100,0.007723481,107.03,0.009521116,1150228,233.44640612602234,4971.708683013916,,1.0,0.4189424,1060.05040942899,
100,0.00652297,15200,0.00652297,103.4,0.006918355,1160568,216.14972177505493,4993.25283408165,,1.0,0.4189424,1023.7532394483356,
100,0.0070870556,15300,0.0070870556,95.99,0.009727006,1170167,190.84858047485352,5030.068690061569,,1.0,0.4189424,949.6507529553483,
100,0.008000418,15400,0.008000418,100.2,0.0049720383,1180187,202.6491638660431,5054.893696784973,,1.0,0.4189424,991.744251339825,
100,0.0018439697,15500,0.0018439697,102.19,0.008149579,1190406,221.64463408470155,5083.76916384697,,1.0,0.4189424,1011.6403702423784,
100,0.01043375,15600,0.01043375,104.83,0.009779965,1200889,223.5444846057892,5110.246225118637,,1.0,0.4189424,1038.0379550678151,
100,0.013148,15700,0.013148,103.67,0.009981241,1211256,204.44546705245972,5138.300410985947,,1.0,0.4189424,1026.4405843197717,
100,0.004654536,15800,0.004654536,101.53,0.0047765425,1221409,213.8484422492981,5166.609057426453,,1.0,0.4189424,1005.0517641487448,
100,0.004075327,15900,0.004075327,98.92,0.0058971057,1231301,190.14906423568726,5196.002206325531,,1.0,0.4189424,978.9441329547335,
100,0.0067436914,16000,0.0067436914,103.71,0.0074946596,1241672,207.44502562522888,5220.714567661285,,1.0,0.4189424,1026.8426126510808,
100,0.0031095087,16100,0.0031095087,104.64,0.009998172,1252136,221.9452683544159,5245.0390684604645,,1.0,0.4189424,1036.1375075537517,
100,0.0032704095,16200,0.0032704095,104.2,0.006284417,1262556,222.34542074203492,5271.240773200989,,1.0,0.4189424,1031.74015120862,
100,0.005580824,16300,0.005580824,105.18,0.00927983,1273074,224.64498121261596,5295.692445755005,,1.0,0.4189424,1041.5419655550168,
100,0.00865443,16400,0.00865443,109.03,0.00889982,1283977,223.84633494377135,5328.1858496665955,,1.0,0.4189424,1080.0431896384157,
100,0.009161516,16500,0.009161516,113.67,0.009912169,1295344,243.13947363853455,5357.558921337128,,1.0,0.4189424,1126.4357772964274,
100,0.015735246,16600,0.015735246,111.53,0.009523722,1306497,248.64151502609252,5380.220396757126,,1.0,0.4189424,1105.0333246861292,
100,0.007663399,16700,0.007663399,103.43,0.0076264283,1316840,204.0436665534973,5405.212605237961,,1.0,0.4189424,1024.0351941274055,
100,0.0058618467,16800,0.0058618467,108.85,0.007949148,1327725,253.94063858032226,5429.590787887573,,1.0,0.4189424,1078.2343523234922,
100,0.008011175,16900,0.008011175,109.92,0.008526955,1338717,214.14131125450135,5455.829120635986,,1.0,0.4189424,1088.927897505078,
