entropy,optimgain,meankl,EpisodesSoFar,ev_tdlam_before,surrgain,DiscEpRewMean,EpLenMean,TimestepsSoFar,entloss,EpRewMean,EpThisIter,TimeElapsed,Step_size
0.4189424,0.011454187,0.009893367,27600,,0.011454187,215.1451532459259,103.28,2806249,,1022.5370411276494,100,2839.2731630802155,1.0
0.4189424,0.009025122,0.009886272,27700,,0.009025122,214.64270945549012,105.02,2816751,,1039.9294630835661,100,2849.639461994171,1.0
0.4189424,0.009690521,0.00959454,27800,,0.009690521,224.34412349700926,104.89,2827240,,1038.6347680413344,100,2860.4104418754578,1.0
0.4189424,0.01102803,0.009792474,27900,,0.01102803,213.04513975143433,103.05,2837545,,1020.2434904509453,100,2871.0081219673157,1.0
0.4189424,0.0049631353,0.009377914,28000,,0.0049631353,203.04546807289123,103.29,2847874,,1022.6411380494791,100,2880.872562646866,1.0
0.4189424,0.005560349,0.008298324,28100,,0.005560349,250.14573145866393,105.78,2858452,,1047.546541754539,100,2891.704116821289,1.0
0.4189424,0.009392319,0.009679432,28200,,0.009392319,254.0423822402954,110.17,2869469,,1091.4413561082717,100,2902.2519659996033,1.0
0.4189424,0.013141322,0.009252002,28300,,0.013141322,224.54531077384948,103.22,2879791,,1021.9406775781828,100,2913.275136232376,1.0
0.4189424,0.011246318,0.010055219,28400,,0.011246318,210.04532571792603,104.81,2890272,,1037.839298844505,100,2924.04901099205,1.0
0.4189424,0.0034332832,0.009316391,28500,,0.0034332832,221.14533155441285,102.6,2900532,,1015.7393098695137,100,2935.0861341953278,1.0
0.4189424,0.013978945,0.009986807,28600,,0.013978945,233.34384238243103,109.97,2911529,,1089.4392225149556,100,2947.224145412445,1.0
0.4189424,0.008111857,0.0073345164,28700,,0.008111857,233.04138242721558,106.51,2922180,,1054.8352196164124,100,2958.677057504654,1.0
0.4189424,0.002761297,0.004482482,28800,,0.002761297,228.0439434146881,105.43,2932723,,1044.036550724479,100,2970.45272231102,1.0
0.4189424,0.004578554,0.0048671667,28900,,0.004578554,243.13978152275087,109.89,2943712,,1088.6318248173798,100,2981.619201898575,1.0
0.4189424,0.0035831996,0.010209699,29000,,0.0035831996,224.64251900672912,106.44,2954356,,1054.1375069965025,100,2993.1788971424103,1.0
0.4189424,0.007864998,0.008936707,29100,,0.007864998,203.54599389076233,99.94,2964350,,989.1358474496369,100,3004.2547454833984,1.0
