StdIWNorm,MeanEntropy,EmpiricalD2,TimestepsSoFar,MaxIWNorm,LearnableVariance,MeanIW,OptimizationReturnMax,ReturnStepMax,Iteration,J_sample_variance,MinIWNorm,EpThisIter,ReturnMeanIW,Bound,StdIW,InitialReturnMax,OptimizationReturnMean,InitialReturnMean,EpRewMean,EpisodesSoFar,MaxIW,InitialReturnStd,ESSRenyi,ReturnStepMaxmin,ESSClassic,OptimizationReturnMin,TimeElapsed,InitialBound,InitialReturnMin,MinIW,EpLenMean,VarianceInit,MeanIWNorm,Weights
0.0101366835,0.4189424,1.8656373,1150021,0.06558313,,1.0906558,4999.471,10.0,49,23836152.0,0.0012746716,100,4367.9663,3531.6255,1.0136683,4999.471,3907.5227,3907.5227,3907.522780362587,4900,6.5583134,1207.2747,53.600986,10.0,53.653656,,1260.6137082576752,3295.215,,0.12746717,391.45,-1.0,0.010906557,[-0.049  0.554 -2.118 -1.755]
0.062123638,0.4189424,12.867598,1191920,0.58377427,,1.7537097,4619.7227,10.0,50,834550660.0,0.00019545048,100,8504.915,6308.4443,6.212364,4999.551,3804.6104,4184.4385,4184.438527991735,5000,58.37743,1060.3713,7.7714586,10.0,7.380787,,1327.6132321357727,3572.121,379.82812,0.019545048,418.99,-1.0,0.017537098,[-0.045  0.527 -2.116 -1.769]
0.011192992,0.4189424,2.1036136,1238736,0.060945027,,1.1437047,4719.799,10.0,51,29398094.0,0.00082676543,100,5526.688,4638.583,1.1192993,4999.605,4399.195,4679.001,4679.000991119078,5100,6.094503,889.06226,47.537247,10.0,51.078327,,1409.0242450237274,4066.6768,279.80624,0.082676545,468.16,-1.0,0.011437046,[-0.017  0.481 -2.141 -1.722]
0.0040656533,0.4189424,1.2149681,1284469,0.020659288,,1.0308207,4979.5576,10.0,52,5471013.5,0.0020360358,100,4732.1377,4057.211,0.40656537,4999.5234,4550.938,4570.904,4570.903960580483,5200,2.065929,1196.2502,82.30669,10.0,86.53824,,1485.3555054664612,3958.5898,19.966064,0.20360358,457.33,-1.0,0.010308207,[-0.007  0.468 -2.151 -1.752]
0.030686175,0.4189424,3.39019,1330732,0.23118211,,1.4019258,4709.698,10.0,53,113247840.0,0.00091478316,100,5953.991,4826.577,3.0686176,4999.4897,4333.9727,4623.7637,4623.763807817249,5300,23.118212,1013.27264,29.496872,10.0,17.267868,,1566.491442680359,4011.4536,289.79126,0.09147832,462.63,-1.0,0.014019258,[ 2.164e-03  4.556e-01 -2.165e+00 -1.739e+00]
0.030016007,0.4189424,5.288302,1374341,0.25893626,,1.5029488,4999.5273,10.0,54,138681820.0,0.00015805218,100,6175.926,4767.828,3.0016012,4999.5273,4356.248,4356.248,4356.247963829632,5400,25.893627,1178.4885,18.909662,10.0,20.04581,,1639.8522953987122,3743.933,,0.015805218,436.09,-1.0,0.015029486,[-0.018  0.434 -2.17  -1.724]
0.005903823,0.4189424,1.3736434,1415816,0.037408635,,0.9952935,4989.524,10.0,55,10591260.0,0.0013123126,100,4436.158,3718.513,0.5903823,4999.5073,4131.977,4141.961,4141.960902465673,5500,3.7408636,1249.3225,72.799095,10.0,73.972404,,1697.144448518753,3529.649,9.983635,0.13123126,414.75,-1.0,0.009952935,[-0.028  0.448 -2.191 -1.665]
0.008232997,0.4189424,1.549342,1459681,0.047264975,,1.1891501,4999.5264,10.0,56,9402219.0,0.002465561,100,4829.3164,4067.1528,0.8232997,4999.5264,4381.86,4381.86,4381.859827187995,5600,4.7264977,1125.1759,64.543526,10.0,67.59776,,1760.7715814113617,3769.546,,0.24655612,438.65,-1.0,0.011891501,[-0.018  0.448 -2.195 -1.658]
0.003897996,0.4189424,1.1405667,1502995,0.028957572,,1.0240177,4989.616,10.0,57,4661325.5,0.0043277666,100,4454.4136,3800.4688,0.3897996,4999.5986,4316.2524,4326.235,4326.234883771049,5700,2.8957572,1045.6301,87.67571,10.0,87.34388,,1817.851383447647,3713.912,9.982273,0.4327767,433.14,-1.0,0.010240177,[-0.028  0.442 -2.19  -1.634]
0.03723475,0.4189424,7.1589923,1544780,0.2922233,,1.4363365,4979.619,10.0,58,275555840.0,0.00023239877,100,5978.5156,4340.1714,3.7234752,4999.581,4152.884,4172.8457,4172.845771846659,5800,29.222332,1269.2439,13.968447,10.0,12.9529705,,1892.6109936237335,3560.5244,19.962044,0.023239877,417.85,-1.0,0.014363366,[-0.023  0.426 -2.198 -1.632]
0.027580915,0.4189424,5.773185,1592121,0.19415103,,1.3049961,4999.521,10.0,59,193192640.0,0.00015622958,100,6332.8643,4861.6304,2.7580914,4999.521,4732.0005,4732.0005,4732.0006208944515,5900,19.415104,944.7884,17.321463,10.0,18.292154,,1970.7172310352325,4119.6865,,0.015622959,473.41,-1.0,0.01304996,[-0.01   0.436 -2.195 -1.572]
0.0055724652,0.4189424,1.45633,1639250,0.031116778,,1.1088839,3999.623,10.0,60,6847879.0,0.0014351138,100,5284.931,4546.0127,0.5572465,4999.4375,3710.6394,4710.4536,4710.453462199751,6000,3.111678,763.5895,68.66576,10.0,79.83805,,2051.2900462150574,4098.15,999.8145,0.14351138,471.29,-1.0,0.011088837,[-0.006  0.4   -2.216 -1.601]
0.010501701,0.4189424,2.2237132,1686490,0.06558208,,1.1438158,4739.7163,10.0,61,25734346.0,0.0004150329,100,5423.7983,4510.701,1.0501701,4999.5615,4461.9336,4721.779,4721.778589288047,6100,6.5582085,914.2101,44.96983,10.0,54.260525,,2128.8905172348022,4109.4595,259.84515,0.04150329,472.4,-1.0,0.0114381565,[ 0.005  0.38  -2.235 -1.57 ]
0.027001392,0.4189424,4.258298,1735904,0.24423492,,1.4046471,4269.841,10.0,62,135092850.0,0.00031892775,100,6882.294,5618.7383,2.7001393,4999.5483,4210.462,4940.17,4940.169566706234,6200,24.423492,443.09592,23.48356,10.0,21.298347,,2205.3597271442413,4327.8525,729.70764,0.031892776,494.14,-1.0,0.01404647,[ 0.02   0.359 -2.243 -1.577]
0.003726608,0.4189424,1.152739,1781726,0.029449983,,1.0375729,4999.4834,10.0,63,4971332.0,0.004088897,100,4797.274,4139.864,0.3726608,4999.4834,4579.6157,4579.6157,4579.61604253542,6300,2.9449983,1164.6573,86.7499,10.0,88.57394,,2278.8267073631287,3967.3071,,0.4088897,458.22,-1.0,0.010375729,[ 0.041  0.348 -2.261 -1.514]
0.004928556,0.4189424,1.2400227,1829826,0.02696557,,1.063832,4989.4746,10.0,64,6741956.0,0.0034728486,100,5136.5,4454.6587,0.49285558,4999.4565,4798.123,4808.1045,4808.105030981495,6400,2.696557,750.9078,80.643684,10.0,82.3295,,2363.7718439102173,4195.799,9.981803,0.34728485,481.0,-1.0,0.010638321,[ 0.045  0.346 -2.278 -1.533]
