InitialReturnMax,InitialReturnStd,MeanEntropy,StdIW,Bound,MinIW,ReturnMeanIW,ESSClassic,TimestepsSoFar,MaxIWNorm,EmpiricalD2,EpThisIter,OptimizationReturnMax,ESSRenyi,Iteration,InitialReturnMin,InitialReturnMean,MinIWNorm,EpisodesSoFar,OptimizationReturnMin,VarianceInit,ReturnStepMax,MaxIW,MeanIW,MeanIWNorm,StdIWNorm,J_sample_variance,EpLenMean,Weights,LearnableVariance,OptimizationReturnMean,EpRewMean,ReturnStepMaxmin,InitialBound,TimeElapsed
2069.6528,286.4083,0.027222881,0.5666263,871.5045,0.21758033,1163.0714,77.95321,326031,0.032921337,1.3230922,100,2059.669,75.58052,46,9.983989,1063.2515,0.0021758033,4600,,-1,10.0,3.2921338,1.0654694,0.0106546935,0.005666263,656691.4,107.35,[-0.976  1.188 -1.465 -1.855 -1.385],True,1053.2673,1063.2513777499234,10.0,809.77167,304.4157292842865
2929.6953,353.38333,0.022638103,0.72258973,806.90906,0.17180523,1240.554,70.43865,336785,0.046034526,1.4606036,100,2250.0608,68.46484,47,679.63446,1065.1608,0.0017180523,4700,,-1,10.0,4.6034527,1.1154113,0.011154112,0.0072258976,1723176.1,107.54,[-0.963  1.19  -1.464 -1.867 -1.392],True,385.52634,1065.1607895111001,10.0,706.3478,312.9860956668854
1959.6982,271.48364,0.05300253,0.6839929,854.8043,0.3135429,1142.8326,71.17839,347123,0.03727912,1.4401268,100,1949.7184,69.43833,48,9.979814,1023.5704,0.003135429,4800,,-1,10.0,3.7279122,1.0748961,0.010748961,0.006839929,971057.0,103.38,[-0.955  1.174 -1.469 -1.911 -1.396],True,1013.5906,1023.5703983739206,10.0,783.5573,321.7658176422119
2459.663,368.0519,0.02113722,20.81852,1838.833,0.0006913334,4305.3384,2.9241397,358261,2.0009437,67.03808,100,1859.9841,1.4916896,49,599.6789,1103.5585,6.9133334e-06,4900,,-1,10.0,200.09436,3.6132104,0.036132105,0.2081852,282015460.0,111.38,[-0.932  1.155 -1.469 -1.909 -1.366],True,503.8795,1103.558387345741,10.0,802.3124,332.35348320007324
1569.7749,229.10405,0.009138618,0.4991772,769.4606,0.1510317,985.5568,81.510666,367553,0.026286859,1.2633642,100,1569.7749,79.15374,50,,918.9675,0.001510317,5000,,-1,10.0,2.628686,1.0480967,0.010480966,0.0049917717,305441.84,92.92,[-0.957  1.109 -1.486 -1.928 -1.398],True,918.9675,918.9675001168594,10.0,726.7101,341.2063958644867
1889.7083,222.53442,0.09699008,42.25486,1875.5598,0.0073684794,4068.4736,1.4485357,377353,4.249662,89.77643,100,1219.9896,1.1138781,51,669.7186,969.7651,7.3684794e-05,5100,,-1,10.0,424.9662,5.1228275,0.051228274,0.42254865,27257222.0,98.0,[-0.981  1.153 -1.493 -1.946 -1.41 ],True,300.04642,969.7650494306212,10.0,738.324,349.9801936149597
2219.736,244.3784,0.100306146,0.43216857,707.72626,0.37092888,999.91595,85.82109,386990,0.025151433,1.1551433,100,1620.011,86.56935,52,599.72504,953.45294,0.0037092888,5200,,-1,10.0,2.5151434,1.063234,0.01063234,0.004321686,494195.9,96.37,[-0.988  1.112 -1.496 -1.966 -1.322],True,353.72794,953.452938924175,10.0,681.5919,358.8025600910187
2269.5342,257.3895,0.09668484,3.7562625,1057.4789,0.009714254,1797.5474,16.436443,396424,0.2726011,7.0889044,100,1659.8025,14.106552,53,609.7317,933.1552,9.714254e-05,5300,,-1,10.0,27.260109,1.6659094,0.016659094,0.037562627,7054719.5,94.34,[-0.999  1.113 -1.481 -1.955 -1.319],True,323.42352,933.1552152712279,10.0,655.1952,367.4264838695526
2319.6646,309.32883,0.09581449,0.3459446,747.9254,0.44367343,1047.3381,89.87443,406517,0.021040808,1.1107051,100,1689.9779,90.0329,54,629.68665,999.0633,0.004436734,5400,,-1,10.0,2.104081,1.0306582,0.010306581,0.0034594461,635331.9,100.93,[-0.957  1.115 -1.477 -1.978 -1.322],True,369.37656,999.0632379979502,10.0,714.9635,376.5516412258148
2409.7056,275.18378,0.09032461,0.633453,725.453,0.25760835,1051.022,75.003265,416412,0.050284423,1.2169335,100,2399.7224,82.17376,55,9.983234,979.2601,0.0025760834,5500,,-1,10.0,5.0284424,1.0972681,0.01097268,0.0063345297,325292.03,98.95,[-0.973  1.144 -1.476 -1.984 -1.323],True,969.2768,979.2600487251335,10.0,684.13257,384.83614134788513
