VarRet,AvgEpLen,VarNormIw,AvgNormIw,ESSClassic,BatchSize,AvgDiscRet,VarJ,MaxNormIw,MaxVanillaIw,AvgRet,VarDiscRet,VanillaAvgRet,ESSRenyi,MinNormIw,MinVanillaIw,J,Delta,eRenyi2,VarVanillaIw,IterType,Bound,EpsThisIter,AvgVanillaIw
708.6304285,40.9,3.50449e-18,0.01,100.0,500,-2.283439884,26.4867,0.01,1.0,-2.283439884,708.6304285,-2.283439884,500.0,0.01,1.0,-2.28344,0.3,1.0,,2,-12.0399,100,1.0
664.448477914,52.36,2.1793e-19,0.005,200.000000102,500,2.1965270116,26.1666,0.005,1.0,2.1965270116,664.448477914,2.1965270116,500.0,0.005,1.0,-0.0434564,0.3,1.0,,2,-6.94234,100,1.0
701.977837739,37.0,5.43914e-20,0.00333333,299.999969474,500,11.6467339417,26.8045,0.00333333,1.0,11.6467339417,701.977837739,11.6467339417,500.0,0.00333333,1.0,3.85327,0.3,1.0,,2,-1.95593,100,1.0
1131.76070226,32.34,5.4346e-20,0.0025,400.0,500,6.06818888694,28.6338,0.0025,1.0,6.06818888694,1131.76070226,6.06818888694,500.0,0.0025,1.0,4.407,0.3,1.0,,2,-2.06753,100,1.0
1104.9389601,72.64,0.000162867,0.002,12.0090643598,500,-6.70283148307,0.191084,0.0833019,87387.3,-6.70283148307,1104.9389601,-6.70283148307,466.491509613,2.29009e-07,0.24024,84.7422,0.3,1.07183,1.79233e+08,1,78.7469,100,2098.09
1272.8765854,45.38,3.50449e-18,0.01,100.0,500,-5.87812897683,35.4986,0.01,1.0,-5.87812897683,1272.8765854,-5.87812897683,500.0,0.01,1.0,-5.87813,0.3,1.0,,2,-19.171,100,1.0
329.324428174,34.8,2.1793e-19,0.005,200.000000102,500,-7.69118801097,28.1764,0.005,1.0,-7.69118801097,329.324428174,-7.69118801097,500.0,0.005,1.0,-6.78466,0.3,1.0,,2,-16.1842,100,1.0
1298.18744073,58.12,5.43914e-20,0.00333333,299.999969474,500,13.4374825429,32.3813,0.00333333,1.0,13.4374825429,1298.18744073,13.4374825429,500.0,0.00333333,1.0,-0.0439447,0.3,1.0,,2,-9.34575,100,1.0
1149.93436071,53.42,5.4346e-20,0.0025,400.0,500,1.83259838787,32.7366,0.0025,1.0,1.83259838787,1149.93436071,1.83259838787,500.0,0.0025,1.0,0.425191,0.3,1.0,,2,-7.63041,100,1.0
884.761892432,48.16,0.000162904,0.002,12.0064076228,500,8.27352001745,0.182205,0.0833111,116392.0,8.27352001745,884.761892432,8.27352001745,467.896943406,1.47171e-07,0.20561,105.445,0.3,1.06861,3.17961e+08,1,97.9964,100,2794.16
296.13520567,31.78,3.50449e-18,0.01,100.0,500,-3.46895820396,17.1223,0.01,1.0,-3.46895820396,296.13520567,-3.46895820396,500.0,0.01,1.0,-3.46896,0.3,1.0,,2,-10.0872,100,1.0
832.012745226,44.34,2.1793e-19,0.005,200.000000102,500,-5.98669324474,23.6647,0.005,1.0,-5.98669324474,832.012745226,-5.98669324474,500.0,0.005,1.0,-4.72783,0.3,1.0,,2,-13.0055,100,1.0
524.717266482,38.78,5.43914e-20,0.00333333,299.999969474,500,11.3536151869,24.5758,0.00333333,1.0,11.3536151869,524.717266482,11.3536151869,500.0,0.00333333,1.0,0.632654,0.3,1.0,,2,-6.12602,100,1.0
559.619752232,40.02,5.4346e-20,0.0025,400.0,500,12.2161925343,24.8323,0.0025,1.0,12.2161925343,559.619752232,12.2161925343,500.0,0.0025,1.0,3.52854,0.3,1.0,,2,-2.32464,100,1.0
580.781532266,33.64,0.000162883,0.002,12.0079176197,500,-2.74157049366,0.12074,0.0833059,98550.1,-2.74157049366,580.781532266,-2.74157049366,470.836678101,1.9891e-07,0.235309,64.1311,0.3,1.06194,2.27949e+08,1,58.7361,100,2365.98
531.952077589,45.5,3.50449e-18,0.01,100.0,500,-5.3106701314,22.9485,0.01,1.0,-5.3106701314,531.952077589,-5.3106701314,500.0,0.01,1.0,-5.31067,0.3,1.0,,2,-12.6994,100,1.0
362.093653143,39.48,2.1793e-19,0.005,200.000000102,500,12.6951121334,22.8824,0.005,1.0,12.6951121334,362.093653143,12.6951121334,500.0,0.005,1.0,3.69222,0.3,1.0,,2,-2.57662,100,1.0
2837.97072665,61.0,5.43914e-20,0.00333333,299.999969474,500,31.1430737306,38.119,0.00333333,1.0,31.1430737306,2837.97072665,31.1430737306,500.0,0.00333333,1.0,12.8425,0.3,1.0,,2,-0.210054,100,1.0
728.169612495,37.9,5.4346e-20,0.0025,400.0,500,15.0683845997,35.6503,0.0025,1.0,15.0683845997,728.169612495,15.0683845997,500.0,0.0025,1.0,13.399,0.3,1.0,,2,2.09513,100,1.0
117.242219597,42.32,0.000196265,0.002,10.0063978032,500,2.5732188909,0.3185,0.099968,113809.0,2.5732188909,117.242219597,2.5732188909,467.979062746,2.43626e-07,0.277358,147.958,0.3,1.06842,2.54376e+08,1,137.507,100,2276.92
7450.80344501,140.66,3.50449e-18,0.01,100.0,500,-30.9900417482,85.8854,0.01,1.0,-30.9900417482,7450.80344501,-30.9900417482,500.0,0.01,1.0,-30.99,0.3,1.0,,2,-67.8941,100,1.0
645.070718108,43.62,2.1793e-19,0.005,200.000000102,500,-1.78171102513,64.9672,0.005,1.0,-1.78171102513,645.070718108,-1.78171102513,500.0,0.005,1.0,-16.3859,0.3,1.0,,2,-42.481,100,1.0
1998.7163131,37.7,5.43914e-20,0.00333333,299.999969474,500,16.5928778726,60.9515,0.00333333,1.0,16.5928778726,1998.7163131,16.5928778726,500.0,0.00333333,1.0,-5.39296,0.3,1.0,,2,-26.6995,100,1.0
711.285032512,49.5,5.4346e-20,0.0025,400.0,500,1.47859508216,54.5089,0.0025,1.0,1.47859508216,711.285032512,1.47859508216,500.0,0.0025,1.0,-3.67507,0.3,1.0,,2,-22.1271,100,1.0
3886.22216148,57.44,0.000196149,0.002,10.0121972527,500,13.0966194601,0.541957,0.0999391,63873.7,13.0966194601,3886.22216148,13.0966194601,467.580482059,3.37497e-07,0.215703,134.084,0.3,1.06933,8.01233e+07,1,117.017,100,1278.25
352.048224901,41.28,3.50449e-18,0.01,100.0,500,3.40003931944,18.6689,0.01,1.0,3.40003931944,352.048224901,3.40003931944,500.0,0.01,1.0,3.40004,0.3,1.0,,2,-1.92191,100,1.0
1029.64638865,53.02,2.1793e-19,0.005,200.000000102,500,-8.44550728421,26.8145,0.005,1.0,-8.44550728421,1029.64638865,-8.44550728421,500.0,0.005,1.0,-2.52273,0.3,1.0,,2,-9.23947,100,1.0
1146.79614006,47.34,5.43914e-20,0.00333333,299.999969474,500,12.1391609075,30.0925,0.00333333,1.0,12.1391609075,1146.79614006,12.1391609075,500.0,0.00333333,1.0,2.36456,0.3,1.0,,2,-3.36153,100,1.0
399.889139729,33.88,5.4346e-20,0.0025,400.0,500,-6.67107776561,28.1682,0.0025,1.0,-6.67107776561,399.889139729,-6.67107776561,500.0,0.0025,1.0,0.105654,0.3,1.0,,2,-4.85329,100,1.0
613.017444707,34.58,0.000196284,0.002,10.0054267142,500,14.9184899834,0.118065,0.0999729,150392.0,14.9184899834,613.017444707,14.9184899834,462.701912716,1.32341e-07,0.199084,71.025,0.3,1.08061,4.44189e+08,1,65.9802,100,3008.65
597.678949552,46.78,3.50449e-18,0.01,100.0,500,-6.44400360126,24.3249,0.01,1.0,-6.44400360126,597.678949552,-6.44400360126,500.0,0.01,1.0,-6.444,0.3,1.0,,2,-16.0594,100,1.0
292.261657166,35.06,2.1793e-19,0.005,200.000000102,500,1.61786846523,21.3722,0.005,1.0,1.61786846523,292.261657166,1.61786846523,500.0,0.005,1.0,-2.41307,0.3,1.0,,2,-9.21221,100,1.0
