MeanIWNorm,MeanEntropy,ReturnMeanIW,InitialReturnMin,InitialBound,EpLenMean,StdIWNorm,EpThisIter,StdIW,EpRewMean,ReturnStepMaxmin,EmpiricalD2,Iteration,Bound,J_sample_variance,EpisodesSoFar,MaxIW,ReturnStepMax,TimestepsSoFar,ESSClassic,InitialReturnMax,MaxIWNorm,TimeElapsed,InitialReturnMean,MinIWNorm,InitialReturnStd,Weights,MinIW,MeanIW,ESSRenyi
0.20903112,2.732467,1362.3484,-8.744447,30.43215,488.96,2.0322688,100,203.22691,65.88716763427264,69.80888,230758.36,55,1019.3494,180196830.0,5500,2042.9077,100.0,1265311,1.0468616,71.0447,20.429077,3242.653211593628,31.146177,1.3173631e-09,17.691172,[ 0.19   0.135  0.079 ... -0.326  0.184 -0.237],1.3173631e-07,20.903114,0.00043335374
8.153263,2.753731,18740.309,1.9950788,33.09263,490.14,81.083885,100,8108.388,52.705819382498206,71.50742,10746899.0,56,16465.871,35069235000.0,5600,81492.766,100.0,1314325,1.0009782,69.03192,814.9276,3351.773423433304,33.786427,1.6018363e-09,14.546899,[ 0.19   0.135  0.078 ... -0.321  0.147 -0.252],1.6018363e-07,815.32623,9.305009e-06
0.7593045,2.6601572,2509.3408,-4.600832,30.809647,434.03,7.4925327,100,749.2533,37.20524348197395,69.57056,13993.014,57,2430.7727,618344800.0,5700,7530.8667,100.0,1357728,1.0165695,66.085815,75.30866,3454.300993204117,31.473839,5.224082e-08,14.699917,[ 0.19   0.136  0.078 ... -0.322  0.123 -0.207],5.224082e-06,75.93044,0.007146423
0.19172095,2.5915992,827.2799,3.936867,35.702595,481.11,1.5675927,100,156.75928,47.252003551581055,72.78606,5972.911,58,770.9848,50310696.0,5800,1552.3143,100.0,1405839,1.4737527,72.47617,15.523143,3568.3105795383453,36.43101,1.3394033e-07,14.241714,[ 0.191  0.136  0.077 ... -0.319  0.076 -0.254],1.3394034e-05,19.172094,0.016742256
5.991533,2.56543,25420.996,-5.105995,36.34403,476.12,59.48173,100,5948.173,50.99099005622284,71.15669,13836088.0,59,22800.91,64326160000.0,5900,59782.68,100.0,1453451,1.0044414,70.08522,597.8268,3674.037211418152,37.048412,3.9121505e-11,13.430474,[ 0.193  0.135  0.077 ... -0.317  0.037 -0.283],3.9121506e-09,599.1534,7.2274765e-06
15.8562975,2.5703113,66103.16,10.039213,40.740044,481.93,152.12314,100,15212.314,53.562096718354354,60.144028,65395104.0,60,59480.336,396031500000.0,6000,152840.9,100.0,1501644,1.0747813,81.48691,1528.409,3801.7612311840057,41.559025,8.82628e-11,13.574383,[ 0.194  0.134  0.077 ... -0.318  0.055 -0.327],8.82628e-09,1585.6296,1.5291664e-06
6.361649,2.524399,37915.734,13.790782,42.05182,476.82,63.00868,100,6300.8687,56.831224838503246,71.286385,265664860.0,61,24447.0,143179500000.0,6100,63328.598,100.0,1549326,1.0090995,82.21997,633.28595,3909.6731860637665,42.87816,6.666916e-10,15.38011,[ 0.193  0.135  0.078 ... -0.318  0.022 -0.29 ],6.666916e-08,636.165,3.764141e-07
0.47992057,2.5303366,1515.8739,-5.8630066,40.712357,439.57,4.676199,100,467.62003,48.60348600037463,72.08287,755528.2,62,864.97723,214228780.0,6200,4700.393,100.0,1593283,1.0423224,74.50825,47.00393,4015.929381132126,41.461197,3.1363687e-09,16.95447,[ 0.192  0.135  0.078 ... -0.319  0.001 -0.314],3.136369e-07,47.992054,0.00013235773
1.5956774,2.5354056,7596.9897,-3.5331326,41.94271,415.4,15.838428,100,1583.8428,50.98352426622988,70.29337,3337032.8,63,6088.871,5740928500.0,6300,15918.598,100.0,1634823,1.0048015,82.143456,159.18597,4130.629228115082,42.768288,3.6290768e-10,15.671048,[ 0.195  0.134  0.078 ... -0.319  0.017 -0.324],3.6290768e-08,159.56775,2.9966743e-05
9.207133,2.5529227,25411.6,5.3258476,43.701115,454.82,91.47986,100,9147.987,64.03887779215971,71.14259,29951404.0,64,20952.898,64253840000.0,6400,91941.99,100.0,1680305,1.0028145,81.06199,919.4199,4259.913218259811,44.51582,1.0391418e-09,15.6780205,[ 0.196  0.135  0.078 ... -0.32  -0.014 -0.288],1.0391418e-07,920.71326,3.3387416e-06
11.679627,2.5119135,76196.555,-11.159372,37.847797,431.37,116.15371,100,11615.373,58.87488907525521,72.72729,8729.969,65,76123.33,580293750000.0,6500,116739.45,100.0,1723442,1.0009738,77.978226,1167.3945,4368.125411987305,38.631516,1.4356728e-07,17.800146,[ 0.197  0.135  0.078 ... -0.318 -0.001 -0.284],1.4356729e-05,1167.9628,0.011454795
1.9305862,2.4982538,6515.672,4.6419935,43.189278,463.36,19.116419,100,1911.6422,58.28581381092229,71.58559,467745.56,66,5960.0703,4191673300.0,6600,19213.584,100.0,1769778,1.0096205,80.83066,192.13583,4461.681698322296,44.00166,1.444126e-09,16.626148,[ 0.198  0.135  0.078 ... -0.313 -0.035 -0.291],1.4441261e-07,193.05861,0.00021379144
0.76662844,2.4045007,5234.693,5.3490543,42.547947,457.41,7.5852118,100,758.52106,62.65065898585622,70.68423,767876.3,67,4533.599,2722705400.0,6700,7623.84,100.0,1815519,1.011162,79.60642,76.238396,4575.346871376038,43.348026,9.929097e-09,15.0845785,[ 0.198  0.135  0.078 ... -0.312 -0.033 -0.307],9.929097e-07,76.66285,0.00013022931
