InitialReturnMax,MeanIW,RewardCompression,ReturnStepMax,Iteration,ReturnMeanIW,EpisodesSoFar,EpRewMean,TimeElapsed,Weights,InitialReturnMean,StdIW,MaxIW,InitialReturnMin,EmpiricalD2,ReturnStepMaxmin,Bound,EpThisIter,MeanEntropy,ESSRenyi,ESSClassic,MinIW,InitialBound,InitialReturnStd,EpLenMean,TimestepsSoFar
,1.0,0.98,100.0,64,-50.0,6400,-96.0,1845.4012660980225,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,114.5,708979
,1.0,0.98,100.0,65,-50.0,6500,-98.0,1869.958092212677,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,110.44,720023
,1.0,0.98,100.0,66,-50.0,6600,-98.0,1895.2388272285461,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,104.78,730501
,1.0,0.98,100.0,67,-50.0,6700,-98.0,1921.804158449173,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,107.96,741297
,1.0,0.98,100.0,68,-50.0,6800,-98.0,1951.7282967567444,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,113.25,752622
,1.0,0.98,100.0,69,-50.0,6900,-99.0,1978.5041403770447,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,107.79,763401
,1.0,0.98,100.0,70,-50.0,7000,-98.0,2007.4177315235138,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,111.09,774510
,1.0,0.98,100.0,71,-50.0,7100,-99.0,2037.8040158748627,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,108.98,785408
,1.0,0.98,100.0,72,-50.0,7200,-98.0,2061.8206520080566,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-98.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,14.0,108.38,796246
,1.0,0.98,100.0,73,-50.0,7300,-99.0,2090.6041264533997,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,108.9,807136
,1.0,0.98,100.0,74,-50.0,7400,-99.0,2115.5361692905426,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-99.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,9.949873924255371,107.48,817884
,1.0,0.98,100.0,75,-50.0,7500,-96.0,2147.888449192047,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-96.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,19.595918655395508,109.16,828800
,1.0,0.98,100.0,76,-50.0,7600,-97.0,2174.85671710968,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,111.3,839930
,1.0,0.98,100.0,77,-50.0,7700,-97.0,2202.6643149852753,[ 0.186  0.133  0.073 ... -0.327  0.     0.   ],-97.0,,1.0,-100.0,1.0,,-53.33333206176758,100,2.837890386581421,100.0,1.0,1.0,-53.333332,17.0587215423584,110.61,850991
