EpLenMean,StdIW,EpisodesSoFar,Iteration,J_sample_variance,MinIW,EpRewMean,MeanIW,InitialReturnMax,ReturnMeanIW,TimeElapsed,ReturnStepMax,MeanEntropy,MaxIW,ReturnStepMaxmin,EpThisIter,MinIWNorm,InitialReturnStd,ESSClassic,Bound,InitialReturnMin,MeanIWNorm,ESSRenyi,Weights,MaxIWNorm,InitialReturnMean,InitialBound,TimestepsSoFar,EmpiricalD2,StdIWNorm
108.77,0.66499144,5600,56,4500.4473,0.00054096227,-97.0,0.39562622,,-38.907448,1922.7188262939453,100.0,2.28348,4.789116,,100,5.4096226e-06,17.058722,26.141857,-47.797894,-100.0,0.003956262,1.2779611,[-0.158  0.178  0.201 ...  0.1   -0.25  -0.308],0.04789116,-97.0,-98.005035,592006,78.24964,0.0066499137
99.59,0.8826926,5700,57,3643.3855,0.0007447285,-88.0,0.43034267,,-33.381382,1959.198846578598,100.0,2.2663333,6.7773094,,100,7.4472846e-06,32.496155,19.204287,-41.720478,-100.0,0.004303427,1.4525354,[-0.158  0.178  0.201 ...  0.099 -0.236 -0.318],0.067773096,-88.0,-89.005035,601965,68.84514,0.008826926
106.93,0.65213096,5800,58,4328.745,0.00033701496,-92.0,0.34083503,,-31.956656,1994.9946887493134,100.0,2.2615056,5.528304,,100,3.3701497e-06,27.12932,21.455338,-42.787994,-100.0,0.0034083507,0.8609947,[-0.158  0.178  0.201 ...  0.101 -0.263 -0.309],0.05528304,-92.0,-93.005035,612658,116.14474,0.00652131
104.5,0.7399815,5900,59,5172.576,0.0006219058,-92.0,0.4848443,,-42.723076,2031.2391397953033,100.0,2.2590191,3.6658766,,100,6.2190575e-06,27.12932,30.035776,-51.301712,-100.0,0.0048484425,1.3725498,[-0.158  0.177  0.201 ...  0.099 -0.268 -0.309],0.036658764,-92.0,-93.005035,623108,72.8571,0.0073998137
108.77,1.0265812,6000,60,10597.199,0.0051530595,-94.0,0.6171158,,-59.02797,2065.1818404197693,100.0,2.2639542,7.099342,,100,5.1530595e-05,23.748684,26.54434,-64.33274,-100.0,0.0061711585,3.5894804,[-0.159  0.178  0.201 ...  0.098 -0.266 -0.313],0.070993416,-94.0,-95.005035,633985,27.859186,0.010265812
104.64,0.82368183,6100,61,6937.3296,0.009091732,-91.0,0.53511286,,-49.785152,2100.254072189331,100.0,2.271415,6.975282,,100,9.091732e-05,28.618176,29.679367,-52.966446,-100.0,0.005351129,9.980625,[-0.158  0.178  0.201 ...  0.099 -0.258 -0.316],0.06975282,-91.0,-92.005035,644449,10.019412,0.008236818
106.36,0.3700307,6200,62,1398.6003,0.00029830376,-94.0,0.24261457,,-23.240896,2135.8126578330994,100.0,2.2704382,2.269413,,100,2.9830376e-06,23.748684,30.0646,-34.05519,-100.0,0.0024261458,0.86371076,[-0.159  0.178  0.202 ...  0.102 -0.267 -0.3  ],0.02269413,-94.0,-95.005035,655085,115.7795,0.0037003069
102.24,0.5949652,6300,63,1662.9258,0.00015105265,-89.0,0.24925864,,-18.533459,2177.113473892212,100.0,2.2362707,4.574355,,100,1.5105264e-06,31.288975,14.930995,-30.456131,-100.0,0.0024925864,0.71058774,[-0.158  0.177  0.202 ...  0.099 -0.236 -0.332],0.04574355,-89.0,-90.005035,665309,140.72858,0.0059496514
102.24,0.84945655,6400,64,3336.4028,0.00046404832,-90.0,0.45692885,,-31.114288,2210.1327929496765,100.0,2.2600477,5.548607,,100,4.640483e-06,30.0,22.44119,-41.586483,-100.0,0.004569289,0.92106307,[-0.158  0.177  0.201 ...  0.096 -0.24  -0.362],0.055486068,-90.0,-91.005035,675533,108.5702,0.008494566
108.34,0.66256213,6500,65,4493.403,0.0018723598,-96.0,0.49161083,,-48.22161,2245.351279258728,100.0,2.2607996,3.419116,,100,1.8723596e-05,19.595919,35.506374,-55.63851,-100.0,0.0049161077,1.8361989,[-0.158  0.177  0.202 ...  0.102 -0.23  -0.347],0.034191158,-96.0,-97.005035,686367,54.46033,0.006625621
108.79,0.98498374,6600,66,6358.0703,0.00017819379,-90.0,0.49556732,,-38.75996,2282.9507093429565,100.0,2.2624125,6.1061354,,100,1.7819378e-06,30.0,20.199951,-46.78901,-100.0,0.004955672,1.5668838,[-0.159  0.177  0.202 ...  0.104 -0.237 -0.34 ],0.061061352,-90.0,-91.005035,697246,63.820942,0.009849838
102.33,0.57611805,6700,67,1500.1635,0.0030839024,-92.0,0.32363412,,-26.564232,2319.8802361488342,100.0,2.2569067,4.6184244,,100,3.0839023e-05,27.12932,23.986897,-32.92591,-100.0,0.0032363408,2.495865,[-0.159  0.177  0.202 ...  0.106 -0.23  -0.345],0.04618424,-92.0,-93.005035,707479,40.06627,0.0057611805
111.74,0.6162917,6800,68,2268.0637,0.00090164033,-94.0,0.43597892,,-36.379963,2358.4787464141846,100.0,2.2559295,3.6411502,,100,9.016403e-06,23.748684,33.353207,-43.956375,-100.0,0.004359789,1.7596953,[-0.159  0.177  0.203 ...  0.109 -0.208 -0.373],0.0364115,-94.0,-95.005035,718653,56.828022,0.0061629172
99.36,0.7439019,6900,69,5592.7153,0.00091552123,-90.0,0.5252611,,-47.624603,2396.902909040451,100.0,2.2509055,4.9525285,,100,9.155212e-06,30.0,33.269356,-54.57857,-100.0,0.0052526104,2.0888126,[-0.159  0.177  0.203 ...  0.109 -0.221 -0.361],0.049525283,-90.0,-91.005035,728589,47.87409,0.0074390187
100.55,0.72231007,7000,70,4613.0317,0.00072382577,-92.0,0.6129577,,-54.421574,2428.4987230300903,100.0,2.2324264,3.7612016,,100,7.2382577e-06,27.12932,41.86501,-59.985313,-100.0,0.0061295773,3.2631073,[-0.159  0.177  0.202 ...  0.108 -0.215 -0.373],0.037612014,-92.0,-93.005035,738644,30.645636,0.007223101
106.92,0.7809923,7100,71,4261.6772,0.0021137972,-89.0,0.56658614,,-47.64092,2466.2571518421173,100.0,2.2285695,4.5945807,,100,2.1137972e-05,31.288975,34.482334,-54.262444,-100.0,0.0056658606,2.3038223,[-0.159  0.177  0.203 ...  0.105 -0.22  -0.385],0.045945805,-89.0,-90.005035,749336,43.406128,0.007809923
106.07,0.6756783,7200,72,4610.2217,0.0020244003,-92.0,0.46121138,,-42.657974,2502.1870517730713,100.0,2.207304,5.138467,,100,2.0244002e-05,27.12932,31.783895,-50.175053,-100.0,0.004612114,1.7875847,[-0.159  0.177  0.203 ...  0.106 -0.223 -0.386],0.05138467,-92.0,-93.005035,759943,55.941406,0.0067567825
