ReturnStepMax,EpisodesSoFar,OptimizationReturnMin,InitialReturnMin,J_sample_variance,MeanIW,OptimizationReturnMax,LearnableVariance,OptimizationReturnMean,Iteration,ReturnStepMaxmin,EpLenMean,MeanIWNorm,InitialReturnMean,StdIWNorm,Bound,MaxIW,InitialReturnMax,MinIW,EmpiricalD2,Weights,ReturnMeanIW,EpRewMean,TimeElapsed,VarianceInit,MinIWNorm,StdIW,MaxIWNorm,MeanEntropy,TimestepsSoFar,InitialBound,ESSClassic,InitialReturnStd,ESSRenyi,EpThisIter
0.8657207,4600,,-391.3448,78325.91,0.6300657,247.353,,100.428474,46,0.8657207,408.12,0.0063006566,-290.9163,0.009333281,-213.31116,4.646883,-143.99179,0.0010463411,11.9035,[-1.113  0.59 ],-168.30461,-290.91630989909174,2884.8426444530487,-1.0,1.0463411e-05,0.93332815,0.046468828,0.4189424,2256924,-303.96115,31.30571,61.04994,8.40089,100
0.8636869,4700,,-373.5688,140147.39,0.9665818,253.39868,,123.21066,47,0.8636869,353.91,0.009665818,-250.35811,0.005594622,-252.93149,3.1745462,-120.170105,0.2257639,1.3231511,[-1.066  0.607],-238.60783,-250.35811475381254,2926.666665315628,-1.0,0.002257639,0.55946225,0.03174546,0.4189424,2292315,-262.8104,74.90551,58.1936,75.577156,100
0.8630333,4800,,-365.98132,158212.7,1.0037786,234.87405,,117.212296,48,0.8630333,351.9,0.010037785,-248.76903,0.007813574,-249.63182,4.2565885,-131.10727,0.10851916,1.5563176,[-1.092  0.613],-234.4128,-248.76902024269103,2964.7185950279236,-1.0,0.0010851916,0.78135747,0.042565882,0.4189424,2327505,-260.9684,62.269154,62.698902,64.25424,100
0.86380047,4900,,-379.1919,110374.22,0.69731086,249.25882,,142.60217,49,0.86380047,332.87,0.0069731087,-236.58972,0.0108969305,-187.53111,6.8344536,-129.93307,0.0024513719,7.5041127,[-1.102  0.623],-152.9063,-236.58972624644636,3000.7433829307556,-1.0,2.4513718e-05,1.0896931,0.06834453,0.4189424,2360792,-249.22945,29.0524,61.364357,13.326026,100
0.8651229,5000,,-396.53583,179526.97,0.85825455,262.1815,,159.26262,50,0.8651229,334.96,0.0085825445,-237.27321,0.011638391,-218.37595,7.651638,-134.35434,0.0064827716,6.8238564,[-1.173  0.638],-183.84758,-237.27320827826858,3036.709341287613,-1.0,6.482771e-05,1.1638391,0.076516375,0.4189424,2394288,-250.49106,35.22514,56.72447,14.65447,100
0.8595493,5100,,-407.2944,209401.4,0.8379493,297.0067,,196.79889,51,0.8595493,295.88,0.008379493,-210.49554,0.012310809,-193.3952,9.962379,-110.287704,0.006178207,5.551937,[-1.122  0.654],-161.40556,-210.4955216997862,3076.0726850032806,-1.0,6.178207e-05,1.2310809,0.09962379,0.4189424,2423876,-224.072,31.661304,54.961433,18.011732,100
0.8662282,5200,,-308.2221,40257.895,0.5712678,208.49051,,125.52882,52,0.8662282,257.81,0.0057126773,-182.69328,0.006833687,-145.62457,3.5251768,-99.73159,0.009150185,16.349049,[-1.143  0.676],-104.08244,-182.69328710839153,3107.5309336185455,-1.0,9.1501846e-05,0.6833687,0.035251766,0.4189424,2449657,-192.96735,41.135834,41.54637,6.116564,100
0.8634275,5300,,-377.53406,172602.12,0.98850995,276.54242,,189.44789,53,0.8634275,265.65,0.0098851,-188.0862,0.007889588,-190.22427,4.002426,-100.99162,0.046344012,1.8422728,[-1.254  0.687],-173.14333,-188.08617692872883,3137.768439769745,-1.0,0.0004634401,0.78895885,0.040024262,0.4189424,2476222,-200.67064,61.086964,49.80098,54.280777,100
0.86670333,5400,,-352.42142,77795.37,0.61510426,232.77927,,171.25832,54,0.86670333,255.16,0.0061510424,-181.16309,0.009324644,-144.99237,5.8065805,-119.64215,0.028611256,10.296941,[-1.245  0.7  ],-107.29639,-181.1631052455306,3169.49555683136,-1.0,0.00028611254,0.9324644,0.058065806,0.4189424,2501738,-192.91046,30.320583,44.54715,9.711622,100
0.8620497,5500,,-351.40732,101553.07,0.75406957,250.91685,,157.36977,55,0.8620497,275.06,0.007540696,-194.03754,0.009422519,-172.61147,5.322219,-100.49046,0.0031196564,9.600851,[-1.353  0.7  ],-136.31667,-194.03754525095223,3214.377163887024,-1.0,3.1196563e-05,0.9422519,0.053222187,0.4189424,2529244,-205.75111,39.04131,50.443096,10.415743,100
0.8623733,5600,,-338.75406,145803.31,0.90883696,240.41835,,164.73775,56,0.8623733,245.69,0.00908837,-174.0163,0.011652463,-174.77908,5.8351727,-98.33571,0.019280031,5.7233453,[-1.302  0.72 ],-147.76512,-174.01629575908183,3253.1071479320526,-1.0,0.0001928003,1.1652464,0.058351725,0.4189424,2553813,-185.30809,37.823555,38.852608,17.4723,100
