MeanEntropy,InitialReturnMean,Penalization,EpRewMean,WReturnMean,ESSRenyiArithmetic,StdIW,InitialReturnMax,EmpiricalD2Harmonic,Iteration,OptimizationReturnMin,EmpiricalD2Arithmetic,InitialReturnStd,TimestepsSoFar,ReturnMeanIW,TimeElapsed,DivergenceHarmonic,EpThisIter,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,ReturnStepMax,OptimizationReturnMean,VarianceInitializer,Epsilon,MinTargetPdf,Bound,MinBehavPdf,MeanIW,Inner Iteration,LearnableVariance,StdWReturnMean,Weights,InitialBound,MaxIW,InitialReturnMin,EpLenMean,MinIW,ESSRenyiHarmonic,MeanD2-0
0.4189424,3655.37,True,3655.369514375366,16332284.0,50.0,148.66487,4999.2305,1.0,50,,1.0,1723.5304,316509,646327900.0,695.3590829372406,8.065492e+19,50,2500,10.0,4929.3413,10.0,3585.4807,-1.0,1.0,-236.30403,-1.8326357e+16,-236.30403,41.682583,1,,,[ 0.017  0.316 -1.741 -1.647],-18372936.0,1066.858,69.8891,366.08,0.09915855,50.0,1.0
0.4189424,2542.84,True,2542.8400703238167,8165830.5,50.0,2118.4578,4999.4004,1.0,51,,1.0,1303.7618,329272,2860431000.0,727.4463982582092,2.7461395e+20,50,2550,10.0,4989.4204,10.0,2532.8599,-1.0,1.0,-209.3838,-3.3818283e+16,-209.3838,807.54767,1,,,[-0.039  0.304 -1.751 -1.671],-10206610.0,12236.773,9.980176,255.26,0.10264081,50.0,1.0
0.4189424,3731.5767,True,3731.5762902990623,16714413.0,50.0,35243.848,4999.3125,1.0,52,,1.0,1670.2551,347955,263936080000.0,777.1517143249512,3.1079014e+25,50,2600,10.0,4989.3306,10.0,3721.5945,-1.0,1.0,-227.11378,-1.1376497e+19,-227.11378,10891.762,1,,,[ 0.017  0.332 -1.753 -1.661],-18755132.0,159037.95,9.9819,373.66,0.24163331,50.0,1.0
0.4189424,3385.449,True,3385.4493505808337,14319588.0,50.0,131.62846,4999.209,1.0,53,,1.0,1690.6569,364920,1028076540.0,818.611896276474,6.2244314e+22,50,2650,10.0,4699.45,10.0,3085.6904,-1.0,1.0,-247.28757,-5.0910433e+17,-247.28757,70.51463,1,,,[ 0.04   0.238 -1.812 -1.713],-16360218.0,771.38947,299.75873,339.3,0.17521706,50.0,1.0
0.4189424,2761.066,True,2761.0659989397595,10110207.0,50.0,8047.358,4999.448,1.0,54,,1.0,1576.9342,378766,40767860000.0,854.7766582965851,3.0499708e+30,50,2700,10.0,4969.4907,10.0,2731.1086,-1.0,1.0,-223.05127,-3.5640708e+21,-223.05127,3703.065,1,,,[-0.02   0.251 -1.816 -1.723],-12151027.0,45138.86,29.957329,276.92,0.074098796,50.0,1.0
0.4189424,2992.4028,True,2992.4031339553826,12307373.0,50.0,3273.6729,4999.2837,1.0,55,,1.0,1831.0917,393765,17666654000.0,901.9766855239868,2.876918e+22,50,2750,10.0,4979.323,10.0,2972.4424,-1.0,1.0,-235.01146,-3.4612557e+17,-235.01146,1069.7815,1,,,[ 0.04   0.269 -1.817 -1.722],-14348060.0,17417.457,19.960331,299.98,0.012422706,50.0,1.0
0.4189424,2459.3289,True,2459.3285946902215,7692888.0,50.0,867.5508,4999.4883,1.0,56,,1.0,1282.4161,406110,2119253000.0,937.8871350288391,2.3577245e+24,50,2800,10.0,4999.4883,10.0,2459.3289,-1.0,1.0,-202.22212,-3.1336612e+18,-202.22212,448.90277,1,,,[-0.029  0.224 -1.869 -1.643],-9733737.0,4827.326,,246.9,0.061259698,50.0,1.0
0.4189424,3874.0247,True,3874.024602966676,17612376.0,50.0,76.52794,4999.4917,1.0,57,,1.0,1613.7874,425504,850019300.0,988.9928777217865,9.0537285e+17,50,2850,10.0,4579.6533,10.0,3454.186,-1.0,1.0,-236.50009,-1941869200000000.0,-236.50009,50.101063,1,,,[ 0.031  0.243 -1.869 -1.643],-19653242.0,347.91537,419.83826,387.88,0.109360635,50.0,1.0
0.4189424,2874.2947,True,2874.294979955454,10770020.0,50.0,808.887,4999.419,1.0,58,,1.0,1583.8081,439918,2558384400.0,1024.5444090366364,2.7178535e+30,50,2900,10.0,4999.419,10.0,2874.2947,-1.0,1.0,-243.35123,-3.3643907e+21,-243.35123,445.26266,1,,,[-0.025  0.219 -1.883 -1.65 ],-12810817.0,3491.4802,,288.28,0.098173946,50.0,1.0
0.4189424,3502.1594,True,3502.159325625141,14986773.0,50.0,229.70157,4999.2275,1.0,59,,1.0,1649.7434,457465,2012890000.0,1063.524948835373,1.2313802e+20,50,2950,10.0,4989.2466,10.0,3492.1785,-1.0,1.0,-242.11102,-2.2644165e+16,-242.11102,114.97318,1,,,[ 0.036  0.233 -1.884 -1.646],-17027420.0,1407.4175,9.980826,350.94,0.035772018,50.0,1.0
