VarJ,J,AvgEpLen,AvgDiscRet,ESSRenyi,MinVanillaIw,IterType,BatchSize,VarRet,VarNormIw,VarDiscRet,AvgRet,VanillaAvgRet,AvgVanillaIw,eRenyi2,VarVanillaIw,Bound,AvgNormIw,MinNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,EpsThisIter,Delta
17.5213,-95.1681,45.44,-97.9048798675,55.2956332074,0.0027408,1,100,45.6518608782,0.000110259,45.6518608782,-97.9048798675,-97.9048798675,1.10197,1.80846,1.33893,-102.504,0.01,2.48718e-05,5.7189,47.8111074768,0.0518969,100,0.8
39.0534,-93.5769,43.28,-99.2366207279,41.0256651026,0.105489,1,100,38.9223300019,0.000795513,38.9223300019,-99.2366207279,-99.2366207279,1.54076,2.4375,18.885,-102.292,0.01,0.000684657,43.2231,11.2668695086,0.280531,100,0.8
42.4394,-91.7133,44.23,-97.6671778378,46.2502009654,0.0658072,1,100,62.0085231256,0.00123415,62.0085231256,-97.6671778378,-97.6671778378,1.73147,2.16215,36.9997,-99.7724,0.01,0.000380065,61.5249,7.56540407478,0.355333,100,0.8
17.7079,-96.5223,42.69,-97.9433936549,71.9608008482,0.166163,1,100,54.839474502,7.12204e-05,54.839474502,-97.9433936549,-97.9433936549,1.09821,1.38965,0.858967,-102.936,0.01,0.00151303,7.02626,58.6481819003,0.0639791,100,0.8
13.8933,-95.9427,43.52,-98.5250797779,66.0588766521,0.0668006,1,100,49.4793138202,0.000174838,49.4793138202,-98.5250797779,-98.5250797779,1.12488,1.5138,2.21233,-102.994,0.01,0.000593844,12.5353,36.6180581497,0.111437,100,0.8
32.4881,-93.434,45.87,-97.9140246608,43.6722333448,0.0376155,1,100,71.0206861333,0.000124359,71.0206861333,-97.9140246608,-97.9140246608,1.05153,2.28978,1.37505,-102.01,0.01,0.000357723,8.97439,44.8197906684,0.0853463,100,0.8
17.1413,-95.315,46.05,-97.7372144887,61.7401527067,0.0237272,1,100,78.2357449502,8.41993e-05,78.2357449502,-97.7372144887,-97.7372144887,0.918679,1.61969,0.710618,-102.429,0.01,0.000258275,3.76373,54.5383179972,0.0409689,100,0.8
19.035,-93.0819,42.83,-98.3608868776,44.8585640546,7.90959e-05,1,100,79.9888425932,0.000192204,79.9888425932,-98.3608868776,-98.3608868776,0.984096,2.22923,1.86139,-101.48,0.01,8.03742e-07,9.45562,34.4492672358,0.0960843,100,0.8
8.70562,-97.5316,42.49,-98.1733819708,90.4447926745,0.142415,1,100,56.0303269526,1.22932e-05,56.0303269526,-98.1733819708,-98.1733819708,1.00859,1.10565,0.125053,-103.428,0.01,0.00141202,1.58807,89.1502455045,0.0157454,100,0.8
9.77153,-96.9943,43.4,-97.9126614328,81.143848,0.0810559,1,100,55.1448339718,2.37226e-05,55.1448339718,-97.9126614328,-97.9126614328,1.0589,1.23238,0.265995,-103.071,0.01,0.000765471,2.93017,80.9812709702,0.0276718,100,0.8
22.5185,-92.8949,43.62,-98.0682712416,36.0775113104,0.00314718,1,100,73.7992823834,0.000180949,73.7992823834,-98.0682712416,-98.0682712416,1.18222,2.77181,2.52903,-102.222,0.01,2.6621e-05,8.18088,35.8243578172,0.0691993,100,0.8
31.1397,-93.5067,42.26,-97.2913250741,52.5905158362,0.0393249,1,100,69.6284023148,0.000199702,69.6284023148,-97.2913250741,-97.2913250741,1.22,1.90148,2.97235,-101.178,0.01,0.000322336,16.5007,33.5903119409,0.135252,100,0.8
7.32856,-97.926,40.36,-98.6859889661,86.1989442114,0.249263,1,100,39.2724146333,1.68367e-05,39.2724146333,-98.6859889661,-98.6859889661,1.01119,1.16011,0.172154,-103.815,0.01,0.00246506,2.73621,85.7130931399,0.0270595,100,0.8
9.3201,-97.4113,43.95,-98.720433516,81.5366186412,0.211655,1,100,52.1697694355,2.69769e-05,52.1697694355,-98.720433516,-98.720433516,1.02187,1.22644,0.281698,-103.903,0.01,0.00207125,3.32788,78.9221280429,0.0325666,100,0.8
7.42003,-97.5026,41.47,-98.155933482,89.9561693846,0.383733,1,100,52.7199440592,1.85528e-05,52.7199440592,-98.155933482,-98.155933482,1.02623,1.11165,0.195387,-103.336,0.01,0.00373926,2.91509,84.4827994271,0.028406,100,0.8
9.76733,-97.7331,40.42,-98.567576396,83.5578147689,0.270343,1,100,39.3020662499,1.92673e-05,39.3020662499,-98.567576396,-98.567576396,1.03329,1.19678,0.205714,-103.708,0.01,0.00261634,2.93594,83.9809472819,0.0284136,100,0.8
15.4206,-96.4031,44.21,-97.4394218053,79.6379526897,0.105441,1,100,66.599832729,2.24335e-05,66.599832729,-97.4394218053,-97.4394218053,0.961396,1.25568,0.207349,-102.755,0.01,0.00109675,3.11466,81.8269496849,0.0323972,100,0.8
15.6551,-94.9535,42.21,-97.813342649,54.2046808566,0.000516532,1,100,63.6330579342,0.00017443,63.6330579342,-97.813342649,-97.813342649,1.08722,1.84486,2.06183,-102.524,0.01,4.75096e-06,12.1178,36.6722323257,0.111457,100,0.8
8.8762,-97.9786,40.9,-98.7930577985,82.5699724383,0.033696,1,100,45.1271539411,3.23832e-05,45.1271539411,-98.7930577985,-98.7930577985,0.919238,1.21109,0.273637,-104.087,0.01,0.000366565,2.14319,75.7235379201,0.0233149,100,0.8
